trade_id,signal_time,entry_time,entry_price,direction,initial_atr,stop_price,target_price,t5_time_c,mfe_at_t5_r_c,t5_result,exit_time,exit_bar,exit_price,exit_reason,gross_r_c,net_r,hold_minutes,entry_i,gross_r_i,mfe_at_t5_r_i,t5_time_i
P60-022742,,2023-05-14 17:06:00-05:00,13366.25,SHORT,2.892857142857143,13369.142857142857,13359.017857142857,1970648.0,0.9506172839506173,FAIL,1970648,1970648,13365.75,T5_NO_PROGRESS,0.1728395061728395,0.1727852533385966,15,1970633,0.1728395061728395,0.9506172839506173,1970648.0
P60-022869,,2023-05-25 07:45:00-05:00,13959.75,LONG,10.339285714285714,13949.410714285714,13985.598214285714,1982567.0,0.7979274611398964,FAIL,1982567,1982567,13968.0,T5_NO_PROGRESS,0.7979274611398964,0.7978754876182295,15,1982552,0.7979274611398964,0.7979274611398964,1982567.0
P60-022924,,2023-05-31 02:09:00-05:00,14353.0,SHORT,6.339285714285714,14359.339285714286,14337.151785714286,1987511.0,0.9859154929577465,FAIL,1987511,1987511,14350.75,T5_NO_PROGRESS,0.3549295774647887,0.3548790430572051,15,1987496,0.3549295774647887,0.9859154929577465,1987511.0
P60-023004,,2023-06-07 00:45:00-05:00,14578.25,SHORT,1.75,14580.0,14573.875,1994325.0,0.5714285714285714,FAIL,1994325,1994325,14575.0,T5_NO_PROGRESS,1.8571428571428572,1.8570931195515288,15,1994310,1.8571428571428572,0.5714285714285714,1994325.0
P60-023025,,2023-06-08 02:13:00-05:00,14273.25,SHORT,5.089285714285714,14278.339285714286,14260.526785714286,1995793.0,0.49122807017543857,FAIL,1995793,1995793,14274.5,T5_NO_PROGRESS,-0.24561403508771928,-0.24566484752349976,15,1995778,-0.24561403508771928,0.49122807017543857,1995793.0
P60-023175,,2023-06-21 00:32:00-05:00,15248.75,SHORT,2.5,15251.25,15242.5,2007853.0,0.6,FAIL,2007853,2007853,15248.25,T5_NO_PROGRESS,0.2,0.19995244732311226,15,2007838,0.2,0.6,2007853.0
P60-023260,,2023-06-28 07:41:00-05:00,15044.25,SHORT,4.517857142857143,15048.767857142857,15032.955357142857,2015182.0,0.8300395256916996,FAIL,2015182,2015182,15042.0,T5_NO_PROGRESS,0.4980237154150197,0.49797550976925997,15,2015167,0.4980237154150197,0.8300395256916996,2015182.0
P60-023266,,2023-06-28 15:06:00-05:00,15167.25,LONG,12.553571428571429,15154.69642857143,15198.63392857143,2015627.0,0.5576102418207681,FAIL,2015627,2015627,15163.25,T5_NO_PROGRESS,-0.3186344238975818,-0.3186822638528997,15,2015612,-0.3186344238975818,0.5576102418207681,2015627.0
P60-023300,,2023-06-30 15:03:00-05:00,15321.25,SHORT,12.696428571428571,15333.94642857143,15289.50892857143,2018382.0,0.45288326300984527,FAIL,2018382,2018382,15314.75,T5_NO_PROGRESS,0.5119549929676512,0.5119076338231954,15,2018367,0.5119549929676512,0.45288326300984527,2018382.0
P60-023340,,2023-07-05 19:53:00-05:00,15337.75,SHORT,2.2857142857142856,15340.035714285714,15332.035714285714,2022284.0,0.765625,FAIL,2022284,2022284,15339.5,T5_NO_PROGRESS,-0.765625,-0.7656722760385009,15,2022269,-0.765625,0.765625,2022284.0
