mode,slice,N,AvgR,PF,TotalR,WinRate,MaxDD,LONG,SHORT
causal_b,high_subtype=HIGH_CLEAN,45,-0.45561204195921373,0.460489551474478,-20.502541888164618,0.15555555555555556,19.502422978269614,23,22
causal_b,high_subtype=HIGH_CONFLICTED,13398,-0.22961524472195133,0.7051581516314634,-3076.385048784704,0.22115241080758322,3082.3838695670324,6824,6574
causal_b,high_subtype=HIGH_REVERSAL,5678,0.04824157991225583,1.0689949657830298,273.91569074178864,0.3002817893624516,88.20495615222893,2893,2785
causal_b,direction_confidence_band=HIGH,19121,-0.14763725223215732,0.8045317855131765,-2822.9718999310803,0.24449558077506406,2835.4703528030855,9740,9381
causal_b,direction_confidence_band=LOW,1437,0.009190096553426485,1.0129423362067322,13.20616874727386,0.2894919972164231,46.512594206683886,789,648
causal_b,direction_confidence_band=MEDIUM,3027,0.01456792708257734,1.0205583560672948,44.09711527896161,0.29071688140072677,75.81742044117516,1567,1460
causal_b,direction_confidence_band=VERY_HIGH,40464,0.35896890648419394,1.5890548439567536,14525.317831976423,0.38977856860419136,31.00396427799342,20796,19668
causal_b,direction_confidence_band=VERY_LOW,453,-0.07198342929949274,0.901959302329198,-32.60849347267021,0.26490066225165565,51.60655025904358,249,204
causal_b,15m_state=BEARISH,22738,0.3397495800268014,1.5520324607233644,7725.22595064941,0.3838068431700237,33.00708263183742,616,22122
causal_b,15m_state=BULLISH,23861,0.3398990405901047,1.5532018608985338,8110.331007520488,0.38472821759356274,31.004287038620532,23364,497
causal_b,15m_state=NEUTRAL,10827,-0.1923562781236905,0.7495650533231641,-2082.641423245197,0.23173547612450354,2095.1393706781246,5629,5198
