time,open,high,low,close,GLD_armed_long,GLD_armed_short,GLD_evidence_threshold_long,GLD_evidence_threshold_short,GLD_decide_e_long,GLD_decide_e_short,GLD_p4_keep_long,GLD_p4_keep_short,GLD_h1_keep_long,GLD_h1_keep_short,GLD_gate_open,GLD_not_in_cooldown,GLD_take_long,GLD_take_short,GLD_bar_time_utc_ms,GLD_htf_warmup_ready,GLD_arm_total_long,GLD_arm_total_short,GLD_arm_total_long_prov,GLD_arm_total_short_prov,GLD_pass_reason_code
1785209340000,27986.75,27989.5,27982.5,27987.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785209340000,1,5.0,5.0,2,2,0
1785209400000,27984.5,27986.75,27957.75,27965.25,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1785209400000,1,5.0,5.0,2,2,0
1785209460000,27965.5,27966.0,27951.5,27964.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1785209460000,1,5.0,5.0,2,2,0
1785209520000,27964.25,27994.25,27963.5,27985.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1785209520000,1,5.0,5.0,2,2,0
1785209580000,27987.75,28014.0,27987.75,28006.25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1785209580000,1,5.0,5.0,2,2,0
1785209640000,28009.5,28016.5,28004.5,28013.25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1785209640000,1,5.0,5.0,2,2,0
1785209700000,28012.5,28018.25,28007.5,28014.75,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785209700000,1,5.0,5.0,2,2,0
1785209760000,28013.5,28021.5,28005.0,28016.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785209760000,1,7.0,5.0,1,2,0
1785209820000,28019.0,28032.5,28017.0,28030.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785209820000,1,6.0,5.0,1,2,0
1785209880000,28029.5,28041.75,28028.25,28040.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785209880000,1,4.0,5.0,1,2,0
1785209940000,28040.5,28045.25,28037.5,28040.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785209940000,1,3.0,5.0,1,2,0
1785210000000,28043.0,28063.25,28040.75,28057.0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785210000000,1,3.0,5.0,2,2,0
1785210060000,28057.5,28061.75,28044.5,28044.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210060000,1,4.0,5.0,1,2,0
1785210120000,28044.5,28045.25,28035.5,28038.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210120000,1,4.0,5.0,1,2,0
1785210180000,28039.25,28056.5,28034.0,28055.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210180000,1,5.0,5.0,1,2,0
1785210240000,28055.75,28057.5,28047.0,28056.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210240000,1,4.0,5.0,1,2,0
1785210300000,28057.25,28070.5,28052.75,28056.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785210300000,1,3.0,5.0,1,2,0
1785210360000,28054.25,28059.5,28040.0,28045.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210360000,1,5.0,5.0,1,2,0
1785210420000,28048.0,28052.5,28043.25,28047.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210420000,1,5.0,5.0,1,2,0
1785210480000,28047.0,28058.5,28041.75,28058.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210480000,1,6.0,5.0,1,2,0
1785210540000,28059.0,28062.75,28046.5,28059.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210540000,1,5.0,5.0,1,2,0
1785210600000,28058.75,28062.5,28046.25,28048.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210600000,1,4.0,5.0,1,2,0
1785210660000,28047.75,28051.5,28041.5,28049.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210660000,1,6.0,5.0,1,2,0
1785210720000,28051.25,28051.25,28032.5,28032.5,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210720000,1,4.0,5.0,1,2,0
1785210780000,28032.0,28055.0,28030.0,28040.25,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210780000,1,5.0,5.0,1,2,0
1785210840000,28042.5,28050.25,28038.0,28047.0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785210840000,1,5.0,5.0,1,2,0
1785210900000,28045.5,28048.0,28026.5,28028.0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785210900000,1,3.0,5.0,1,2,0
1785210960000,28028.75,28043.5,28028.0,28041.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785210960000,1,3.0,5.0,2,2,0
1785211020000,28043.75,28046.75,28034.5,28035.25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785211020000,1,3.0,5.0,2,2,0
1785211080000,28035.5,28052.5,28033.25,28050.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785211080000,1,7.0,5.0,1,2,0
1785211140000,28052.5,28053.25,28047.25,28049.25,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785211140000,1,3.0,5.0,1,2,0
1785211200000,28049.0,28049.25,28036.0,28040.75,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785211200000,1,3.0,5.0,1,2,0
1785211260000,28039.75,28044.25,28034.0,28037.25,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1785211260000,1,2.0,5.0,1,2,0
1785211320000,28036.0,28042.25,28034.5,28039.75,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1785211320000,1,4.0,5.0,1,2,0
1785211380000,28040.25,28040.25,28034.75,28037.5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785211380000,1,4.0,5.0,2,2,0
1785211440000,28039.75,28040.5,28032.25,28034.5,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1785211440000,1,4.0,5.0,2,2,0
1785211500000,28035.0,28035.0,28025.25,28028.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1785211500000,1,4.0,5.0,2,2,0
1785211560000,28027.25,28035.5,28024.25,28032.0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1785211560000,1,4.0,5.0,2,2,0
1785211620000,28028.75,28034.0,28019.25,28020.75,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1785211620000,1,4.0,5.0,2,2,0
1785211680000,28021.75,28021.75,28010.75,28015.5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1785211680000,1,4.0,5.0,2,2,0
1785211740000,28014.75,28016.25,28007.5,28008.25,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1785211740000,1,4.0,5.0,2,2,0
1785211800000,28006.75,28012.75,28002.5,28006.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1785211800000,1,4.0,5.0,2,2,0
1785211860000,28006.25,28011.75,28003.75,28007.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1785211860000,1,4.0,5.0,2,2,0
1785211920000,28007.0,28007.0,27991.5,27994.5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1785211920000,1,4.0,5.0,2,2,0
1785211980000,27994.5,27998.75,27992.0,27994.75,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1785211980000,1,4.0,5.0,2,2,0
1785212040000,27994.0,27994.0,27978.0,27986.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212040000,1,4.0,4.0,2,1,0
1785212100000,27986.0,27988.0,27976.5,27984.5,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212100000,1,4.0,4.0,2,1,0
1785212160000,27985.75,27996.25,27980.0,27995.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212160000,1,4.0,5.0,2,1,0
1785212220000,27993.75,28002.5,27989.5,27994.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212220000,1,4.0,5.0,2,1,0
1785212280000,27992.5,27998.75,27986.5,27998.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212280000,1,4.0,5.0,2,1,0
1785212340000,27997.75,28013.5,27994.75,28013.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212340000,1,4.0,4.0,2,1,0
1785212400000,28012.0,28017.0,27988.0,27988.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212400000,1,4.0,6.0,2,1,0
1785212460000,27988.0,27990.0,27981.75,27981.75,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212460000,1,4.0,4.0,2,1,0
1785212520000,27981.25,27985.75,27980.5,27984.25,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1785212520000,1,4.0,2.0,2,1,0
1785212580000,27982.25,27987.75,27972.0,27973.25,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1785212580000,1,4.0,4.0,2,1,0
1785212640000,27973.5,27977.75,27970.0,27973.5,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1785212640000,1,4.0,2.0,2,1,0
