signal_i,entry_i,direction,atr,decision,delay_bars,reason,reaction_dir,orig_dir,year
19028,19030,LONG,0.5892857142857143,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
19083,19085,LONG,0.7857142857142857,TAKE,1,DISPLACEMENT,LONG,LONG,2017
19175,19177,LONG,0.75,TAKE,1,DISPLACEMENT,LONG,LONG,2017
19197,19199,LONG,0.625,TAKE,1,DISPLACEMENT,LONG,LONG,2017
19208,19210,LONG,0.6785714285714286,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
19262,19264,SHORT,0.6785714285714286,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
19270,19272,LONG,0.6785714285714286,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
19490,19492,LONG,0.7321428571428571,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
19529,19531,LONG,2.9107142857142856,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
19954,19956,SHORT,0.39285714285714285,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
20001,20003,SHORT,0.125,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
20030,20032,SHORT,0.23214285714285715,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
20082,20084,LONG,1.625,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
20150,20152,LONG,0.4107142857142857,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
20488,20490,SHORT,0.23214285714285715,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
20502,20504,LONG,1.0178571428571428,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
20539,20541,SHORT,0.8035714285714286,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
20883,20885,LONG,1.4464285714285714,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
20965,20967,SHORT,2.4285714285714284,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
20975,20977,SHORT,2.0357142857142856,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
20988,20990,LONG,1.3571428571428572,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
21026,21028,SHORT,1.3928571428571428,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
21495,21497,LONG,0.44642857142857145,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
22080,22082,LONG,0.8392857142857143,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
22140,22142,LONG,1.125,TAKE,1,DISPLACEMENT,LONG,LONG,2017
22399,22401,SHORT,1.0178571428571428,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
22459,22461,LONG,1.1607142857142858,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
22472,22474,SHORT,1.0892857142857142,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
22745,22747,LONG,0.39285714285714285,TAKE,1,DISPLACEMENT,LONG,LONG,2017
23070,23072,SHORT,0.6428571428571429,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
23386,23388,LONG,0.6607142857142857,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
23476,23478,SHORT,1.0714285714285714,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
23510,23512,LONG,0.9107142857142857,TAKE,1,DISPLACEMENT,LONG,LONG,2017
23559,23561,SHORT,0.875,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
23568,23570,LONG,1.0535714285714286,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
23584,23586,SHORT,2.482142857142857,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
23627,23629,LONG,3.4642857142857144,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
23641,23643,SHORT,2.75,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
23651,23653,LONG,2.5357142857142856,TAKE,1,DISPLACEMENT,LONG,SHORT,2017
23737,23739,SHORT,3.5,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
23844,23846,SHORT,2.107142857142857,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
23919,23921,SHORT,2.392857142857143,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
24240,24242,SHORT,0.5178571428571429,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
24361,24363,SHORT,0.30357142857142855,TAKE,1,DISPLACEMENT,SHORT,LONG,2017
24508,24510,SHORT,0.5892857142857143,TAKE,1,DISPLACEMENT,SHORT,SHORT,2017
24686,24688,LONG,0.5,TAKE,1,DISPLACEMENT,LONG,LONG,2017
