candidate_id,direction,timestamp,bar_index,event,state_before,state_after,open,high,low,close,atr,setup_score,same_bar_setup_bos,bos_level,bos_condition,retest_level,tolerance,band_lower,band_upper,touch_condition,invalid_condition,opposite_bos,directional_candle,close_beyond_bos_level,confirmed,failed_conditions,risk_points
224,Long,2026-08-14 05:20:00-05:00,14932,RETEST_ACCEPTED,LONG_WAIT_RETEST,LONG_WAIT_CONFIRM,29917.0,29921.0,29910.75,29920.5,11.744010166780598,,,,,29914.25,1.1744010166780599,,,,,,,,,,
224,Long,2026-08-14 05:25:00-05:00,14933,CONFIRM_EVALUATION,LONG_WAIT_CONFIRM,LONG_WAIT_CONFIRM,29920.25,29920.25,29905.25,29911.0,11.994438012010553,,,29914.25,,,,,,,True,False,False,False,False,"['bullish_candle=false', 'close_above_bos_level=false']",
225,Long,2026-08-14 05:55:00-05:00,14939,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29928.75,29934.75,29921.0,29934.25,12.106206026017361,75.0,,,,,,,,,,,,,,,
225,Long,2026-08-14 05:55:00-05:00,14939,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29928.75,29934.75,29921.0,29934.25,12.106206026017361,,True,29932.0,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29934.25; level=29932.0,,,,,,,,,,,,
225,Long,2026-08-14 06:00:00-05:00,14940,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29934.0,29943.0,29929.25,29930.25,12.223619881301834,,,,,29932.0,1.2223619881301835,29930.77763801187,29933.22236198813,True,True,False,,,,,
226,Long,2026-08-14 07:10:00-05:00,14954,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29947.5,29948.0,29890.75,29919.75,15.705362168006419,75.0,,,,,,,,,,,,,,,
226,Long,2026-08-14 07:15:00-05:00,14955,OPPOSITE_BOS_INVALIDATION,LONG_WAIT_BOS,IDLE,29919.25,29921.0,29908.75,29917.25,15.45855058457739,,,,,,,,,,,,,,,,
228,Short,2026-08-14 08:05:00-05:00,14965,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29953.25,29965.25,29947.0,29947.5,16.51568945467513,75.0,,,,,,,,,,,,,,,
228,Short,2026-08-14 08:30:00-05:00,14970,BOS_ACCEPTED,SHORT_WAIT_BOS,SHORT_WAIT_RETEST,29924.0,29951.75,29888.0,29888.5,19.9715917934021,,False,29890.75,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29888.5; level=29890.75,,,,,,,,,,,,
228,Short,2026-08-14 08:35:00-05:00,14971,RETEST_EVALUATION,SHORT_WAIT_RETEST,SHORT_WAIT_RETEST,29888.25,29904.25,29852.0,29903.25,22.277192379587664,,,,,29890.75,2.2277192379587665,29888.52228076204,29892.97771923796,True,True,False,,,,,
230,Short,2026-08-14 09:20:00-05:00,14980,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29855.25,29875.75,29831.0,29842.25,35.11852243545007,75.0,,,,,,,,,,,,,,,
230,Short,2026-08-14 09:20:00-05:00,14980,BOS_ACCEPTED,SHORT_WAIT_BOS,SHORT_WAIT_RETEST,29855.25,29875.75,29831.0,29842.25,35.11852243545007,,True,29852.0,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29842.25; level=29852.0,,,,,,,,,,,,
230,Short,2026-08-14 09:25:00-05:00,14981,RETEST_EVALUATION,SHORT_WAIT_RETEST,SHORT_WAIT_RETEST,29842.5,29851.75,29816.5,29842.5,35.12791369006077,,,,,29852.0,3.5127913690060772,29848.487208630995,29855.512791369005,True,False,False,,,,,
