feature_a,feature_b,correlation
body_atr,is_reversal,-0.012193135911882338
swing_high,dist_swing_low_atr,-0.012115573756829848
swing_low,dist_swing_high_atr,0.011897817560247985
swing_low,dist_swing_low_atr,-0.011674562212912515
body_vs_avg,min_since_core_entry,0.0116460285461767
core_b1_active,countertrend_15m,0.011569306608117278
swing_high,dist_swing_high_atr,0.011482912261976525
m5_range_pos_4,mtf_1m_5m_align,0.011321023446645161
swing_low,m5_range_pos_12,0.011182279914473656
swing_high,m5_range_pos_12,0.011168975025657647
m5_range_pos_4,is_reversal,-0.011054947350292357
swing_low,ext_60min_atr,-0.01104968791797784
break_dist_atr,core_authorized,-0.011021496970661493
swing_high,ext_60min_atr,-0.011016365504149106
swing_low,m5_range_pos_8,0.011005588684472638
swing_high,m5_range_pos_8,0.010992697022422901
atr,m5_mom,-0.010849614079964376
countertrend_15m,session_minute,-0.010684917792934949
min_since_core_entry,min_since_prev_event,0.010511347750973534
swing_low,m5_range_pos_4,0.010414759613176927
swing_high,m5_range_pos_4,0.010403898115653783
break_dist_atr,phase44_active,-0.010295270543473333
range_atr,phase44_active,-0.0102257706380084
mom_1,m15_body_atr,-0.010122710719500726
ext_60min_atr,dow,0.010106761844133824
body_atr,min_since_core_entry,0.009942385451933131
m15_range_pos_12,is_reversal,-0.009926744103082745
mom_5,is_reversal,-0.00988231212271293
atr,min_since_prev_event,-0.009845370945845767
body_vs_avg,min_since_p44,0.009820114948563803
dist_swing_low_atr,is_reversal,0.009736920025277204
atr_ratio,phase44_active,-0.009711926674697002
body_vs_avg,countertrend_15m,-0.009655638614639323
m15_range_pos_8,is_reversal,-0.009631415460905655
m15_range_pos_4,mtf_1m_15m_align,0.009595789006828155
min_since_core_entry,m15_range_pos_20,0.009541140752036303
min_since_core_entry,m15_range_pos_12,0.009533336333573525
body_vs_avg,close_loc,-0.00952433867745673
swing_low,m15_range_pos_20,0.009405091317813422
swing_high,m15_range_pos_20,0.009379545378909206
break_dist_atr,m15_range_pos_12,-0.009237797643326048
body_atr,min_since_p44,0.009163147505423077
m15_range_pos_20,is_reversal,-0.009136404692995717
m15_range_pos_8,mtf_1m_15m_align,0.009109868490682209
range_atr,mom_1,-0.009088285774398679
m15_body_atr,ext_60min_atr,-0.009055561070804604
break_dist_atr,m15_range_pos_20,-0.009032122325004551
mom_5,mtf_1m_15m_align,0.009012031287410963
