model_id,components,feature_cols,roles,logic_type,threshold,retention,N,AvgR,PF,TotalR,DD,WinRate,LONG_AvgR,SHORT_AvgR,DeltaAvgR,DeltaTotalR,kept_AvgR,rejected_AvgR,random_control_result,year_stability,causal_pass,complexity,status,partition,N_validation,AvgR_validation,PF_validation,TotalR_validation,DD_validation,DeltaAvgR_validation,validation_pass
SINGLE_F_MARKET_REVERSAL,P58E_MARKET_STATE_REV,F_MARKET_REVERSAL,CONTEXT,SINGLE,,0.30759307040176925,6676,0.00913806722997065,1.012867067582559,61.00573682728406,110.94308533429876,0.2893948472139005,0.028032803092562668,-0.011822254290901548,0.0018668377526754138,-96.80902774793174,0.00913806722997065,0.006441910283998641,0.0236568783196123,0.42857142857142855,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_CONF_HIGH,P58F_CONF_HIGH,F_CONF_HIGH,CONTEXT,SINGLE,,0.7488481385919646,16253,0.0006064125294898571,1.0008517053254171,9.856022841798648,108.05763416372221,0.2873930966590783,0.02261451439057464,-0.025540800572835566,-0.006664816947805379,-147.95874173341716,0.0006064125294898571,0.0271434125359415,0.006468228234926638,0.14285714285714285,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_SB_WINDOW,P78_SB_WINDOW,F_SB_WINDOW,TIMING,SINGLE,,0.1265204570586067,2746,0.01263347945142494,1.0177931456930167,34.691534573612884,52.75554891052659,0.28951201747997085,0.013561702198258599,0.011522582468014434,0.005362249974129704,-123.12323000160292,0.01263347945142494,0.006494526321426462,0.040422432629278957,0.5714285714285714,True,1,CANDIDATE,train,,,,,,,
SINGLE_F_RTH,P78_RTH,F_RTH,TIMING,SINGLE,,0.272852930335422,5922,0.024481416746034802,1.0347142228035322,144.9789499700181,144.85992246798915,0.2939885173927727,0.04252192721495733,0.002820736952244887,0.017210187268739567,-12.835814605197697,0.024481416746034802,0.0008133198964134863,0.043547794512166865,0.7142857142857143,True,1,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_REACTION_SCORE,P58D_LOCATION_SCORE+P58D_REACTION_SCORE,F_LOCATION_SCORE+F_REACTION_SCORE,LOCATION+REACTION,AND,,0.4973737559896793,10795,0.013381817583584251,1.0188866019568503,144.456720814792,165.31072510567242,0.2905974988420565,0.04108404695361938,-0.01779478077812491,0.006110588106289015,-13.358043760423811,0.013381817583584251,0.0012244975488517604,-0.0009167466939993315,0.5714285714285714,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_TOTAL_EVIDENCE,P58D_LOCATION_SCORE+P58D_TOTAL_EVIDENCE,F_LOCATION_SCORE+F_TOTAL_EVIDENCE,CONTEXT+LOCATION,AND,,0.33537596756358273,7279,0.012955276760923494,1.0182703772269805,94.30145954276212,77.45153024286641,0.2904245088611073,0.005711934044382373,0.021693835115526,0.005684047283628258,-63.51330503245369,0.012955276760923494,0.004403002081972522,0.003004002391566056,0.5714285714285714,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_GOOD_LOCATION,P58D_LOCATION_SCORE+P58E_GOOD_LOCATION,F_LOCATION_SCORE+F_GOOD_LOCATION,LOCATION,AND,,0.4551695539992628,9879,-0.00012322319402649715,0.9998271135385599,-1.2173219337877654,143.3587338036709,0.28697236562405104,0.0013096035390324813,-0.0017377366753678581,-0.007394452671321734,-159.03208650900356,-0.00012322319402649715,0.013448802241776192,0.003333679241175174,0.2857142857142857,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_ALIGNED_ACTIVE,P58D_LOCATION_SCORE+P58E_ALIGNED_ACTIVE,F_LOCATION_SCORE+F_ALIGNED_ACTIVE,CONTEXT+LOCATION,AND,,0.45171396977515665,9804,0.009328660723887352,1.0131482932841762,91.4581897369916,87.94264255668706,0.2897796817625459,0.018366405515819414,-0.0011891120167565946,0.002057431246592116,-66.3565748382242,0.009328660723887352,0.005576182759514639,0.038153837287999495,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_HTF_SUPPORT,P58D_LOCATION_SCORE+P58F_HTF_SUPPORT,F_LOCATION_SCORE+F_HTF_SUPPORT,CONTEXT+LOCATION,AND,,0.32044784371544416,6955,-0.021846936516607192,0.9696237207392566,-151.94544347300302,234.84852884045804,0.2805176132278936,0.007954547830984966,-0.05786613290496408,-0.029118165993902427,-309.76020804821883,-0.021846936516607192,0.021002115943333028,-0.003090148058545787,0.2857142857142857,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_NO_HTF_CONTRA,P58D_LOCATION_SCORE+P58F_HTF_CONTRA,F_LOCATION_SCORE+F_NO_HTF_CONTRA,CONFLICT+LOCATION,AND,,0.6445816439366016,13990,-0.004631462981079895,0.9935123886415664,-64.79416710530772,150.2806336225278,0.28556111508220156,0.008565552049619167,-0.019834115736795204,-0.01190269245837513,-222.60893168052354,-0.004631462981079895,0.02885778217274092,-0.01690618351702968,0.14285714285714285,True,2,CANDIDATE,train,,,,,,,
PAIR_VETO_F_LOCATION_SCORE_NOT_F_NO_HTF_CONTRA,P58D_LOCATION_SCORE+P58F_HTF_CONTRA,F_LOCATION_SCORE+F_NO_HTF_CONTRA,CONFLICT+LOCATION,VETO,,0.1488665683744932,3231,0.057114200757855546,1.0820924894786679,184.53598264863126,58.18078242766153,0.30331166821417516,0.06922054559355495,0.04346965674290002,0.04984297128056031,26.721218073415457,0.057114200757855546,-0.0014465012761010992,0.09067203664819834,0.5714285714285714,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_FALSE_REV_LOW,P58D_LOCATION_SCORE+P58F_FALSE_REV_LOW,F_LOCATION_SCORE+F_FALSE_REV_LOW,CONFLICT+LOCATION,AND,,0.7202359012163656,15632,0.00716128200623447,1.0100801351401916,111.94516032145724,110.65277590824392,0.2889585465711361,0.018788504274321757,-0.00608242327011454,-0.00010994747106076591,-45.86960425375857,0.00716128200623447,0.007554282650487234,0.011937581800259445,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
PAIR_VETO_F_LOCATION_SCORE_NOT_F_FALSE_REV_LOW,P58D_LOCATION_SCORE+P58F_FALSE_REV_LOW,F_LOCATION_SCORE+F_FALSE_REV_LOW,CONFLICT+LOCATION,VETO,,0.07321231109472909,1589,0.0049066426821059,1.0069012195440563,7.796655221866274,44.51041434931564,0.2882315921963499,0.029940118331025885,-0.02592812999219582,-0.0023645867951893364,-150.01810935334953,0.0049066426821059,0.007458021842075541,-0.0456271298334488,0.7142857142857143,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_REVERSAL_STRONG,P58D_LOCATION_SCORE+P58F_REVERSAL_STRONG,F_LOCATION_SCORE+F_REVERSAL_STRONG,LOCATION+REACTION,AND,,0.44627718392922966,9686,-0.004080375995380236,0.9942835392549856,-39.52252189125297,203.2419433651972,0.28567003923188106,0.0032463537810072116,-0.012184545243582666,-0.011351605472675472,-197.33728646646878,-0.004080375995380236,0.016420143656720648,-0.016154091245776204,0.2857142857142857,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_NO_PULLBACK,P58D_LOCATION_SCORE+P58F_PULLBACK_OK,F_LOCATION_SCORE+F_NO_PULLBACK,CONFLICT+LOCATION,AND,,0.7262255805381497,15762,0.006181618179952589,1.008697559458899,97.43466575241271,113.23667480525984,0.28866895064078163,0.01802469813569352,-0.007327824784636314,-0.001089611297342647,-60.38009882280309,0.006181618179952589,0.010161578394951708,0.003762717040052595,0.42857142857142855,True,2,CANDIDATE,train,,,,,,,
PAIR_VETO_F_LOCATION_SCORE_NOT_F_NO_PULLBACK,P58D_LOCATION_SCORE+P58F_PULLBACK_OK,F_LOCATION_SCORE+F_NO_PULLBACK,CONFLICT+LOCATION,VETO,,0.06722263177294507,1459,0.015289341871768908,1.0215999102399282,22.307149790910838,46.853362255777995,0.29129540781357094,0.03898198717465606,-0.013632273855651935,0.008018112394473673,-135.50761478430496,0.015289341871768908,0.006693386751509256,-0.0392474724738231,0.7142857142857143,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_HTF_LTF_AGREE,P58D_LOCATION_SCORE+P58F_HTF_LTF_AGREE,F_LOCATION_SCORE+F_HTF_LTF_AGREE,CONFLICT+LOCATION,AND,,0.6738849981570217,14626,0.019005133713147652,1.0268825156107375,277.96908568849756,107.17807838769536,0.29235607821687404,0.023798881172025842,0.013534886100505959,0.011733904235852417,120.15432111328175,0.019005133713147652,-0.016975744717897968,0.027934477205951692,0.8571428571428571,True,2,CANDIDATE,train,,,,,,,
PAIR_VETO_F_LOCATION_SCORE_NOT_F_HTF_LTF_AGREE,P58D_LOCATION_SCORE+P58F_HTF_LTF_AGREE,F_LOCATION_SCORE+F_HTF_LTF_AGREE,CONFLICT+LOCATION,VETO,,0.11956321415407298,2595,-0.06097389986326552,0.9165083999211218,-158.22727014517403,195.7477592517361,0.26936416184971096,-0.0020336311381062137,-0.13067113941547243,-0.06824512934056076,-316.04203472038984,-0.06097389986326552,0.016538910184750105,-0.059730850885049466,0.14285714285714285,True,2,CANDIDATE,train,,,,,,,
PAIR_AND_F_LOCATION_SCORE_F_CT_LOW,P58D_LOCATION_SCORE+P58F_CT_LOW,F_LOCATION_SCORE+F_CT_LOW,CONFLICT+LOCATION,AND,,0.7934482123110947,17221,0.006953244035963271,1.0097866082794096,119.7418155433235,137.89255853544105,0.28889146971720575,0.019851428470358014,-0.007844286510279365,-0.0003179854413319647,-38.07294903189231,0.006953244035963271,0.00849273902116712,0.013789666729710836,0.5714285714285714,True,2,CANDIDATE,train,,,,,,,
