level,event_type,regime_dimension,regime_value,N,mean_forward_atr,era1_mean,era2_mean,era3_mean
PRIOR_RTH_CLOSE,TOUCH,htf_vol_regime,low_vol,2098,0.18543913505772683,0.31206414383352166,0.045838989184588355,0.2393047129069282
PRIOR_RTH_CLOSE,SWEEP,htf_vol_regime,low_vol,3794,0.03774371397905663,-0.0011776380053924028,0.06804277724595231,0.03690634147169491
PRIOR_RTH_CLOSE,BREAK,htf_vol_regime,low_vol,2358,0.06902960194556905,0.11422290136484757,0.0402248578092569,0.054491438287116986
PRIOR_RTH_CLOSE,BREAK_HOLD,htf_vol_regime,low_vol,1031,0.11386283787386628,0.003218218250151224,0.15716598982740204,0.1839133121699291
PRIOR_RTH_CLOSE,APPROACH,htf_vol_regime,low_vol,933,0.10190394028185966,-0.09573517569339245,0.19983088240512925,0.18891582341138816
ORL,APPROACH,htf_vol_regime,high_vol,1658,-0.014865520365378441,-0.032290311130815354,0.03821345685078281,-0.06102065013026932
ORL,SWEEP,htf_vol_regime,high_vol,3343,0.10634302106626674,0.2679914242512044,0.002531605504221058,0.07067560532207379
ORL,BREAK,htf_vol_regime,high_vol,2193,0.046762202461671246,0.24966362998652888,-0.09145547954002702,0.020389855106044144
ORL,BREAK_HOLD,htf_vol_regime,high_vol,1161,0.09146853600491942,0.25776924091934783,-0.025652437106703813,0.04522018283594988
ORL,BREAK_FAILURE,htf_vol_regime,high_vol,534,0.053335694983738906,0.2052791092748296,-0.0037839607370981705,-0.014304560904240256
PDH,TOUCH,htf_vol_regime,high_vol,1739,-0.009790044182546026,0.08260063405875688,-0.12179484170432185,0.006195844652751961
ORH,BREAK_FAILURE,htf_vol_regime,high_vol,574,0.1486863599710766,0.027696038908695368,0.5639958868682797,-0.18946007355841557
PDL,BREAK_HOLD,htf_vol_regime,low_vol,287,0.009638062263275056,0.4319756662656351,-0.40496975334581575,0.09446438722016276
PDL,SWEEP,htf_vol_regime,high_vol,3521,-0.01309900529796143,-0.0037760040525819842,-0.03060268189187853,0.00040772424290596866
PDL,BREAK,htf_vol_regime,high_vol,2132,-0.056981020666093805,0.00500002590666476,-0.06763086796275382,-0.098866143848766
PRIOR_RTH_CLOSE,SWEEP,htf_vol_regime,high_vol,5812,-0.02124620314563422,-0.08197343535076525,-0.03215756677366762,0.055285878185283036
PRIOR_RTH_CLOSE,BREAK,htf_vol_regime,high_vol,3927,-0.2398831860771105,-0.05998818785653164,-0.43684407724478697,-0.0764456272776918
PDL,BREAK_FAILURE,htf_vol_regime,high_vol,426,0.17688444553947863,0.12239287847202186,0.3265806884485003,0.02294799543279028
PRIOR_RTH_CLOSE,BREAK_FAILURE,htf_vol_regime,high_vol,740,-0.22203859036469625,-0.050737037662419875,-0.4805817141198114,0.08192337916632247
PRIOR_RTH_CLOSE,TOUCH,htf_vol_regime,high_vol,2778,-0.02270654700016928,0.003313030613401958,0.0318699508288846,-0.11661142858935354
PDH,APPROACH,htf_vol_regime,high_vol,742,-0.07001012507839505,-0.0003004228148726294,-0.17226305597357852,-0.041332845456929
ONH,BREAK_FAILURE,htf_vol_regime,high_vol,375,0.2397778115719245,0.4140905877218347,0.3001158479190172,0.0001841997149890376
ORH,TOUCH,htf_vol_regime,low_vol,178,0.271295156543757,0.4210715055679158,-0.18996575949223124,0.2312352760758105
ONH,SWEEP,htf_vol_regime,low_vol,175,0.5089318328124028,0.3874988041899992,0.3760795781255625,1.2166949239077076
ORH,SWEEP,htf_vol_regime,low_vol,264,0.1334692050643338,0.4306554312468562,-0.030176050551296938,-0.6566314281217102
ORH,BREAK,htf_vol_regime,low_vol,172,0.08119107321925481,0.396816828846284,-0.02804377836210566,-0.7172588313922008
PRIOR_RTH_CLOSE,BREAK_FAILURE,htf_vol_regime,low_vol,500,0.28101830603914424,0.24788773838120798,0.29039768037729363,0.31121434284798205
ONL,TOUCH,htf_vol_regime,high_vol,4908,0.01510834861668127,-0.030115740793053656,0.01703379304783496,0.05923453010828947
PRIOR_RTH_CLOSE,BREAK_HOLD,htf_vol_regime,high_vol,1293,-0.15771199080964224,-0.16878659540174903,-0.12091968146292452,-0.18959571960951851
PDL,BREAK_HOLD,htf_vol_regime,high_vol,917,-0.0331409990230596,0.13022678820148836,-0.014238310758723014,-0.22141762799764284
PDL,APPROACH,htf_vol_regime,high_vol,800,-0.04845893447311661,0.10549688086165206,-0.19328975872490622,-0.021988519867805926
ONL,SWEEP,htf_vol_regime,high_vol,2339,0.13427716236140186,0.13914329542177295,0.1317495131838933,0.13243592335824808
