time_bucket,level,event_type,N,mean_forward_atr,replicated
PREMARKET,ONH,BREAK,52,-0.1441595733921378,False
PREMARKET,SESSION_OPEN,BREAK,3182,-0.1654913182932296,False
PREMARKET,PRIOR_RTH_CLOSE,BREAK,3272,-0.17169488998782922,False
PREMARKET,PDH,BREAK,2280,-0.18443891247711008,False
PREMARKET,PDH,APPROACH,532,-0.1845031237502623,False
PREMARKET,PDL,APPROACH,452,-0.2192208899344396,False
PREMARKET,SESSION_OPEN,BREAK_FAILURE,534,-0.3160646275842119,False
PREMARKET,SESSION_OPEN,APPROACH,234,-0.5095650559657281,False
PREMARKET,ONH,BREAK_FAILURE,16,-0.860803124135091,False
RTH_AFTERNOON,SESSION_OPEN,APPROACH,14,1.2511373998043767,False
RTH_AFTERNOON,PDH,APPROACH,92,0.6687512564072415,False
RTH_AFTERNOON,ORH,BREAK_FAILURE,142,0.6190731198863799,False
RTH_AFTERNOON,PDL,APPROACH,74,0.6181765883224013,False
RTH_AFTERNOON,PDL,BREAK_FAILURE,74,0.5584126391862295,False
RTH_AFTERNOON,ONH,BREAK_FAILURE,118,0.5025306743691396,False
RTH_AFTERNOON,PDH,BREAK_HOLD,158,0.41624080560463056,False
RTH_AFTERNOON,PRIOR_RTH_CLOSE,APPROACH,42,0.3225307932269239,False
RTH_AFTERNOON,ORH,APPROACH,84,0.320472094984779,False
RTH_AFTERNOON,ORH,TOUCH,576,0.2609040950642442,False
RTH_AFTERNOON,PDH,SWEEP,662,0.24550364276259176,True
RTH_AFTERNOON,ONL,APPROACH,22,0.23323075634816076,False
RTH_AFTERNOON,ONH,TOUCH,326,0.20710597910551226,False
RTH_AFTERNOON,ONH,SWEEP,978,0.1915742373469559,True
RTH_AFTERNOON,ORL,APPROACH,88,0.18959813899169625,False
RTH_AFTERNOON,ONL,TOUCH,350,0.18104095628163042,False
RTH_AFTERNOON,ORH,SWEEP,1372,0.17363789774808186,True
RTH_AFTERNOON,ORL,SWEEP,1212,0.15723521934921394,False
RTH_AFTERNOON,ORL,TOUCH,450,0.15055404306497047,False
RTH_AFTERNOON,ONL,BREAK_HOLD,228,0.12488989006647458,False
RTH_AFTERNOON,PDL,TOUCH,272,0.11235309968512801,False
RTH_AFTERNOON,ORL,BREAK_FAILURE,166,0.10126943286245896,False
RTH_AFTERNOON,ONL,SWEEP,890,0.10068946478312621,False
RTH_AFTERNOON,SESSION_OPEN,SWEEP,870,0.09689775963054388,False
RTH_AFTERNOON,ORL,BREAK_HOLD,266,0.0809837215148087,False
RTH_AFTERNOON,PDL,BREAK_HOLD,106,0.06817074668547932,False
RTH_AFTERNOON,ONL,BREAK,522,0.06035306372452557,False
RTH_AFTERNOON,PDL,BREAK,378,0.035842581590096914,False
RTH_AFTERNOON,PDH,TOUCH,298,0.02302292388479647,False
RTH_AFTERNOON,ORL,BREAK,722,0.010863822411718497,False
RTH_AFTERNOON,SESSION_OPEN,BREAK_FAILURE,76,-0.004219310131198023,False
RTH_AFTERNOON,SESSION_OPEN,TOUCH,332,-0.004728127727639291,False
RTH_AFTERNOON,ONH,APPROACH,10,-0.005480046473821658,False
RTH_AFTERNOON,PRIOR_RTH_CLOSE,BREAK,594,-0.019180690513208414,False
RTH_AFTERNOON,ORH,BREAK,854,-0.03183050436900262,False
RTH_AFTERNOON,PDH,BREAK,466,-0.04401242748936049,False
RTH_AFTERNOON,PDH,BREAK_FAILURE,94,-0.07067658251659956,False
RTH_AFTERNOON,ONH,BREAK,644,-0.09169004869663311,False
RTH_AFTERNOON,ORH,BREAK_HOLD,304,-0.09785693998842222,False
RTH_AFTERNOON,ONL,BREAK_FAILURE,104,-0.0999346640844569,False
RTH_AFTERNOON,PDL,SWEEP,626,-0.10584060105003952,False
RTH_AFTERNOON,PRIOR_RTH_CLOSE,TOUCH,366,-0.15124939647555607,False
RTH_AFTERNOON,PRIOR_RTH_CLOSE,SWEEP,910,-0.15847910287529793,False
RTH_AFTERNOON,SESSION_OPEN,BREAK,602,-0.26941349022123284,False
RTH_AFTERNOON,ONH,BREAK_HOLD,240,-0.30446639224898636,False
RTH_AFTERNOON,SESSION_OPEN,BREAK_HOLD,122,-0.4250580076739106,False
RTH_AFTERNOON,PRIOR_RTH_CLOSE,BREAK_HOLD,192,-0.42679562990139513,False
RTH_AFTERNOON,PRIOR_RTH_CLOSE,BREAK_FAILURE,88,-0.6493132895726917,False
RTH_MID_MORNING,ONL,BREAK_FAILURE,136,0.30799709921859647,False
RTH_MID_MORNING,SESSION_OPEN,BREAK_FAILURE,72,0.2693956055392488,False
RTH_MID_MORNING,PRIOR_RTH_CLOSE,BREAK_FAILURE,84,0.24490588363565274,False
RTH_MID_MORNING,PDL,BREAK_FAILURE,66,0.23916725002031805,False
RTH_MID_MORNING,PDL,TOUCH,278,0.2143600906476378,False
RTH_MID_MORNING,ORH,APPROACH,360,0.194744878662861,False
RTH_MID_MORNING,ONH,TOUCH,422,0.14684024165786433,False
RTH_MID_MORNING,ORL,BREAK_HOLD,746,0.09479293168585816,False
RTH_MID_MORNING,ORH,TOUCH,776,0.09457460724888148,False
RTH_MID_MORNING,PDH,BREAK_HOLD,132,0.08303220296892341,False
RTH_MID_MORNING,SESSION_OPEN,TOUCH,424,0.060284246828045715,False
