level,event_type,direction,time_bucket,displacement_quantile,horizon,N,sample_tier,mean_forward_atr,median_forward_atr,positive_return_rate,mfe_atr,mae_atr,effect_size,standard_error,ci95_low,ci95_high,raw_p_value,era1_avg_atr,era2_avg_atr,era3_avg_atr,same_sign_across_eras,replicated,fdr_q_value,fdr_survivor_5pct
SESSION_OPEN,TOUCH,continuation,OVERNIGHT,Q4,1,696,ANALYZABLE,0.01694090780890019,-0.0746146072016588,0.44971264367816094,0.6726281991594095,0.6148942183906065,0.01694090780890019,0.03405983204534852,-0.047586610311011815,0.08700603127815325,0.6189163755544618,0.08182280222610526,0.010213205530518334,-0.050963858658039464,False,False,1.0,False
SESSION_OPEN,BREAK,continuation,OVERNIGHT,Q4,1,906,ANALYZABLE,0.027288547788521945,-0.06871679483778875,0.4602649006622517,0.682984505219091,0.5977932644518759,0.027288547788521945,0.02857286699293584,-0.024510975788282107,0.08187243236119583,0.3395518607778417,0.04350084201874687,-0.005886824295160404,0.0536865072629969,False,False,1.0,False
SESSION_OPEN,BREAK_HOLD,continuation,OVERNIGHT,Q3,1,531,ANALYZABLE,0.04049915740883775,0.0,0.4839924670433145,0.43620494364541684,0.3747925970565739,0.04049915740883775,0.022664023148444193,-0.006796649141936944,0.08621377322490709,0.07394784358026765,-0.0012484515835426604,0.047366893098246425,0.08017839575881765,False,False,1.0,False
SESSION_OPEN,APPROACH,continuation,OVERNIGHT,Q2,1,488,ANALYZABLE,-0.010940912911251632,-0.02980862083245665,0.45901639344262296,0.3767372259883312,0.37768510307782366,-0.010940912911251632,0.02437928986375989,-0.058635491396038984,0.03167054283042118,1.0,-0.006604473946401403,-0.024936864221732646,0.0014238998382260825,False,False,1.0,False
PDH,TOUCH,continuation,OVERNIGHT,Q3,1,331,ANALYZABLE,0.0024822622333553527,-0.0571174343153044,0.44410876132930516,0.5868983966949126,0.5222285052525955,0.0024822622333553527,0.039115805821583347,-0.07297234734312986,0.0769670901206524,0.9494007560379695,0.014461645857433116,-0.02657219347236551,0.02240913968430209,False,False,1.0,False
SESSION_OPEN,SWEEP,continuation,OVERNIGHT,Q3,1,1570,ANALYZABLE,0.020099651504425206,0.0,0.4949044585987261,0.5290678956955335,0.49431259190164323,0.020099651504425206,0.017558630422598802,-0.013288063883097142,0.05389775264562699,0.2523266721723201,0.024019731278944714,-0.007558916795893758,0.050090488897050214,False,False,1.0,False
PDH,SWEEP,continuation,OVERNIGHT,Q1,1,549,ANALYZABLE,0.015133178363959245,0.0043379585497911,0.5045537340619308,0.4834477208183542,0.4849923846190062,0.015133178363959245,0.02815339729641296,-0.03475681979160246,0.06881499357653093,0.5909044449249519,0.05948727094073785,0.016898926561847133,-0.03493206681890457,False,False,1.0,False
PDH,BREAK,continuation,OVERNIGHT,Q3,1,397,ANALYZABLE,0.08346155086980034,0.0303181268068369,0.5062972292191436,0.6086246566200072,0.4881098243628776,0.08346155086980034,0.034086398622763005,0.01866731689294898,0.15120571521211232,0.014344070323309487,0.07591041217146456,0.12692039685239462,0.04429621811710488,True,True,0.7552894959894341,False
PDH,SWEEP,continuation,OVERNIGHT,Q4,1,544,ANALYZABLE,0.05869329098589183,0.0,0.49264705882352944,0.7405087371363845,0.625799595003174,0.05869329098589183,0.04027662307968964,-0.018095620706897228,0.14150520007257195,0.14504613631521976,0.13041563396331876,-0.03475242407259787,0.08552363933709861,False,False,1.0,False
PDH,TOUCH,continuation,OVERNIGHT,Q2,1,338,ANALYZABLE,0.015815010356423898,-0.057754864182132895,0.4556213017751479,0.5236981959634118,0.47933932195831613,0.015815010356423898,0.036834193908012416,-0.05218311971885927,0.0889748586413725,0.6676636121401325,0.008820447721861076,0.020434477192344876,0.02028913918393666,True,False,1.0,False
SESSION_OPEN,TOUCH,continuation,OVERNIGHT,Q2,1,950,ANALYZABLE,-0.02182214799925897,0.0,0.4726315789473684,0.43354203152549686,0.4754824875704002,-0.02182214799925897,0.020042566574585436,-0.061037004903456364,0.017059780914829552,1.0,0.016193381498179164,-0.05146625145914316,-0.028321356331579596,False,False,1.0,False
PDH,BREAK_HOLD,continuation,OVERNIGHT,Q3,1,200,WEAK_SAMPLE,0.019051870644623305,0.0,0.47,0.5074027773755515,0.4529398371557977,0.019051870644623305,0.04601919706262714,-0.07036514759180032,0.11080626367555678,0.6788753312554892,0.10499750359596458,-0.05235746883480708,-0.02193049843653607,False,False,1.0,False
ONL,APPROACH,continuation,OVERNIGHT,Q2,1,448,ANALYZABLE,0.0044309479613218305,-0.05994692202752505,0.45535714285714285,0.6543703706221035,0.558887581835059,0.0044309479613218305,0.038489098242601924,-0.06936388094426901,0.07940607635751751,0.9083482989322895,-0.017717466741586998,-0.02010498131178869,0.06817319686429321,False,False,1.0,False
ONL,TOUCH,continuation,OVERNIGHT,Q2,1,1479,ANALYZABLE,0.006174196235767922,0.0,0.4685598377281947,0.6369679628654203,0.5837811680828301,0.006174196235767922,0.020567497288531987,-0.03246600125376821,0.04715878680088848,0.7640307777607285,-0.015028831499242853,-0.01242181848737775,0.0574613765603563,False,False,1.0,False
ONH,APPROACH,continuation,OVERNIGHT,Q1,1,450,ANALYZABLE,0.016692587678604154,0.0,0.4911111111111111,0.5424541785560866,0.5036412285030913,0.016692587678604154,0.03815178502383773,-0.06268569027120713,0.08931673261584265,0.661726317753444,-0.07292555389016774,-0.0188412930751645,0.14048052217137064,False,False,1.0,False
ONH,TOUCH,continuation,OVERNIGHT,Q1,1,1513,ANALYZABLE,0.025161061922882557,0.0,0.4851288830138797,0.5822056771776647,0.5627762618883113,0.025161061922882557,0.020744223146909196,-0.013677904459595968,0.06890305870253766,0.225160799323898,0.05056210018544329,-0.015810878616460283,0.04532197997089604,False,False,1.0,False
ONL,TOUCH,continuation,OVERNIGHT,Q1,1,1524,ANALYZABLE,0.031147460879924514,0.0,0.479002624671916,0.6354185733257478,0.5747412141820731,0.031147460879924514,0.02212339261715601,-0.011413710816584016,0.07404831161788472,0.15916153428931645,0.07061008879959217,0.019683238976662434,0.0038534761075531996,True,False,1.0,False
