level,event_type,direction,horizon,N,full_mean_atr,era1_mean_atr,era2_mean_atr,era3_mean_atr,same_sign_across_eras,replicated,failure_reasons
ORH,APPROACH,continuation,3,1837,-0.012288969857505558,0.03984840356759941,-0.03538918167031318,-0.04491095371499488,False,False,not_same_sign
ONH,BREAK,continuation,3,1985,-0.10561507321569115,-0.04371790396436713,-0.21288109433874042,-0.04259896678409004,True,False,insufficient_positive_eras
ONH,BREAK_HOLD,continuation,3,1080,-0.03723584953841664,0.009811540178008135,-0.10999152589489003,-0.011123470942694306,False,False,not_same_sign
ORH,SWEEP,continuation,3,3864,0.03178567668605951,0.04832980565398349,0.02596679491300938,0.019825809198601687,True,False,effect_too_small
ORH,BREAK,continuation,3,2661,-0.03364959979914648,0.037330926566672216,-0.0975834958142346,-0.03285139919102755,False,False,not_same_sign
ORH,BREAK_HOLD,continuation,3,1396,0.011274508960322093,0.045973984460752924,-0.040503965083201164,0.03458073548420628,False,False,not_same_sign
SESSION_OPEN,BREAK_FAILURE,continuation,3,1465,-0.14246123260390434,-0.045270803476350686,-0.24872446052921163,-0.075165075923255,True,False,insufficient_positive_eras
PDH,BREAK_FAILURE,continuation,3,756,0.05778256205278068,0.0149440316318341,0.14146219155064282,-0.022359846770443306,False,False,not_same_sign
PRIOR_RTH_CLOSE,TOUCH,continuation,3,4876,0.016055763346739842,0.05973977792708194,-0.03299558096893309,0.03049288933419538,False,False,not_same_sign
PRIOR_RTH_CLOSE,SWEEP,continuation,3,9606,0.0007936139171930113,-0.0029045100576541466,-0.008668720427941076,0.017083794720174912,False,False,not_same_sign
PRIOR_RTH_CLOSE,BREAK,continuation,3,6285,-0.0914569583174481,0.0787755714666743,-0.265629827188637,0.00638755767512132,False,False,not_same_sign
PRIOR_RTH_CLOSE,BREAK_HOLD,continuation,3,2324,0.012032846473352246,0.07017702028764236,-0.016817844237872807,-0.016595689581923374,False,False,not_same_sign
PRIOR_RTH_CLOSE,APPROACH,continuation,3,1799,-0.05965845570448912,-0.0464727723637874,-0.07102127426746295,-0.06069908144051924,True,False,insufficient_positive_eras
ORL,APPROACH,continuation,3,1713,-0.013790176841132538,-0.0065371961577000955,-0.023315658795115678,-0.010723144568678596,True,False,insufficient_positive_eras
ORL,SWEEP,continuation,3,3528,-0.008437766229372513,0.06206455237411726,-0.06001402228358531,-0.020837659402444395,False,False,not_same_sign
ORL,BREAK,continuation,3,2308,-0.037614633759862105,0.07726268851897888,-0.11972144482700027,-0.055170563940647066,False,False,not_same_sign
ORL,BREAK_HOLD,continuation,3,1210,0.011042386083415217,0.030652157579939502,-0.021876623107369625,0.028144146403325437,False,False,not_same_sign
ORL,BREAK_FAILURE,continuation,3,562,0.03566575220668587,0.12504798957477453,0.03340841608416369,-0.05276409918284096,False,False,not_same_sign
ORH,BREAK_FAILURE,continuation,3,612,0.06228856970981235,0.08363518532355708,0.1504548706183977,-0.05857990552892016,False,False,not_same_sign
PDL,BREAK_HOLD,continuation,3,1204,-0.027590358074108614,0.10441274949138886,-0.09173077747754776,-0.08628520431849328,False,False,not_same_sign
PRIOR_RTH_CLOSE,BREAK_FAILURE,continuation,3,1240,-0.060963870449796946,0.019573865742013856,-0.17494720383092813,0.04294228892682417,False,False,not_same_sign
ONH,BREAK_FAILURE,continuation,3,420,0.09171431410066938,0.10766914442460415,0.10582984646341925,0.05784764566618517,True,True,
ONL,SWEEP,continuation,3,2408,0.024319439084577597,0.048387251222715595,0.026805862538411523,-0.0049873540069417695,False,False,not_same_sign
ONL,BREAK_FAILURE,continuation,3,385,0.006288305311118776,-0.08693319184517748,0.011329627196517634,0.12637279652201633,False,False,not_same_sign
SESSION_OPEN,TOUCH,reversal,3,5980,0.01806685457876719,-0.054548513454225935,0.034874753583626926,0.07779000464282922,False,False,not_same_sign
SESSION_OPEN,SWEEP,reversal,3,12020,-0.005307303594195305,-0.05547320107045617,0.0177686700127615,0.01822697860681899,False,False,not_same_sign
SESSION_OPEN,BREAK,reversal,3,8022,0.0704206556938539,-0.032498147952781595,0.2188317855227506,-0.04353861595739964,False,False,not_same_sign
SESSION_OPEN,BREAK_HOLD,reversal,3,3096,0.023543975105728844,-0.022302961021650875,0.05404762681327244,0.03787440231099864,False,False,not_same_sign
PDH,SWEEP,reversal,3,5606,-0.005199942250249016,-0.004213264101478923,-0.014160309647971043,0.0032550747740694853,False,False,not_same_sign
PDH,BREAK,reversal,3,3904,0.08102341436808555,0.038938484436402646,0.2136824177416144,-0.06876256183894106,False,False,not_same_sign
PDH,BREAK_HOLD,reversal,3,1604,0.029382358167769847,0.02208492911623608,0.06419910308311079,-0.001298171869725032,False,False,not_same_sign
PDH,APPROACH,reversal,3,1289,-0.014429313564199119,-0.018407387384444945,-0.047956925880719536,0.02680786443803341,False,False,not_same_sign
PDH,TOUCH,reversal,3,2979,-0.003100967392326779,0.034840884479347675,-0.003111174836010809,-0.04672730355752492,False,False,not_same_sign
SESSION_OPEN,APPROACH,reversal,3,2212,-0.005826262070019857,-0.005157742322894271,0.0068084431887463995,-0.02200080580089263,False,False,not_same_sign
ONL,APPROACH,reversal,3,1974,-0.004686712745088014,-0.06696230627389062,0.09909028105239245,-0.059100041348038784,False,False,not_same_sign
ONL,TOUCH,reversal,3,9635,-0.024691633926210176,-0.07637246401879572,0.032046267691656555,-0.03578385755471852,False,False,not_same_sign
ONH,APPROACH,reversal,3,2030,-0.03947597388088962,-0.022096511414320622,0.053320665701281494,-0.16787877728014855,False,False,not_same_sign
ONH,TOUCH,reversal,3,10113,-0.03442741111430674,-0.03693272924279032,-0.0020782049790831507,-0.06799629859177435,True,False,insufficient_positive_eras
PDL,TOUCH,reversal,3,2332,-0.08161143069450388,-0.1366051743606153,-0.07047741539336919,-0.040516406821503655,True,False,insufficient_positive_eras
PDL,SWEEP,reversal,3,4538,-0.02514154855089324,-0.08478842515464058,0.01038866478515086,-0.014621272587475058,False,False,not_same_sign
PDL,BREAK,reversal,3,2768,-0.03982472383486199,-0.1547339734455721,0.058289622762472064,-0.06503708501127335,False,False,not_same_sign
ONL,BREAK,reversal,3,1684,0.04347923416222468,0.06416059350300772,0.05075066174225673,0.006529330920555089,True,False,effect_too_small
PDL,BREAK_FAILURE,reversal,3,547,-0.04757618008055744,-0.059375713529786524,-0.13287764286780082,0.09880627441129129,False,False,not_same_sign
PDL,APPROACH,reversal,3,1043,-0.024059054843637608,-0.13827301718293072,0.07669203866069364,-0.04170369153991077,False,False,not_same_sign
