model,quarter,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,expectancy_R,std_trade_R,median_trade_R,sem_R,ci95_low_R,ci95_high_R,longest_drawdown_trades,longest_drawdown_days,recovery_factor
C1,2022Q1,40,14,26,35.0,-0.19358545890472484,-7.743418356188993,0.6640637965085189,14.84182896923489,2.0,-1.0,5,8,0,-0.19358545890472484,1.0984479843102768,-1.0,0.17367987608206872,-0.5339980160255795,0.14682709821612988,31,367.3576388888889,-0.5217293887593002
C1,2022Q2,36,14,22,38.888888888888886,0.05261962720293919,1.8943065793058107,1.0942648046649839,5.6400095750017485,2.0,-1.0,4,4,0,0.05261962720293919,1.3199419653861981,-1.0,0.21999032756436634,-0.37856141482321887,0.4838006692290972,13,482.31944444444446,0.33586939066592336
C1,2022Q3,35,10,25,28.571428571428573,-0.23110651697249115,-8.08872809403719,0.6661637114711639,12.088728094037188,2.0,-1.0,3,8,0,-0.23110651697249115,1.235056996967953,-1.0,0.208762735163938,-0.6402814778938096,0.17806844394882734,35,635.1736111111111,-0.6691132459193111
C1,2022Q4,30,8,22,26.666666666666668,-0.3318822944273255,-9.956468832819764,0.5017683190837725,14.027130893770309,2.0,-1.0,3,7,0,-0.3318822944273255,1.068934913773959,-1.0,0.19515992159294568,-0.714395740749499,0.05063115189484807,26,641.1423611111111,-0.7098008073227294
C1,2023Q1,26,12,14,46.15384615384615,0.14021635885614064,3.6456253302596564,1.2692902897843898,4.0,2.0,-1.0,2,3,0,0.14021635885614064,1.3072224100977845,-0.7689505870756925,0.25636740683439974,-0.3622637585392828,0.6426964762515641,8,25.041666666666668,0.9114063325649141
C1,2023Q2,39,17,22,43.58974358974359,0.2343363438697604,9.139117410920656,1.4576181762326996,4.948391850692257,2.0,-1.0,3,4,0,0.2343363438697604,1.3983254494960315,-0.7355317453384792,0.22391127264646812,-0.20452975051731712,0.6732024382568379,11,34.93055555555556,1.8468863595841012
C1,2023Q3,37,12,25,32.432432432432435,-0.12521136878876765,-4.632820645184403,0.78954345781212,8.100787720733397,2.0,-1.0,2,7,0,-0.12521136878876765,1.210579900345144,-1.0,0.19901810966896205,-0.5152868637399333,0.26486412616239796,27,57.05555555555556,-0.5718975493367175
C1,2023Q4,41,18,22,43.90243902439025,0.1639290901942792,6.721092697965448,1.305504213543884,5.0,2.0,-1.0,5,5,1,0.1639290901942792,1.3515875244330613,-1.0,0.21108250821241945,-0.24979262590206291,0.5776508062906214,21,1022.2569444444445,1.3442185395930895
C2,2021Q1,31,15,16,48.38709677419355,0.22119467205581989,6.857034833730417,1.4301295430930652,3.3377669936789705,2.0,-1.0,2,2,0,0.22119467205581989,1.3711270929056245,-0.941789964998494,0.24626169563840855,-0.2614782513954609,0.7038675955071007,13,26.98611111111111,2.0543779259355732
C2,2021Q2,37,15,22,40.54054054054054,0.10259780426853404,3.7961187579357594,1.1839222320047733,7.074767209993661,2.0,-1.0,4,8,0,0.10259780426853404,1.36052207827191,-1.0,0.22366845187448206,-0.33579236140545077,0.5409879699425189,10,95.03472222222223,0.5365715429581125
C2,2021Q3,40,17,23,42.5,0.23578091125565065,9.431236450226026,1.4418771399297006,9.751349709657427,2.0,-1.0,5,7,0,0.23578091125565065,1.4161517749637706,-1.0,0.22391325606878648,-0.20308907063917087,0.6746508931504722,24,234.02430555555554,0.9671724152078792
C2,2021Q4,48,15,33,31.25,-0.11446804700287001,-5.494466256137761,0.816903435452342,10.543832003638006,2.0,-1.0,4,11,0,-0.11446804700287001,1.2618784777607805,-1.0,0.18213646970494546,-0.4714555276245631,0.2425194336188231,43,280.31944444444446,-0.5211071510094214
C2,2022Q1,50,15,35,30.0,-0.10637355781196384,-5.318677890598192,0.820185600264577,13.63027526524598,2.0,-1.0,2,10,0,-0.10637355781196384,1.2190063544368632,-1.0,0.17239353190635961,-0.4442648803484287,0.23151776472450103,43,70.36805555555556,-0.3902106000866746
C2,2022Q2,36,16,20,44.44444444444444,0.10527115848447827,3.789761705441218,1.2148639757137847,4.50624264287153,2.0,-1.0,5,4,0,0.10527115848447827,1.2520449197299257,-0.47702409027148085,0.20867415328832095,-0.3037301819606308,0.5142724989295873,12,459.0416666666667,0.8410025837015855
C2,2022Q3,42,16,26,38.095238095238095,-0.04874102310596611,-2.0471229704505767,0.9195685498966,10.077120128284568,2.0,-1.0,3,5,0,-0.04874102310596611,1.2818699464110719,-1.0,0.19779682694695563,-0.43642280392199917,0.33894075771006693,37,80.01736111111111,-0.2031456352995823
C2,2022Q4,45,16,29,35.55555555555556,-0.14942098712580798,-6.7239444206613594,0.7526112484014044,14.978836388949315,2.0,-1.0,4,5,0,-0.14942098712580798,1.1787123929265728,-1.0,0.1757120691003506,-0.49381664256249513,0.19497466831087917,34,643.0486111111111,-0.44889631250809114
C2,2023Q1,24,10,14,41.666666666666664,0.2572289501224851,6.173494802939643,1.5015974328171267,4.069449642393016,2.0,-1.0,2,5,0,0.2572289501224851,1.4250108720912786,-0.619109308563073,0.29087912621184153,-0.31289413725272436,0.8273520374976946,8,28.67361111111111,1.5170343278432499
C2,2023Q2,36,16,20,44.44444444444444,0.046200639473729925,1.6632230210542773,1.0998142570387637,6.39855688868044,2.0,-1.0,3,5,0,0.046200639473729925,1.1301671160592077,-0.13308748226167266,0.18836118600986795,-0.32298728510561125,0.4153885640530711,30,69.09722222222223,0.2599372092786504
C2,2023Q3,38,13,25,34.21052631578947,-0.08984549154072152,-3.414128678547418,0.8470912572063122,6.014274794210605,2.0,-1.0,3,4,0,-0.08984549154072152,1.2295014845375603,-1.0,0.1994514781040653,-0.4807703886246895,0.30107940554324647,27,934.2152777777778,-0.5676708822539817
C2,2023Q4,42,14,27,33.333333333333336,-0.06642965544700984,-2.7900455287744133,0.8902428606510024,6.131493616785566,2.0,-1.0,2,6,1,-0.06642965544700984,1.2692105374468592,-1.0,0.19584343773523746,-0.45028279340807525,0.31742348251405555,23,1022.2986111111111,-0.45503521705321354
Retest,2021Q1,88,47,41,53.40909090909091,0.258425496509089,22.741443692799834,1.606199126944318,7.862286908794481,2.0,-1.0,8,6,0,0.258425496509089,1.2203337669014245,0.2660132800929865,0.1300880166481621,0.003452983878691307,0.5133980091394867,14,13.60763888888889,2.8924718668511127
Retest,2021Q2,104,43,60,41.34615384615385,0.04243798655593386,4.413550601817121,1.083914464329519,13.330233165656889,2.0,-1.0,7,8,1,0.04243798655593386,1.204913683360693,-0.43102184806149485,0.11815150737790639,-0.18913896790476264,0.2740149410166304,51,94.22222222222223,0.33109327848727316
Retest,2021Q3,118,52,66,44.067796610169495,0.09556760119247597,11.276976940712164,1.2115315275092267,7.274840732575436,2.0,-1.0,5,6,0,0.09556760119247597,1.1714212706832856,-0.1385358989214477,0.1078380688657234,-0.11579501378434191,0.30693021616929383,53,182.53125,1.5501338593181673
Retest,2021Q4,108,34,74,31.48148148148148,-0.22822018322637264,-24.647779788448243,0.6392704412798131,28.73512506071023,2.0,-1.0,4,9,0,-0.22822018322637264,1.1251643930268984,-1.0,0.10826899419944361,-0.44042741185728207,-0.016012954595463175,105,273.05555555555554,-0.8577578742522806
Retest,2022Q1,95,38,57,40.0,-0.002768210494815698,-0.2629799970074913,0.9945147068861742,11.679228014745217,2.0,-1.0,3,6,0,-0.002768210494815698,1.1691056979194756,-0.3811443889300602,0.11994771373647876,-0.23786572941831408,0.23232930842868266,93,86.50694444444444,-0.02251689894875541
Retest,2022Q2,97,33,64,34.02061855670103,-0.21152343335497048,-20.517773035432135,0.6463514714353941,23.290988279433844,2.0,-1.0,3,8,0,-0.21152343335497048,1.0988230944824677,-1.0,0.111568581514303,-0.4301978531230044,0.007150986413063415,97,545.1284722222222,-0.8809318346336346
Retest,2022Q3,110,45,65,40.90909090909091,-0.0265357751944756,-2.918935271392316,0.949419347128175,13.482498315995274,2.0,-1.0,4,7,0,-0.0265357751944756,1.152760550104886,-0.680546409943371,0.10991140588831781,-0.24196213073557848,0.1888905803466273,55,45.24305555555556,-0.2164981002021984
Retest,2022Q4,105,40,64,38.095238095238095,-0.140242638857717,-14.725477080060287,0.7218734583569194,18.05600834012165,2.0,-1.0,3,5,1,-0.140242638857717,1.0197453478329808,-0.3410185591066598,0.09951695593391333,-0.33529587248818715,0.0548105947727531,100,83.05902777777777,-0.8155444327824827
Retest,2023Q1,113,49,64,43.36283185840708,0.0931465753730273,10.525563017152084,1.1886353211682041,8.103777420856943,2.0,-1.0,4,6,0,0.0931465753730273,1.2282686338230389,-0.4508999017218525,0.11554579358183438,-0.1333231800473681,0.31961633079342266,26,738.4409722222222,1.2988465095378998
Retest,2023Q2,92,46,46,50.0,0.1540320691005476,14.170950357250378,1.3603427445705205,7.371748152696423,2.0,-1.0,6,4,0,0.1540320691005476,1.1536510645937625,-0.011319866680687504,0.12027643788004447,-0.08170974914433957,0.3897738873454347,32,28.743055555555557,1.9223324052473167
