gross_R,net_R,cost_R,MFE_R,MAE_R,bars_to_MFE,bars_to_MAE,bars_to_plus_0.5r,bars_to_plus_1r,bars_to_stop,bars_to_target,exit_type,exit_timestamp,wrong_direction,signal_id,fold,variant
3.0,2.9941324946227708,0.005867505377229153,0.03641899889314647,0.022256054879145063,1.0,1.0,,,,1.0,TARGET,2022-10-25 14:31:00-05:00,0,3417,3,M0
3.0,2.995584962147266,0.004415037852734015,0.018269122149244196,0.05937464698504364,1.0,1.0,,,,1.0,TARGET,2022-10-26 10:04:00-05:00,0,3418,3,M0
1.0,0.9828853333026235,0.017114666697376543,0.005901609205991911,0.3009820695055875,1.0,1.0,,,1.0,,STOP,2022-10-26 12:16:00-05:00,0,3419,3,M0
1.0,0.9725756239898403,0.027424376010159703,0.0,1.4090455260392398,,1.0,,,1.0,,STOP,2022-10-27 10:01:00-05:00,1,3420,3,M0
2.5,2.495506520278424,0.0044934797215756715,0.08832011866545285,0.013945281894545187,1.0,1.0,,,,1.0,TARGET,2022-10-27 12:21:00-05:00,0,3422,3,M0
3.0,2.9953904649205807,0.004609535079419511,0.046095350794195106,0.1303385781077241,1.0,1.0,,,,1.0,TARGET,2022-10-28 10:01:00-05:00,0,3423,3,M0
1.0,0.9891573319315949,0.010842668068405007,0.044866212696848304,0.014955404232282768,1.0,1.0,,,1.0,,STOP,2022-11-02 10:39:00-05:00,0,3431,3,M0
1.0,0.9803391583769424,0.01966084162305762,0.31186162574505194,0.047457203917725295,1.0,1.0,,,1.0,,STOP,2022-11-03 10:31:00-05:00,0,3434,3,M0
1.0,0.9863524816381551,0.0136475183618449,0.06117853058758059,0.028236244886575657,1.0,1.0,,,1.0,,STOP,2022-11-03 15:22:00-05:00,0,3435,3,M0
3.0,2.995215958705881,0.00478404129411896,0.009898016470590952,0.021445702352947064,1.0,1.0,,,,1.0,TARGET,2022-11-07 13:33:00-06:00,0,3440,3,M0
3.0,2.994891363032363,0.005108636967637407,0.05460956758508953,0.03875517699586999,1.0,1.0,,,,1.0,TARGET,2022-11-08 10:31:00-06:00,0,3441,3,M0
1.0,0.9837127195195153,0.016287280480484702,0.005616303613960242,0.3987575565911771,1.0,1.0,,,1.0,,STOP,2022-11-08 12:50:00-06:00,0,3442,3,M0
3.0,2.994654465810356,0.005345534189643594,0.03317917772882231,0.023962739470816112,1.0,1.0,,,,1.0,TARGET,2022-11-10 14:31:00-06:00,0,3445,3,M0
1.0,0.8611327388067528,0.13886726119324724,1.149246299530322,3.399853636110536,1.0,1.0,1.0,1.0,1.0,,STOP,2022-11-11 10:31:00-06:00,0,3446,3,M0
2.5,2.4959128344152064,0.004087165584793661,0.005637469772129188,0.056374697721291875,1.0,1.0,,,,1.0,TARGET,2022-11-11 11:16:00-06:00,0,3447,3,M0
1.0,0.9934562857330915,0.006543714266908456,0.06543714266908456,0.04964197030068484,1.0,1.0,,,1.0,,STOP,2022-11-14 10:40:00-06:00,0,3450,3,M0
3.0,2.993955988652725,0.006044011347274716,0.060440113472747165,0.008336567375551333,1.0,1.0,,,,1.0,TARGET,2022-11-14 12:52:00-06:00,0,3451,3,M0
1.0,0.9797948354479241,0.020205164552075872,0.37623409855589557,0.2995938192204354,1.0,1.0,,,1.0,,STOP,2022-11-15 12:49:00-06:00,0,3453,3,M0
2.5,2.494498904204048,0.005501095795951866,0.23901312768618452,0.024660084602542848,1.0,1.0,,,,1.0,TARGET,2022-11-15 13:56:00-06:00,0,3454,3,M0
1.0,0.9846233136161378,0.01537668638386223,0.18027839208666063,0.010604611299215331,1.0,1.0,,,1.0,,STOP,2022-11-17 13:36:00-06:00,0,3458,3,M0
3.0,2.994247827514998,0.005752172485002183,0.0019835077534490287,0.08727434115175726,1.0,1.0,,,,1.0,TARGET,2022-11-22 10:26:00-06:00,0,3463,3,M0
3.0,2.9936465097159646,0.006353490284035605,0.01752686974906374,0.01752686974906374,1.0,1.0,,,,1.0,TARGET,2022-11-22 12:33:00-06:00,0,3464,3,M0
3.0,2.994444470672102,0.005555529327898211,0.005747099304722288,0.019156997682407625,1.0,1.0,,,,1.0,TARGET,2022-11-23 12:48:00-06:00,0,3465,3,M0
-1.0,-1.0209566534389098,0.020956653438909883,0.7226432220313753,1.0406062397251805,3.0,39.0,3.0,,39.0,,STOP,2022-11-29 10:56:00-06:00,0,3471,3,M0
3.0,2.9957801647290885,0.004219835270911456,0.21972245720952754,0.021826734159886844,1.0,1.0,,,,1.0,TARGET,2022-11-30 12:31:00-06:00,0,3474,3,M0
3.0,2.995609491680178,0.004390508319822197,0.010597778703019095,0.039363178039785215,1.0,1.0,,,,1.0,TARGET,2022-12-02 14:17:00-06:00,0,3480,3,M0
3.0,2.9939130397692844,0.006086960230715751,0.08395807214780346,0.023088469840645953,1.0,1.0,,,,1.0,TARGET,2022-12-05 10:01:00-06:00,0,3482,3,M0
1.0,0.9806964009682236,0.019303599031776378,0.3727591537170611,0.013312826918466466,1.0,1.0,,,1.0,,STOP,2022-12-05 10:55:00-06:00,0,3483,3,M0
1.0,0.9871398889321296,0.012860111067870486,0.06651781586829561,0.14190467385236397,1.0,1.0,,,1.0,,STOP,2022-12-05 12:03:00-06:00,0,3484,3,M0
1.0,0.975912048528176,0.024087951471823913,0.16612380325395804,0.16612380325395804,1.0,1.0,,,1.0,,STOP,2022-12-09 14:46:00-06:00,0,3490,3,M0
3.0,2.9943194232582853,0.005680576741714665,0.08031160221044871,0.0,1.0,,,,,1.0,TARGET,2022-12-12 14:23:00-06:00,0,3493,3,M0
1.0,0.9956146378763552,0.004385362123644799,0.015121938357395857,0.051414590415145914,1.0,1.0,,,1.0,,STOP,2022-12-15 10:32:00-06:00,0,3498,3,M0
3.0,2.997095887464328,0.002904112535671929,0.003004254347246823,0.036051052166961875,1.0,1.0,,,,1.0,TARGET,2022-12-15 14:01:00-06:00,0,3499,3,M0
2.5,2.497459299783053,0.002540700216946745,0.019274277507871862,0.014893759892446437,1.0,1.0,,,,1.0,TARGET,2022-12-16 14:16:00-06:00,0,3503,3,M0
1.0,0.995653130972867,0.004346869027133032,0.0719481770008226,0.0014989203541838042,1.0,1.0,,,1.0,,STOP,2022-12-19 10:01:00-06:00,0,3504,3,M0
1.0,0.994593122497097,0.005406877502902999,0.11745975264927205,0.046611012956060335,1.0,1.0,,,1.0,,STOP,2022-12-20 10:16:00-06:00,0,3506,3,M0
3.0,2.996948560562952,0.0030514394370480674,0.037879937839217385,0.002104440991067633,1.0,1.0,,,,1.0,TARGET,2022-12-21 10:01:00-06:00,0,3508,3,M0
3.0,2.997009989547679,0.0029900104523210443,0.00309311426102177,0.016496609392116106,1.0,1.0,,,,1.0,TARGET,2022-12-22 13:33:00-06:00,0,3511,3,M0
1.0,0.995721400885596,0.004278599114404002,0.013278411044702076,0.025081443084437254,1.0,1.0,,,1.0,,STOP,2022-12-28 10:16:00-06:00,0,3516,3,M0
1.0,0.9958209156262294,0.004179084373770593,0.05187828877784185,0.007205317885811368,1.0,1.0,,,1.0,,STOP,2022-12-28 13:09:00-06:00,0,3518,3,M0
3.0,2.996873369210332,0.0031266307896680627,0.020484822415066616,0.003234445644484203,1.0,1.0,,,,1.0,TARGET,2022-12-29 10:01:00-06:00,0,3519,3,M0
3.0,2.9969966253041793,0.0030033746958206954,0.02692680761770279,0.003106939340504168,1.0,1.0,,,,1.0,TARGET,2022-12-30 14:32:00-06:00,0,3523,3,M0
1.0,0.9960245572000049,0.003975442799995091,0.0013708423448258935,0.009595896413781255,1.0,1.0,,,1.0,,STOP,2023-01-06 15:26:00-06:00,0,3531,4,M0
3.0,2.997226537602097,0.0027734623979029775,0.008607297096940275,0.015301861505671598,1.0,1.0,,,,1.0,TARGET,2023-01-09 10:07:00-06:00,0,3532,4,M0
1.0,0.99577697413679,0.004223025863210003,0.010193510704300007,0.03786161118740002,1.0,1.0,,,1.0,,STOP,2023-01-13 10:31:00-06:00,0,3543,4,M0
3.0,2.9969434143125273,0.0030565856874727555,0.005269975323228889,0.015809925969686667,1.0,1.0,,,,1.0,TARGET,2023-01-13 13:02:00-06:00,0,3545,4,M0
