gross_R,net_R,cost_R,MFE_R,MAE_R,bars_to_MFE,bars_to_MAE,bars_to_plus_0.5r,bars_to_plus_1r,bars_to_stop,bars_to_target,exit_type,exit_timestamp,wrong_direction,signal_id,fold,variant,family,bars_to_plus_1.5r,bars_to_plus_2r,exit_i,exit_price,hold_bars,mfe_capture,realized_parts,initial_risk_points,initial_stop,initial_target
1.0,0.9994654127866732,0.000534587213326827,0.027098041503118474,0.0020277446022741717,,,,,,,STOP,2025-04-28 10:21:00-05:00,0,5067,6,TIME_60,Time_Exit,,,2662064.0,18041.313428517675,1.0,36.90303595870273,1.0,1356.1865714823252,18041.313428517675,17872.810588734523
3.0,2.9995724358473486,0.0004275641526513504,0.007519231650075472,0.008846154882441733,,,,,,,TARGET,2025-04-30 15:02:00-05:00,0,5070,6,TIME_60,Time_Exit,,,2665105.0,18266.70305894317,1.0,398.9769353587994,1.0,1695.6519752748973,18033.098024725103,18266.70305894317
3.0,2.9995189034899106,0.00048109651008947877,0.015760058089138097,0.00016589534830671683,,,,,,,TARGET,2025-05-01 10:16:00-05:00,0,5071,6,TIME_60,Time_Exit,,,2666199.0,18737.339211943316,1.0,190.35462832891545,1.0,1506.9741409372473,18585.025859062753,18737.339211943316
3.0,2.9995191179795406,0.0004808820204595819,0.0008291069318268654,0.005637927136422685,,,,,,,TARGET,2025-05-05 10:05:00-05:00,0,5077,6,TIME_60,Time_Exit,,,2668948.0,18729.543013919963,1.0,3618.3511255776857,1.0,1507.6463023240358,18607.853697675964,18729.543013919963
1.0,0.9994834038914375,0.0005165961085625198,0.011578878295366822,0.0016032293024354062,,,,,,,STOP,2025-05-05 14:22:00-05:00,0,5079,6,TIME_60,Time_Exit,,,2669205.0,18721.082537144182,1.0,86.36415156035801,1.0,1403.4174628558176,18721.082537144182,18633.40502755792
1.0,0.9994884651337668,0.0005115348662331796,0.0022930873313901155,0.0031750439973093907,,,,,,,STOP,2025-05-06 15:24:00-05:00,0,5081,6,TIME_60,Time_Exit,,,2670647.0,18459.19680552036,1.0,436.0932906091195,1.0,1417.3031944796385,18459.19680552036,18302.40958343892
3.0,2.99952514108114,0.0004748589188601712,0.0011462111834555856,0.005894800372057298,,,,,,,TARGET,2025-05-07 12:04:00-05:00,0,5083,6,TIME_60,Time_Exit,,,2671827.0,18531.886563970536,1.0,2617.3187308778747,1.0,1526.7692596787601,18382.73074032124,18531.886563970536
2.5,2.499550079314185,0.00044992068581475273,0.004809496986295633,0.009618993972591265,,,,,,,TARGET,2025-05-07 14:09:00-05:00,0,5084,6,TIME_60,Time_Exit,,,2671952.0,18465.40456415656,1.0,519.8048792053715,1.0,1611.395125536652,18272.604874463348,18465.40456415656
3.0,2.999548119315745,0.0004518806842548105,0.00794686720586046,0.0009349255536306425,,,,,,,TARGET,2025-05-08 10:36:00-05:00,0,5085,6,TIME_60,Time_Exit,,,2673119.0,18768.97615556974,1.0,377.5072518875908,1.0,1604.405820522261,18595.34417947774,18768.97615556974
1.0,0.9994546941993193,0.0005453058006806771,0.005265021523813434,0.0020684013129267063,,,,,,,STOP,2025-05-08 15:11:00-05:00,0,5086,6,TIME_60,Time_Exit,,,2673394.0,18831.47077237209,1.0,189.93274680398721,1.0,1329.5292276279106,18831.47077237209,18664.110278658143
3.0,2.999517331950135,0.00048266804986522383,0.00016643725857421512,0.003328745171484302,,,,,,,TARGET,2025-05-12 15:19:00-05:00,0,5089,6,TIME_60,Time_Exit,,,2676162.0,19592.952555995424,1.0,18024.81022398171,1.0,1502.0675186651424,19448.682481334858,19592.952555995424
3.0,2.9995273282837225,0.0004726717162776335,0.003911765927814898,0.001955882963907449,,,,,,,TARGET,2025-05-15 10:16:00-05:00,0,5093,6,TIME_60,Time_Exit,,,2679999.0,19982.368609565176,1.0,766.9170536683395,1.0,1533.8341073366792,19851.91589266332,19982.368609565176
