failure_event_id,failure_definition,displacement_direction,reversal_direction,body_ratio,body_atr_ratio,reclaim_depth,bars_until_reclaim,bars_until_opposite_bos,extreme_beyond_disp,reversal_body,reversal_close_location,volume_ratio24
A_MID_4_2018-04-05 11:45:00-05:00_Short,A_MID_4,Long,Short,1.6589861751152075,0.7307923050370188,1.554054054054054,2,2,,29.75,0.20666666666666667,1.2861762474912262
B_OPEN_4_2018-04-05 11:45:00-05:00_Short,B_OPEN_4,Long,Short,1.6589861751152075,0.7307923050370188,1.2297297297297298,2,2,,29.75,0.20666666666666667,1.2861762474912262
C_EXT_MID_4_2018-04-05 11:45:00-05:00_Short,C_EXT_MID_4,Long,Short,1.6589861751152075,0.7307923050370188,1.554054054054054,2,2,8.0,29.75,0.20666666666666667,1.2861762474912262
C_EXT_OPEN_4_2018-04-05 11:45:00-05:00_Short,C_EXT_OPEN_4,Long,Short,1.6589861751152075,0.7307923050370188,1.2297297297297298,2,2,8.0,29.75,0.20666666666666667,1.2861762474912262
D_OPP_BOS_2018-04-05 11:45:00-05:00_Short,D_OPP_BOS,Long,Short,1.6589861751152075,0.7307923050370188,0.8378378378378378,2,2,,29.75,0.20666666666666667,1.2861762474912262
E_MID_BOS_2018-04-05 11:45:00-05:00_Short,E_MID_BOS,Long,Short,1.6589861751152075,0.7307923050370188,1.554054054054054,2,2,,29.75,0.20666666666666667,1.2861762474912262
E_OPEN_BOS_2018-04-05 11:45:00-05:00_Short,E_OPEN_BOS,Long,Short,1.6589861751152075,0.7307923050370188,1.2297297297297298,2,2,,29.75,0.20666666666666667,1.2861762474912262
A_MID_1_2018-04-05 12:30:00-05:00_Long,A_MID_1,Short,Long,2.012422360248447,0.9465872608020728,0.24050632911392406,1,1,,24.75,0.8373983739837398,1.4506568658116985
B_OPEN_1_2018-04-05 12:30:00-05:00_Long,B_OPEN_1,Short,Long,2.012422360248447,0.9465872608020728,0.12025316455696203,1,1,,24.75,0.8373983739837398,1.4506568658116985
A_MID_2_2018-04-05 12:30:00-05:00_Long,A_MID_2,Short,Long,2.012422360248447,0.9465872608020728,0.24050632911392406,1,1,,24.75,0.8373983739837398,1.4506568658116985
B_OPEN_2_2018-04-05 12:30:00-05:00_Long,B_OPEN_2,Short,Long,2.012422360248447,0.9465872608020728,0.12025316455696203,1,1,,24.75,0.8373983739837398,1.4506568658116985
A_MID_3_2018-04-05 12:30:00-05:00_Long,A_MID_3,Short,Long,2.012422360248447,0.9465872608020728,0.24050632911392406,1,1,,24.75,0.8373983739837398,1.4506568658116985
B_OPEN_3_2018-04-05 12:30:00-05:00_Long,B_OPEN_3,Short,Long,2.012422360248447,0.9465872608020728,0.12025316455696203,1,1,,24.75,0.8373983739837398,1.4506568658116985
A_MID_4_2018-04-05 12:30:00-05:00_Long,A_MID_4,Short,Long,2.012422360248447,0.9465872608020728,0.24050632911392406,1,1,,24.75,0.8373983739837398,1.4506568658116985
B_OPEN_4_2018-04-05 12:30:00-05:00_Long,B_OPEN_4,Short,Long,2.012422360248447,0.9465872608020728,0.12025316455696203,1,1,,24.75,0.8373983739837398,1.4506568658116985
D_OPP_BOS_2018-04-05 13:30:00-05:00_Short,D_OPP_BOS,Long,Short,1.6685456595264938,0.853265150767094,3.823529411764706,12,12,,85.5,0.0,0.4652283317401052
A_MID_3_2018-04-06 11:00:00-05:00_Long,A_MID_3,Short,Long,2.0871559633027523,0.9028162477303486,0.37272727272727274,3,3,,15.0,0.8723404255319149,0.9105952456081496
C_EXT_MID_3_2018-04-06 11:00:00-05:00_Long,C_EXT_MID_3,Short,Long,2.0871559633027523,0.9028162477303486,0.37272727272727274,3,3,19.25,15.0,0.8723404255319149,0.9105952456081496
A_MID_4_2018-04-06 11:00:00-05:00_Long,A_MID_4,Short,Long,2.0871559633027523,0.9028162477303486,0.37272727272727274,3,3,,15.0,0.8723404255319149,0.9105952456081496
C_EXT_MID_4_2018-04-06 11:00:00-05:00_Long,C_EXT_MID_4,Short,Long,2.0871559633027523,0.9028162477303486,0.37272727272727274,3,3,19.25,15.0,0.8723404255319149,0.9105952456081496
D_OPP_BOS_2018-04-06 12:45:00-05:00_Long,D_OPP_BOS,Short,Long,2.4826522744795683,1.423296104237734,0.2023121387283237,12,12,,18.25,0.8333333333333334,0.13512510797377478
D_OPP_BOS_2018-04-09 10:45:00-05:00_Short,D_OPP_BOS,Long,Short,2.324159021406728,1.2017897457370512,0.2125,9,9,,19.25,0.24778761061946902,1.0509247565821538
A_MID_1_2018-04-09 11:00:00-05:00_Short,A_MID_1,Long,Short,1.92090395480226,1.0257435805240445,0.11320754716981132,1,1,,14.75,0.13953488372093023,1.10669261358829
C_EXT_MID_1_2018-04-09 11:00:00-05:00_Short,C_EXT_MID_1,Long,Short,1.92090395480226,1.0257435805240445,0.11320754716981132,1,1,2.25,14.75,0.13953488372093023,1.10669261358829
A_MID_2_2018-04-09 11:00:00-05:00_Short,A_MID_2,Long,Short,1.92090395480226,1.0257435805240445,0.11320754716981132,1,1,,14.75,0.13953488372093023,1.10669261358829
B_OPEN_2_2018-04-09 11:00:00-05:00_Short,B_OPEN_2,Long,Short,1.92090395480226,1.0257435805240445,0.08490566037735849,2,2,,4.5,0.625,1.108709255845831
C_EXT_MID_2_2018-04-09 11:00:00-05:00_Short,C_EXT_MID_2,Long,Short,1.92090395480226,1.0257435805240445,0.11320754716981132,1,1,2.25,14.75,0.13953488372093023,1.10669261358829
C_EXT_OPEN_2_2018-04-09 11:00:00-05:00_Short,C_EXT_OPEN_2,Long,Short,1.92090395480226,1.0257435805240445,0.08490566037735849,2,2,2.25,4.5,0.625,1.108709255845831
A_MID_3_2018-04-09 11:00:00-05:00_Short,A_MID_3,Long,Short,1.92090395480226,1.0257435805240445,0.11320754716981132,1,1,,14.75,0.13953488372093023,1.10669261358829
B_OPEN_3_2018-04-09 11:00:00-05:00_Short,B_OPEN_3,Long,Short,1.92090395480226,1.0257435805240445,0.08490566037735849,2,2,,4.5,0.625,1.108709255845831
C_EXT_MID_3_2018-04-09 11:00:00-05:00_Short,C_EXT_MID_3,Long,Short,1.92090395480226,1.0257435805240445,0.11320754716981132,1,1,2.25,14.75,0.13953488372093023,1.10669261358829
C_EXT_OPEN_3_2018-04-09 11:00:00-05:00_Short,C_EXT_OPEN_3,Long,Short,1.92090395480226,1.0257435805240445,0.08490566037735849,2,2,2.25,4.5,0.625,1.108709255845831
A_MID_4_2018-04-09 11:00:00-05:00_Short,A_MID_4,Long,Short,1.92090395480226,1.0257435805240445,0.11320754716981132,1,1,,14.75,0.13953488372093023,1.10669261358829
B_OPEN_4_2018-04-09 11:00:00-05:00_Short,B_OPEN_4,Long,Short,1.92090395480226,1.0257435805240445,0.08490566037735849,2,2,,4.5,0.625,1.108709255845831
C_EXT_MID_4_2018-04-09 11:00:00-05:00_Short,C_EXT_MID_4,Long,Short,1.92090395480226,1.0257435805240445,0.11320754716981132,1,1,2.25,14.75,0.13953488372093023,1.10669261358829
C_EXT_OPEN_4_2018-04-09 11:00:00-05:00_Short,C_EXT_OPEN_4,Long,Short,1.92090395480226,1.0257435805240445,0.08490566037735849,2,2,2.25,4.5,0.625,1.108709255845831
D_OPP_BOS_2018-04-09 11:00:00-05:00_Short,D_OPP_BOS,Long,Short,1.92090395480226,1.0257435805240445,0.16037735849056603,8,8,,19.25,0.24778761061946902,1.0509247565821538
E_MID_BOS_2018-04-09 11:00:00-05:00_Short,E_MID_BOS,Long,Short,1.92090395480226,1.0257435805240445,0.8301886792452831,8,8,,19.25,0.24778761061946902,1.0509247565821538
E_OPEN_BOS_2018-04-09 11:00:00-05:00_Short,E_OPEN_BOS,Long,Short,1.92090395480226,1.0257435805240445,0.6226415094339622,8,8,,19.25,0.24778761061946902,1.0509247565821538
A_MID_2_2018-04-10 09:30:00-05:00_Short,A_MID_2,Long,Short,3.2217573221757325,1.1664549776236417,0.14102564102564102,2,2,,3.5,0.37373737373737376,1.952563839455862
C_EXT_MID_2_2018-04-10 09:30:00-05:00_Short,C_EXT_MID_2,Long,Short,3.2217573221757325,1.1664549776236417,0.14102564102564102,2,2,3.0,3.5,0.37373737373737376,1.952563839455862
A_MID_3_2018-04-10 09:30:00-05:00_Short,A_MID_3,Long,Short,3.2217573221757325,1.1664549776236417,0.14102564102564102,2,2,,3.5,0.37373737373737376,1.952563839455862
C_EXT_MID_3_2018-04-10 09:30:00-05:00_Short,C_EXT_MID_3,Long,Short,3.2217573221757325,1.1664549776236417,0.14102564102564102,2,2,3.0,3.5,0.37373737373737376,1.952563839455862
A_MID_4_2018-04-10 09:30:00-05:00_Short,A_MID_4,Long,Short,3.2217573221757325,1.1664549776236417,0.14102564102564102,2,2,,3.5,0.37373737373737376,1.952563839455862
C_EXT_MID_4_2018-04-10 09:30:00-05:00_Short,C_EXT_MID_4,Long,Short,3.2217573221757325,1.1664549776236417,0.14102564102564102,2,2,3.0,3.5,0.37373737373737376,1.952563839455862
D_OPP_BOS_2018-04-10 09:30:00-05:00_Short,D_OPP_BOS,Long,Short,3.2217573221757325,1.1664549776236417,1.1794871794871795,7,7,,25.5,0.39779005524861877,2.2258301649658923
E_MID_BOS_2018-04-10 09:30:00-05:00_Short,E_MID_BOS,Long,Short,3.2217573221757325,1.1664549776236417,1.794871794871795,7,7,,25.5,0.39779005524861877,2.2258301649658923
A_MID_3_2018-04-10 14:00:00-05:00_Short,A_MID_3,Long,Short,1.6533333333333333,0.6689550767309156,0.0873015873015873,3,3,,4.5,0.2619047619047619,1.2196216522444263
C_EXT_MID_3_2018-04-10 14:00:00-05:00_Short,C_EXT_MID_3,Long,Short,1.6533333333333333,0.6689550767309156,0.0873015873015873,3,3,6.75,4.5,0.2619047619047619,1.2196216522444263
