analysis_level,dimension,category,family_id,family_definition,direction_slice,sample_label,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
Single factor direction slice,BOS→Retest timing,Immediate retest (1 bar),,,Long,ADEQUATE N,283,40.141843971631204,121,161,1,42.75618374558304,-0.041336126098588256,-0.4724893195420648,-11.698123685900477,0.9162875471964191,20.930320127322815,119,164,0,42.04946996466431,-0.0747336082532682,-0.49989370007550304,-21.149611135674903,0.8545709145189126,27.747571655439675,0.9466368256649419,0.850076265047247
Single factor direction slice,BOS→Retest timing,Immediate retest (1 bar),,,Short,ADEQUATE N,260,36.87943262411348,110,150,0,42.30769230769231,0.05946748361422592,-0.6215126195560579,15.461545739698739,1.1143066674263062,20.08436162716442,107,153,0,41.15384615384615,0.025895917641331822,-0.6681761797785896,6.732938586746274,1.0479311009599481,23.066899050625366,1.1622242382269223,0.8582158158479342
Single factor,Retest→Confirm timing,Delayed confirmation (2+ bars),,,All,ADEQUATE N,177,25.106382978723403,79,98,0,44.632768361581924,-0.01774400436757146,-0.4341135583962626,-3.1406887730601487,0.9639668009870367,12.667071685564526,77,100,0,43.50282485875706,-0.04874294891656143,-0.45184495726033486,-8.627501958231374,0.9043526691168315,17.50110180524465,0.9728502419649319,0.8722548565849667
Single factor direction slice,Retest→Confirm timing,Delayed confirmation (2+ bars),,,Long,ADEQUATE N,97,13.75886524822695,47,50,0,48.45360824742268,-0.01863580865042329,-0.21661119776113372,-1.807673439091059,0.9604492531819331,7.9992810601811035,46,51,0,47.42268041237113,-0.048050457328631446,-0.24077167751141287,-4.660894360877251,0.9012859315867494,10.418816624092415,0.9195202965080076,0.8800943784371817
Single factor direction slice,Retest→Confirm timing,Delayed confirmation (2+ bars),,,Short,ADEQUATE N,80,11.347517730496454,32,48,0,40.0,-0.016662691674613584,-0.5932346508803146,-1.3330153339690867,0.9678449089490797,10.879796927155914,31,49,0,38.75,-0.04958259496692654,-0.6204070407674849,-3.9666075973541233,0.9077212672144284,12.442567570003154,1.0375128008314525,0.8627494363391559
Single factor,Retest→Confirm timing,Immediate confirmation (1 bar),,,All,ADEQUATE N,528,74.8936170212766,210,317,1,39.77272727272727,-0.04257557308168539,-0.6989380066935622,-22.47990258712989,0.9199932191361682,36.65184830527515,207,321,0,39.20454545454545,-0.07655599260584546,-0.7450225417079106,-40.4215640958864,0.8617366358770221,48.443801815377746,1.034742629862186,0.9096700939057614
Single factor direction slice,Retest→Confirm timing,Immediate confirmation (1 bar),,,Long,ADEQUATE N,265,37.5886524822695,108,156,1,40.75471698113208,-0.05613066041327383,-0.5616002689567001,-14.874625009517565,0.8904922870433509,21.233022515417545,107,158,0,40.37735849056604,-0.09058435535459239,-0.5987895166897238,-24.004854168966983,0.8303941387567991,28.356987940206814,0.9570932994715677,0.9190412572013245
Single factor direction slice,Retest→Confirm timing,Immediate confirmation (1 bar),,,Short,ADEQUATE N,263,37.304964539007095,102,161,0,38.78326996197718,-0.028917405238069665,-1.0,-7.605277577612322,0.9476015614348708,21.033264163980306,100,163,0,38.02281368821293,-0.062420950292469295,-1.0074709115344598,-16.416709926919424,0.8911494358652244,26.944880683439415,1.1129824494572957,0.9002276670109924
Single factor,Retest behavior,Exact BOS touch,,,All,SMALL SAMPLE,29,4.113475177304965,16,13,0,55.172413793103445,0.13840694706460835,0.2107414815081934,4.013801464873642,1.3526691753860534,5.173628020081528,15,14,0,51.724137931034484,0.0868587563419481,0.18942721692919445,2.518903933916495,1.208417245315348,5.790275614297137,1.0942167183785836,0.7807857163766746
Single factor,Retest behavior,Penetration + same-bar reclaim,,,All,ADEQUATE N,443,62.836879432624116,181,261,1,40.85778781038375,-0.016131965438310625,-0.6022547580746485,-7.146460689171607,0.968863161739486,34.460753433261324,180,263,0,40.63205417607224,-0.047709104180338295,-0.6279391521690084,-21.135133151889864,0.911169081355173,42.59396909862183,1.0241420654527233,0.90691993771968
Single factor direction slice,Retest behavior,Penetration + same-bar reclaim,,,Long,ADEQUATE N,234,33.191489361702125,98,135,1,41.88034188034188,-0.017877361905392554,-0.5336982274588633,-4.183302685861857,0.964009564681646,24.578461429055263,98,136,0,41.88034188034188,-0.04942444056094914,-0.5573594983306949,-11.565319091262099,0.9040775657971033,28.988777562735056,0.9750060239889494,0.9295588758756916
Single factor direction slice,Retest behavior,Penetration + same-bar reclaim,,,Short,ADEQUATE N,209,29.645390070921987,83,126,0,39.71291866028708,-0.014177789489520346,-0.8002180812673347,-2.9631580033097524,0.9738431328680766,14.870478483662723,82,127,0,39.23444976076555,-0.04578858402214244,-0.8050426809257033,-9.56981406062777,0.9184547845245117,18.816613450613474,1.079155623838001,0.8815729926072076
Single factor,Retest behavior,Penetration without same-bar reclaim,,,All,ADEQUATE N,61,8.652482269503546,21,40,0,34.42622950819672,-0.1740316902847206,-1.0,-10.615933107367956,0.7078571956530306,10.979264185746647,21,40,0,34.42622950819672,-0.21272621090327026,-1.0119856099413187,-12.976298865099485,0.6587864360890907,13.243842659178345,1.0543144084070724,0.9427197528346727
Single factor direction slice,Retest behavior,Penetration without same-bar reclaim,,,Short,ADEQUATE N,33,4.680851063829787,13,20,0,39.39393939393939,-0.05105497261902132,-1.0,-1.6848140964277034,0.9100033437897946,4.720852166912476,13,20,0,39.39393939393939,-0.09257006410860477,-1.0099182252411822,-3.0548121155839576,0.8439781433036763,5.1459339054497555,1.185429936598104,0.9052200797576773
Single factor,Retest behavior,Tolerance-only shallow touch,,,All,ADEQUATE N,172,24.397163120567377,71,101,0,41.27906976744186,-0.0690232501658378,-1.0,-11.871999028524101,0.8693930865964697,17.594401566683164,68,104,0,39.53488372093023,-0.10149149983165649,-1.0066466441451722,-17.456537971044916,0.8152981805814826,22.55248550933282,0.9813848991491885,0.8882598609890944
