event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect,FDR_q,FDR_survivor
DISPLACEMENT_FAILURE,BEARISH,>=1.50,none,none,12,1358,-0.0365158287768605,0.21766061441844686,0.5301914580265096,-0.06741948964547309,0.03090366086861259,2.8622602043478746,2.5972655833300977,1.9327015723168368,1.9582044207491516,0.20032657847207067,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,455,0.08642663175021265,495,-0.13729425851172122,408,-0.05135283078926771,1.0,False
DISPLACEMENT_PCT_90,BEARISH,1.00-1.25,none,none,12,7079,-0.01993784865939316,-0.12487040235099155,0.4759146772142958,-0.06741948964547309,0.04748164098607993,2.2661123672214445,2.1198276343011093,1.581109926023656,1.5928062203340423,0.25646185160263446,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2381,-0.06675442282755599,2504,0.07143399554644125,2194,-0.0734131607820065,1.0,False
DISPLACEMENT_ALONE,BULLISH,>=1.50,none,none,12,5151,0.03551573606799059,0.08773298147609732,0.5119394292370414,0.059014440838124224,-0.023498704770133633,2.5242184794505,2.5941977856107736,1.8568234053976331,1.7519503586001977,-0.29891584076012306,False,False,0.4856392912984715,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1856,0.004528991045751842,1792,0.10892749664257491,1503,-0.013747388475176394,1.0,False
DISPLACEMENT_PCT_90,BULLISH,>=1.50,none,none,12,5151,0.03551573606799059,0.08773298147609732,0.5119394292370414,0.059014440838124224,-0.023498704770133633,2.5242184794505,2.5941977856107736,1.8568234053976331,1.7519503586001977,-0.29891584076012306,False,False,0.4856392912984715,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1856,0.004528991045751842,1792,0.10892749664257491,1503,-0.013747388475176394,1.0,False
DISPLACEMENT_PCT_95,BULLISH,>=1.50,none,none,12,5151,0.03551573606799059,0.08773298147609732,0.5119394292370414,0.059014440838124224,-0.023498704770133633,2.5242184794505,2.5941977856107736,1.8568234053976331,1.7519503586001977,-0.29891584076012306,False,False,0.4856392912984715,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1856,0.004528991045751842,1792,0.10892749664257491,1503,-0.013747388475176394,1.0,False
DISPLACEMENT_PCT_99,BULLISH,>=1.50,none,none,12,1405,0.10466785826721763,0.17006236976511768,0.5160142348754448,0.059014440838124224,0.0456534174290934,2.939928967040133,2.922397907190442,2.214414867708624,2.1357816129017393,-0.07664400877801868,False,True,0.3313310596655044,ERA_DEPENDENT,NEGLIGIBLE,503,0.002302531113521418,494,0.017870139199386566,408,0.33596156605598637,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BULLISH,1.00-1.25,none,none,12,1831,0.05039774612977464,0.12033143511099449,0.5166575641725832,0.05901444083812423,-0.008616694708349588,2.188069456216515,2.221071309233948,1.6241912236530822,1.504138631723591,-0.2205242446465086,False,False,0.4967266557986405,ERA_DEPENDENT,NEGLIGIBLE,616,0.010585460629951677,666,-0.046299996666399106,549,0.21237418432675584,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BULLISH,1.25-1.50,none,none,12,1593,0.13836444432694742,0.0977262370920489,0.5116133082234777,0.05901444083812423,0.07935000348882318,2.0986987329160156,1.98485866828979,1.5025041608827294,1.406601947487812,-0.13255754644933584,False,True,0.05881032092467051,SESSION_DEPENDENT,SMALL,579,0.17919208473807413,572,0.16771103162507128,442,0.04690414628946051,0.7670911424957023,False
DISPLACEMENT_FOLLOWTHROUGH,BULLISH,>=1.50,none,none,12,1483,0.08109535030631582,0.11838985546765865,0.5178691840863116,0.05901444083812422,0.0220809094681916,2.6706818766129956,2.6544165395908754,1.9885815793059063,1.868832448005453,-0.13382984591464314,False,True,0.4035107336619842,ERA_DEPENDENT,NEGLIGIBLE,513,0.15716067210862833,553,0.06271807319653928,417,0.01188941303322252,1.0,False
DISPLACEMENT_PCT_95,BULLISH,1.25-1.50,none,none,12,2691,0.2163270713728068,0.18052987295476852,0.5273132664437012,0.05901444083812424,0.15731263053468256,2.2936037124892987,2.155234822479382,1.7023294560368645,1.550604867494393,-0.054594919403476466,False,True,0.0004127871780670291,ERA_DEPENDENT,INTERESTING,926,0.3858748251516372,898,0.17950592730163847,867,0.07337916753971827,0.12383615342010872,False
DISPLACEMENT_PCT_99,BEARISH,>=1.50,none,none,12,1664,0.07602072018920078,-0.21969618019293563,0.4657451923076923,-0.06741948964547309,0.14344020983467387,3.323405468338741,2.9019169221554297,2.250331375769184,2.2981621683810527,0.3536418737332402,True,False,0.4753924963006476,ERA_DEPENDENT,INTERESTING,549,0.17125973888163998,563,-0.10250222519596973,552,0.16337977270677656,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BULLISH,>=1.50,none,none,12,2731,0.04199522391370523,0.06697869162045147,0.507140241669718,0.05901444083812424,-0.01701921692441901,2.5657427902908037,2.5315544417654743,1.8460197976552721,1.6824075549904223,-0.2924363529144084,False,True,0.5602756253769414,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1060,0.0028388961204659753,973,0.08512898334133659,698,0.04133126909672575,1.0,False
DISPLACEMENT_FAILURE,BEARISH,0.50-0.75,none,none,12,4956,0.014596453011568198,0.12025980005979194,0.5215899919289749,-0.06741948964547309,0.08201594265704129,1.9956164266867664,1.893766716649481,1.435130303900317,1.4344398008387649,0.2909961532735958,True,False,0.7141834864292406,NO_DIRECTIONAL_INFORMATION,SMALL,1779,0.026624482114370934,1643,-0.030277969869319535,1534,0.048710411955122594,1.0,False
DISPLACEMENT_FAILURE,BEARISH,<0.50,none,none,12,4977,0.00701688811994536,0.13931349676446425,0.522804902551738,-0.06741948964547309,0.07443637776541845,1.9502635977795086,1.8323073373626961,1.3621816028854683,1.410912053199307,0.283416588381973,True,False,0.8499418764928389,NO_DIRECTIONAL_INFORMATION,SMALL,1664,0.08830801508585172,1769,-0.01930771350863067,1544,-0.05043143765098543,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BULLISH,1.25-1.50,none,none,12,1051,-0.022021513039920323,0.125034558411463,0.5233111322549953,0.05901444083812423,-0.08103595387804455,2.2350277263420133,2.3762197757205485,1.693045300779995,1.7491761188906703,-0.288189140134689,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,360,-0.014069429053519952,395,-0.07406201651010685,296,0.037752975593929476,1.0,False
DISPLACEMENT_FAILURE,BULLISH,<0.50,none,none,12,4706,-0.04015268540159896,-0.06410156594347868,0.4819379515512112,0.059014440838124224,-0.09916712623972318,1.8545870890696972,1.8752506576078252,1.3769590393782094,1.3243425039071504,-0.3745842622297126,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1697,0.017542632083718368,1593,-0.09798341023917963,1416,-0.044237861324139545,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BEARISH,0.50-0.75,none,none,12,5269,-0.007272050465250267,-0.19762493271905493,0.4551148225469729,-0.0674194896454731,0.06014743918022284,2.2290263691776415,2.0531115791939705,1.5024568259770263,1.5610964633517805,0.26912764979677734,False,False,1.0,NO_DIRECTIONAL_INFORMATION,SMALL,1844,-0.062456233705976305,1949,0.02976272413908802,1476,0.0127678263586275,1.0,False
DISPLACEMENT_FAILURE,BULLISH,0.75-1.00,none,none,12,3109,-0.06092801631415997,-0.13489470831626793,0.47507237053715023,0.059014440838124224,-0.11994245715228419,2.0840170651800287,2.152059306961566,1.5933057310957646,1.5716245382586087,-0.3318500070904432,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1060,-0.06230447621727103,1086,-0.023724343860131652,963,-0.10136845326927633,1.0,False
DISPLACEMENT_FAILURE,BEARISH,0.75-1.00,none,none,12,3355,0.045460285336058295,0.1551337861074638,0.523397913561848,-0.06741948964547309,0.11287977498153139,2.0853975501724324,2.0706159922438303,1.4566690775569877,1.58115314369677,0.3218599855980859,True,False,0.38426264184580783,NO_DIRECTIONAL_INFORMATION,INTERESTING,1177,0.095488754579632,1163,-0.025150690220285606,1015,0.06835393683590234,1.0,False
