profile_level,event,orientation,open_location,value_migration,time_bucket,horizon,N,sample_tier,mean_directional_atr_return,median_directional_atr_return,positive_rate,mfe_atr,mae_atr,effect_vs_unconditional,standard_error,ci95_low,ci95_high,era1_effect,era2_effect,era3_effect,same_sign_all_eras,session_control_result,raw_p,replication_classification,fdr_q,fdr_survivor_5pct
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1400_1600,24,935,ANALYZABLE,0.3593913975801588,0.2199472833564146,0.544385026737968,2.470329652769418,1.9587844655947708,0.18109634028600088,0.11868829484383099,0.11276498451369378,0.5737608899481664,0.9538743323868715,-0.44900703682287596,0.607598988197311,False,False,0.0024615584452715622,ERA_DEPENDENT,0.09347690298499603,False
POC,POC_TEST,both,INSIDE_VALUE,OVERLAP_FLAT,RTH_1200_1400,24,30,INSUFFICIENT,0.27641472072458434,0.9359108808363727,0.6,2.7737074153872476,2.6241569257767394,0.09811966343042641,0.7268615254251485,-1.0900960663513442,1.5812826213593676,-0.0337425453925165,0.7302414013153462,0.37106786513119344,False,False,0.7037336794484088,NO_INFORMATION,1.0,False
VAH,TEST_VAH_FROM_BELOW,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1200_1400,24,54,INSUFFICIENT,1.086066395683186,0.8465496634004336,0.7407407407407407,2.9716055930052883,2.0852404671319484,0.907771338389028,0.43584358411261764,0.22058004338430307,1.9272230989109058,0.823633195935494,0.8754466709734705,1.7877630252841838,True,False,0.012707184512427909,NO_INFORMATION,0.3124717503056043,False
VAH,CLOSE_ABOVE_VAH,continuation_up,INSIDE_VALUE,OVERLAP_FLAT,RTH_1200_1400,24,38,INSUFFICIENT,1.0265856065897323,1.210656931755633,0.6578947368421053,3.005895721397418,2.1416199077400697,0.8482905492955743,0.5540019523137341,-0.10004471802850642,2.0624058881102747,1.076148088909262,0.8605331496285689,1.0603026075196036,True,False,0.06387718728516129,NO_INFORMATION,0.7514963210018974,False
VAH,TEST_VAH_FROM_ABOVE,reversal_down,INSIDE_VALUE,OVERLAP_FLAT,RTH_1200_1400,24,59,INSUFFICIENT,-1.0625233748793206,-1.0539669819019244,0.3050847457627119,2.923352591693548,1.9763224111300637,-1.2408184321734785,0.36424474758923625,-1.7752805954324395,-0.32652844646257495,-1.2505269475110155,-0.7671595618002895,-1.3497243332608306,True,False,1.0,NO_INFORMATION,1.0,False
VAH,REJECTION_ABOVE_VAH,reversal_down,INSIDE_VALUE,OVERLAP_FLAT,RTH_1200_1400,24,45,INSUFFICIENT,-0.8657957653555431,-1.033949100442553,0.3333333333333333,2.9914735253860276,1.941301240565983,-1.044090822649701,0.4406097322874794,-1.6530304254485733,0.009473509115693559,-1.0754289884566226,-0.771940423943035,-0.51480836357715,True,False,1.0,NO_INFORMATION,1.0,False
VALUE,RETURN_INTO_VALUE_AFTER_ABOVE,reversal_down,INSIDE_VALUE,OVERLAP_FLAT,RTH_1200_1400,24,58,INSUFFICIENT,-0.2874696212924655,-1.0897623014607896,0.27586206896551724,2.859446436524568,2.6038038921973286,-0.4657646785866234,0.778687675410129,-1.5024934142470614,1.5085424765590099,-1.1967552671771209,-1.051085169089953,5.858695476437899,False,False,1.0,NO_INFORMATION,1.0,False
VAH,TEST_VAH_FROM_ABOVE,reversal_down,ABOVE_VAH,OVERLAP_FLAT,RTH_0930_1030,24,130,WEAK_SAMPLE,-0.025856971250316347,-0.19492370286904429,0.4,2.072222824442775,2.2924904053549433,-0.20415202854447428,0.2725892175759828,-0.5440356096158133,0.4873616757457945,-0.5529829550896141,0.5620589350494927,-0.2847856701993898,False,False,1.0,NO_INFORMATION,1.0,False
VAH,REJECTION_ABOVE_VAH,reversal_down,ABOVE_VAH,OVERLAP_FLAT,RTH_0930_1030,24,88,INSUFFICIENT,-0.1555040210335958,-0.36595787283012515,0.3522727272727273,2.083307129589731,2.10873551454746,-0.33379907832775374,0.2921576989765687,-0.7285989061177451,0.39280111571811,-0.7105756642916132,0.520514917762374,-0.829721490940027,False,False,1.0,NO_INFORMATION,1.0,False
VAH,TEST_VAH_FROM_BELOW,continuation_up,ABOVE_VAH,OVERLAP_FLAT,RTH_0930_1030,24,63,INSUFFICIENT,0.06925474560209414,-0.0638400283135401,0.4603174603174603,1.8358560532107606,2.0621264798150074,-0.10904031169206378,0.2941378427502979,-0.493767683395257,0.6676285898253227,0.691349532580219,-0.9275286926759855,0.6752117147957926,False,False,0.8138595072299515,NO_INFORMATION,1.0,False
