fold,marker_bar_timestamp,signal_type,direction,score,threshold,entry_i,entry_price,stop,target,realized_R,MFE_R,MAE_R,net_R
4,2023-04-24 09:30:00-05:00,MRL,Long,0.9958034939126987,0.9818102157101216,124435,12673.75,12653.977350539746,12723.181623650635,-0.7206924913449185,0.9482795938748928,0.8218423146915738,-0.7573593023080807
4,2023-05-03 14:00:00-05:00,MRL,Long,0.9865988092137195,0.9818102157101216,125097,12820.75,12785.427576162725,12909.056059593186,-1.0,0.9908719786965974,1.0687262055941873,-1.0205252052730007
4,2023-06-14 13:00:00-05:00,MRL,Long,0.9918481140790509,0.9818102157101216,127837,14520.5,14494.691802617257,14585.02049345686,-1.0,0.23248427276876943,1.9954900079319375,-1.028091849626227
4,2023-07-20 11:15:00-05:00,MRL,Long,0.9851066769417097,0.9818102157101216,130175,15189.5,15163.100182901264,15255.499542746842,-1.0,0.2746231147316159,1.0700831711956067,-1.027462311473162
4,2023-07-25 13:45:00-05:00,MRL,Long,0.98328578778678,0.9818102157101216,130461,15165.0,15147.528185756915,15208.67953560771,0.27186644351374367,1.8029037833016683,0.14308760184933877,0.23037103897743733
4,2023-07-25 15:00:00-05:00,MRL,Long,0.9865792379256076,0.9818102157101216,130466,15191.75,15168.32253834292,15250.3186541427,0.5122193849103374,0.6829591798804497,0.4161782502396491,0.4812727970720047
4,2023-07-26 09:45:00-05:00,MRL,Long,0.9855255688231819,0.9818102157101216,130537,15014.25,14995.090770087634,15062.148074780913,-1.0,0.6002328931069377,1.1743687039048782,-1.037840769348045
4,2023-10-10 12:00:00-05:00,MRL,Long,0.9942961651653988,0.9818102157101216,135498,14551.5,14529.230537714022,14607.173655714943,0.9991260549658825,1.6165635046638998,0.6174374496980173,0.9665702621636245
4,2023-10-12 12:00:00-05:00,MRL,Long,0.9939616340784586,0.9818102157101216,135682,14617.25,14589.99430824727,14685.389229381826,-1.0,0.009172396073012968,1.0823427366155303,-1.0265999486117376
4,2023-11-16 09:30:00-06:00,MRL,Long,0.9881930602554483,0.9818102157101216,137972,15116.25,15096.245003460977,15166.26249134756,-1.0,1.4496378413977815,1.274681550194601,-1.036240946034946
4,2023-02-01 13:30:00-06:00,MRS,Short,0.9992674009129873,0.9883004547863056,119162,12105.5,12143.25976426438,12011.10058933905,-1.0,0.6488387964622948,1.886929152977082,-1.0192003317320475
4,2023-02-02 14:45:00-06:00,MRS,Short,0.9896931098440395,0.9883004547863056,119259,12645.75,12684.572425747308,12548.69393563173,-1.0,4.018296049180219,2.4341601067149403,-1.0186747733054848
4,2023-02-07 11:45:00-06:00,MRS,Short,0.9925091994054591,0.9883004547863056,119523,12532.5,12564.508530562043,12452.478673594891,2.5,2.8351816970821573,0.7029376108468159,2.477349788094936
4,2023-03-22 13:45:00-05:00,MRS,Short,0.996425136731329,0.9883004547863056,122367,12583.0,12620.275313145625,12489.811717135937,2.5,2.749809226271517,0.6639783253680005,2.4805501298629573
4,2023-04-25 15:00:00-05:00,MRS,Short,0.9987567305461492,0.9883004547863056,124549,12581.0,12606.906835282389,12516.23291179403,0.038599851703222894,1.0325460330612124,0.05789977755483434,0.010614959218387125
4,2023-04-28 09:30:00-05:00,MRS,Short,0.98865575962082,0.9883004547863056,124803,12908.75,12930.726182050963,12853.809544872593,2.5,2.9122438033860547,0.9100761885581421,2.4670097381647675
4,2023-05-24 15:15:00-05:00,MRS,Short,0.9923487699517405,0.9883004547863056,126482,13432.25,13461.956829549476,13357.982926126313,-1.0,0.02524671974001517,1.556881050634269,-1.0244051624153476
4,2023-06-01 09:30:00-05:00,MRS,Short,0.9890422714675839,0.9883004547863056,126995,14021.5,14044.92782792035,13962.930430199125,-1.0,0.37348746242068265,1.0137516837132814,-1.0309461040291426
4,2023-06-02 09:30:00-05:00,MRS,Short,0.9912536532410146,0.9883004547863056,127087,14225.5,14253.905814375152,14154.48546406212,-1.0,0.4048466925862751,1.443366469220633,-1.0255229436630482
4,2023-06-22 10:30:00-05:00,MRS,Short,0.9905130604501806,0.9883004547863056,128363,14647.0,14675.16164740411,14576.595881489726,1.5890405613653558,2.1128025341058922,0.38172482759056037,1.5632963288069222
4,2023-06-27 10:15:00-05:00,MRS,Short,0.9931404458379306,0.9883004547863056,128638,14459.0,14484.623030076144,14394.942424809642,-1.0,0.3219759714398969,1.219605952423852,-1.0282948580962332
4,2023-07-19 09:30:00-05:00,MRS,Short,0.9970776373153203,0.9883004547863056,130076,15513.75,15530.373035479428,15472.19241130143,2.5,3.8500790110930727,0.4060630207012225,2.456385823702462
4,2023-07-26 13:30:00-05:00,MRS,Short,0.9966635683717399,0.9883004547863056,130552,15142.25,15168.412082231536,15076.84479442116,2.5,5.188807175155383,0.31534187252325535,2.4722881384752293
4,2023-08-03 15:00:00-05:00,MRS,Short,0.9951866725620372,0.9883004547863056,131110,14992.75,15022.425192160208,14918.562019599478,-1.0,2.561061764644881,1.2047099748165064,-1.024431181307468
4,2023-08-18 09:30:00-05:00,MRS,Short,0.9900468854187557,0.9883004547863056,132100,14170.25,14194.890832815345,14108.64791796164,0.9131184878617042,1.603030234246103,0.8623896829804985,0.8836957810306058
4,2023-08-23 15:15:00-05:00,MRS,Short,0.9949697427981036,0.9883004547863056,132399,14789.75,14815.510615749794,14725.348460625517,-1.0,0.7472647465794607,1.2616158059133753,-1.028143737208836
4,2023-09-07 09:30:00-05:00,MRS,Short,0.9910265120373252,0.9883004547863056,133372,14747.75,14774.706219382268,14680.35945154433,1.558081992299983,1.6971964558981958,0.38024620050178154,1.531186529337661
4,2023-09-14 09:30:00-05:00,MRS,Short,0.99411490726955,0.9883004547863056,133832,14928.0,14954.047140510671,14862.882148723322,-1.0,0.019195965092412386,1.89080256160262,-1.027834149383998
4,2023-09-22 14:00:00-05:00,MRS,Short,0.9924605263249049,0.9883004547863056,134402,14235.0,14259.446870905205,14173.882822736989,-1.0,0.2658826982481497,1.0737570506175278,-1.029656147112293
4,2023-09-27 13:15:00-05:00,MRS,Short,0.9948773404377395,0.9883004547863056,134675,13956.5,13983.382703317342,13889.293241706644,-1.0,0.009299659972764818,2.7248003720200917,-1.0269690139210181
4,2023-10-04 09:30:00-05:00,MRS,Short,0.9885186033346429,0.9883004547863056,135120,14112.75,14143.571744259396,14035.695639351512,-0.2757793306071253,2.2792350559000645,0.8678937757341884,-0.299301685276556
4,2023-11-10 10:00:00-06:00,MRS,Short,0.996241342016926,0.9883004547863056,137606,14725.25,14746.983592995412,14670.91601751147,-0.35659083160506994,1.3803516062131738,0.4256084119157286,-0.389949328755222
4,2023-11-28 09:30:00-06:00,MRS,Short,0.9942121575620235,0.9883004547863056,138677,15325.25,15342.346573882294,15282.508565294263,2.5,2.909939754158714,0.10235968984477889,2.4575938427785915
5,2024-03-08 10:00:00-06:00,MRL,Long,0.9919676043653395,0.987814035230072,145179,18075.5,18039.365887087086,18165.83528228229,-1.0,0.0484306894213118,2.6844439279241397,-1.0200641427602581
5,2024-04-24 15:00:00-05:00,MRL,Long,0.9929218231650734,0.987814035230072,148143,17083.75,17050.731513821655,17166.296215445862,-1.0,0.28771761214875885,1.8247353823118653,-1.021957396716615
5,2024-04-30 14:45:00-05:00,MRL,Long,0.9924386084411061,0.987814035230072,148510,17103.75,17071.115684626435,17185.33578843391,-1.0,2.060714288937616,1.7696096681954994,-1.0222158789513713
5,2024-05-01 14:45:00-05:00,MRL,Long,0.9879356269055816,0.987814035230072,148602,16971.75,16911.416495668214,17122.583760829464,0.439225274472234,0.9820414155652778,0.0,0.42720873394422015
5,2024-06-07 13:00:00-05:00,MRL,Long,0.989770861086317,0.987814035230072,151063,18545.5,18514.399129119978,18623.252177200055,1.4870966211338086,2.1783955909581736,0.2652658837698145,1.4637853768025215
5,2024-06-12 14:15:00-05:00,MRL,Long,0.9880156560991358,0.987814035230072,151344,19006.25,18972.911629658487,19089.595925853784,0.3824422090639262,1.942206512697194,0.9898504234595736,0.36069549521519223
5,2024-08-20 09:30:00-05:00,MRL,Long,0.9939063806591453,0.987814035230072,155786,19010.25,18983.8029783044,19076.367554238994,2.5,2.87366951465275,0.028358580736704768,2.4725867052878536
5,2024-08-23 09:45:00-05:00,MRL,Long,0.9930893406353503,0.987814035230072,156063,18982.5,18941.63114893072,19084.6721276732,-1.0,0.9236863531105112,1.4069394782477984,-1.0177396716822544
5,2024-12-10 09:45:00-06:00,MRL,Long,0.9904621464139456,0.987814035230072,163100,20530.75,20507.85325051763,20587.99187370593,-1.0,0.4694989569710079,1.5504384160437936,-1.0316638831445586
