trade_id,entry_time,direction,entry_price,initial_atr,t5_time,mfe_at_t5_r,t5_result,exit_reason,gross_r
P60-000117,2017-10-10 21:04:00-05:00,LONG,6070.75,0.5714285714285714,,,,M0_TARGET,2.5
P60-000118,2017-10-10 22:54:00-05:00,LONG,6069.5,0.30357142857142855,,,,M0_STOP,-1.0
P60-000119,2017-10-11 04:40:00-05:00,SHORT,6058.0,0.4642857142857143,,,,M0_STOP,-1.0
P60-000120,2017-10-11 09:00:00-05:00,LONG,6063.0,2.6607142857142856,,,,M0_TARGET,2.5
P60-000121,2017-10-11 10:16:00-05:00,LONG,6072.75,1.6607142857142858,,,,M0_STOP,-1.0
P60-000122,2017-10-11 12:13:00-05:00,LONG,6073.5,0.9107142857142857,,,,M0_TARGET,2.5
P60-000123,2017-10-11 13:46:00-05:00,LONG,6074.5,1.2321428571428572,,,,M0_STOP,-1.0
P60-000124,2017-10-11 14:57:00-05:00,LONG,6084.75,1.375,,,,M0_STOP,-1.0
P60-000125,2017-10-11 19:03:00-05:00,SHORT,6080.75,0.39285714285714285,,,,M0_STOP,-1.0
P60-000126,2017-10-11 19:51:00-05:00,SHORT,6078.75,0.5178571428571429,,,,M0_STOP,-1.0
P60-000127,2017-10-12 05:32:00-05:00,LONG,6082.5,0.2857142857142857,,,,M0_STOP,-1.0
P60-000128,2017-10-12 08:47:00-05:00,SHORT,6070.0,3.107142857142857,,,,M0_STOP,-1.0
P60-000129,2017-10-12 09:03:00-05:00,LONG,6082.75,3.125,,,,M0_STOP,-1.0
P60-000130,2017-10-12 10:17:00-05:00,LONG,6087.0,1.3035714285714286,,,,M0_STOP,-1.0
P60-000131,2017-10-12 12:42:00-05:00,SHORT,6090.25,1.125,,,,M0_TARGET,2.5
P60-000132,2017-10-12 13:23:00-05:00,SHORT,6086.75,1.0178571428571428,11823.0,1.9649122807017545,PASS,M0_TARGET,2.5
P60-000133,2017-10-12 14:34:00-05:00,SHORT,6074.5,1.6071428571428572,,,,M0_STOP,-1.0
P60-000134,2017-10-12 17:22:00-05:00,SHORT,6072.0,0.3392857142857143,,,,M0_STOP,-1.0
P60-000135,2017-10-12 18:17:00-05:00,SHORT,6073.0,0.14285714285714285,,,,M0_STOP,-1.0
P60-000136,2017-10-12 21:10:00-05:00,LONG,6075.25,0.42857142857142855,,,,M0_STOP,-1.0
P60-000137,2017-10-12 21:35:00-05:00,LONG,6075.75,0.21428571428571427,,,,M0_STOP,-1.0
P60-000138,2017-10-12 23:00:00-05:00,LONG,6079.25,0.39285714285714285,,,,M0_TARGET,2.5
P60-000139,2017-10-13 00:03:00-05:00,LONG,6080.5,0.35714285714285715,,,,M0_STOP,-1.0
P60-000140,2017-10-13 01:19:00-05:00,SHORT,6076.25,0.39285714285714285,,,,M0_TARGET,2.5
P60-000141,2017-10-13 02:26:00-05:00,SHORT,6073.75,0.625,,,,M0_STOP,-1.0
P60-000142,2017-10-13 04:36:00-05:00,LONG,6075.25,0.30357142857142855,,,,M0_TARGET,2.5
P60-000143,2017-10-13 05:41:00-05:00,LONG,6079.25,0.625,,,,M0_STOP,-1.0
P60-000144,2017-10-13 06:39:00-05:00,LONG,6079.75,0.39285714285714285,,,,M0_TARGET,2.5
P60-000145,2017-10-13 08:26:00-05:00,LONG,6097.25,0.9107142857142857,,,,M0_STOP,-1.0
P60-000146,2017-10-13 09:16:00-05:00,LONG,6097.0,2.25,,,,M0_TARGET,2.5
P60-000147,2017-10-13 10:18:00-05:00,LONG,6096.75,1.5,,,,M0_STOP,-1.0
P60-000148,2017-10-13 11:32:00-05:00,LONG,6101.5,0.8392857142857143,,,,M0_STOP,-1.0
P60-000149,2017-10-13 11:39:00-05:00,SHORT,6097.75,1.1428571428571428,,,,M0_STOP,-1.0
P60-000150,2017-10-13 11:49:00-05:00,LONG,6100.5,1.3928571428571428,,,,M0_STOP,-1.0
P60-000151,2017-10-13 14:41:00-05:00,SHORT,6097.5,1.0892857142857142,,,,M0_TARGET,2.5
P60-000152,2017-10-15 17:09:00-05:00,LONG,6104.5,1.1607142857142858,13322.0,2.3692307692307693,PASS,MAX_HOLD_60M,0.8615384615384615
P60-000153,2017-10-15 18:47:00-05:00,LONG,6106.25,0.16071428571428573,,,,M0_STOP,-1.0
P60-000154,2017-10-15 19:46:00-05:00,LONG,6108.25,0.42857142857142855,,,,M0_STOP,-1.0
P60-000155,2017-10-15 21:32:00-05:00,LONG,6112.75,0.375,,,,M0_TARGET,2.5
P60-000156,2017-10-15 23:59:00-05:00,SHORT,6109.75,0.23214285714285715,,,,M0_STOP,-1.0
P60-000157,2017-10-16 00:51:00-05:00,SHORT,6109.75,0.26785714285714285,,,,M0_TARGET,2.5
P60-000158,2017-10-16 02:21:00-05:00,SHORT,6104.75,0.6785714285714286,,,,M0_STOP,-1.0
P60-000159,2017-10-16 03:57:00-05:00,SHORT,6106.75,0.44642857142857145,,,,M0_STOP,-1.0
P60-000160,2017-10-16 08:15:00-05:00,LONG,6112.0,0.5535714285714286,,,,M0_TARGET,2.5
P60-000161,2017-10-16 12:10:00-05:00,SHORT,6104.5,1.1964285714285714,,,,M0_STOP,-1.0
P60-000162,2017-10-16 13:04:00-05:00,SHORT,6106.75,1.0,,,,M0_STOP,-1.0
P60-000163,2017-10-16 13:23:00-05:00,LONG,6108.0,1.0178571428571428,14514.0,1.2280701754385965,PASS,M0_TARGET,2.5
P60-000164,2017-10-16 13:44:00-05:00,LONG,6109.5,0.5714285714285714,,,,M0_STOP,-1.0
P60-000165,2017-10-16 14:41:00-05:00,LONG,6114.75,0.9642857142857143,,,,M0_STOP,-1.0
P60-000166,2017-10-16 17:12:00-05:00,LONG,6118.5,0.7142857142857143,,,,M0_STOP,-1.0
P60-000167,2017-10-16 18:08:00-05:00,LONG,6121.25,0.4107142857142857,,,,M0_STOP,-1.0
P60-000168,2017-10-16 19:29:00-05:00,LONG,6124.25,0.23214285714285715,,,,M0_STOP,-1.0
P60-000169,2017-10-16 21:40:00-05:00,SHORT,6119.25,0.23214285714285715,,,,M0_STOP,-1.0
P60-000170,2017-10-16 23:30:00-05:00,LONG,6122.0,0.19642857142857142,,,,M0_STOP,-1.0
P60-000171,2017-10-17 01:18:00-05:00,SHORT,6119.25,0.23214285714285715,,,,M0_TARGET,2.5
P60-000172,2017-10-17 07:15:00-05:00,SHORT,6117.5,0.5,,,,M0_TARGET,2.5
P60-000173,2017-10-17 08:11:00-05:00,SHORT,6114.75,0.8392857142857143,,,,M0_TARGET,2.5
P60-000174,2017-10-17 09:35:00-05:00,SHORT,6108.5,1.7857142857142858,,,,M0_STOP,-1.0
P60-000175,2017-10-17 10:51:00-05:00,SHORT,6113.0,1.0892857142857142,15686.0,0.6885245901639345,FAIL,T5_NO_PROGRESS,1.377049180327869
P60-000176,2017-10-17 12:07:00-05:00,LONG,6116.0,0.9642857142857143,15762.0,1.5555555555555556,PASS,M0_STOP,-1.0
P60-000177,2017-10-17 12:40:00-05:00,LONG,6116.0,1.3035714285714286,,,,M0_STOP,-1.0
P60-000178,2017-10-17 12:50:00-05:00,SHORT,6114.25,0.9464285714285714,,,,M0_STOP,-1.0
P60-000179,2017-10-17 17:57:00-05:00,LONG,6124.0,0.375,,,,M0_STOP,-1.0
P60-000180,2017-10-17 19:44:00-05:00,LONG,6127.5,0.39285714285714285,,,,M0_STOP,-1.0
P60-000181,2017-10-17 20:33:00-05:00,LONG,6127.5,0.32142857142857145,,,,M0_STOP,-1.0
P60-000182,2017-10-17 22:35:00-05:00,SHORT,6126.5,0.16071428571428573,,,,M0_TARGET,2.5
P60-000183,2017-10-18 00:23:00-05:00,LONG,6127.5,0.16071428571428573,,,,M0_STOP,-1.0
P60-000184,2017-10-18 02:05:00-05:00,SHORT,6124.25,0.2857142857142857,,,,M0_TARGET,2.5
P60-000185,2017-10-18 02:43:00-05:00,SHORT,6124.75,0.30357142857142855,,,,M0_TARGET,2.5
P60-000186,2017-10-18 05:26:00-05:00,LONG,6128.25,0.6071428571428571,,,,M0_STOP,-1.0
P60-000187,2017-10-18 07:04:00-05:00,SHORT,6126.25,0.35714285714285715,,,,M0_STOP,-1.0
P60-000188,2017-10-18 08:15:00-05:00,LONG,6131.25,0.7678571428571429,,,,M0_STOP,-1.0
P60-000189,2017-10-18 14:15:00-05:00,LONG,6124.5,1.1071428571428572,17180.0,1.8064516129032258,PASS,M0_STOP,-1.0
P60-000190,2017-10-18 15:45:00-05:00,SHORT,6119.5,0.39285714285714285,,,,M0_STOP,-1.0
P60-000191,2017-10-18 17:24:00-05:00,SHORT,6119.5,0.14285714285714285,,,,M0_STOP,-1.0
P60-000192,2017-10-18 19:49:00-05:00,SHORT,6115.75,0.32142857142857145,,,,M0_TARGET,2.5
P60-000193,2017-10-18 20:37:00-05:00,SHORT,6116.0,0.26785714285714285,,,,M0_STOP,-1.0
P60-000194,2017-10-18 22:36:00-05:00,SHORT,6116.5,0.21428571428571427,,,,M0_TARGET,2.5
P60-000195,2017-10-19 00:22:00-05:00,SHORT,6116.0,0.26785714285714285,,,,M0_TARGET,2.5
P60-000196,2017-10-19 04:29:00-05:00,LONG,6086.75,1.4285714285714286,,,,M0_STOP,-1.0
P60-000197,2017-10-19 05:52:00-05:00,SHORT,6069.75,1.8928571428571428,,,,M0_STOP,-1.0
P60-000198,2017-10-19 07:51:00-05:00,LONG,6084.75,1.1785714285714286,,,,M0_STOP,-1.0
P60-000199,2017-10-19 09:38:00-05:00,SHORT,6064.75,2.732142857142857,,,,M0_STOP,-1.0
P60-000200,2017-10-19 11:29:00-05:00,SHORT,6075.25,1.4821428571428572,,,,M0_STOP,-1.0
P60-000201,2017-10-19 18:13:00-05:00,SHORT,6093.0,0.4107142857142857,18681.0,1.8260869565217392,PASS,M0_STOP,-1.0
P60-000202,2017-10-19 20:33:00-05:00,LONG,6092.75,0.26785714285714285,,,,M0_TARGET,2.5
P60-000203,2017-10-19 21:43:00-05:00,LONG,6123.0,1.0892857142857142,,,,M0_STOP,-1.0
P60-000204,2017-10-20 00:16:00-05:00,SHORT,6113.25,0.5535714285714286,,,,M0_STOP,-1.0
P60-000205,2017-10-20 00:44:00-05:00,SHORT,6112.5,0.2857142857142857,,,,M0_STOP,-1.0
P60-000206,2017-10-20 03:06:00-05:00,LONG,6115.75,0.5714285714285714,,,,M0_STOP,-1.0
P60-000207,2017-10-20 03:17:00-05:00,SHORT,6110.75,0.6785714285714286,,,,M0_STOP,-1.0
P60-000208,2017-10-20 04:19:00-05:00,SHORT,6104.5,0.5892857142857143,,,,M0_STOP,-1.0
P60-000209,2017-10-20 05:21:00-05:00,LONG,6108.75,0.5892857142857143,,,,M0_STOP,-1.0
P60-000210,2017-10-20 06:11:00-05:00,LONG,6113.25,0.75,,,,M0_STOP,-1.0
P60-000211,2017-10-20 07:59:00-05:00,SHORT,6110.0,0.75,,,,M0_STOP,-1.0
P60-000212,2017-10-20 08:06:00-05:00,LONG,6112.5,0.8928571428571429,,,,M0_TARGET,2.5
P60-000213,2017-10-20 09:07:00-05:00,LONG,6122.0,1.9285714285714286,,,,M0_STOP,-1.0
P60-000214,2017-10-20 11:22:00-05:00,LONG,6115.0,1.1607142857142858,,,,M0_TARGET,2.5
P60-000215,2017-10-20 13:19:00-05:00,LONG,6118.75,0.875,,,,M0_STOP,-1.0
P60-000216,2017-10-20 15:58:00-05:00,SHORT,6110.75,0.375,,,,M0_STOP,-1.0
P60-000217,2017-10-22 17:05:00-05:00,LONG,6118.0,1.3571428571428572,,,,M0_STOP,-1.0
P60-000218,2017-10-22 17:45:00-05:00,LONG,6116.75,0.14285714285714285,,,,M0_STOP,-1.0
P60-000219,2017-10-22 18:14:00-05:00,LONG,6116.75,0.21428571428571427,,,,M0_STOP,-1.0
P60-000220,2017-10-22 19:46:00-05:00,SHORT,6117.0,0.6428571428571429,,,,M0_STOP,-1.0
P60-000221,2017-10-22 22:24:00-05:00,SHORT,6112.25,0.23214285714285715,,,,M0_STOP,-1.0
P60-000222,2017-10-22 23:37:00-05:00,SHORT,6108.5,0.4107142857142857,,,,M0_STOP,-1.0
P60-000223,2017-10-23 01:59:00-05:00,LONG,6112.5,0.25,,,,M0_STOP,-1.0
P60-000224,2017-10-23 02:13:00-05:00,SHORT,6107.0,1.0357142857142858,,,,M0_STOP,-1.0
P60-000225,2017-10-23 05:44:00-05:00,LONG,6122.5,0.48214285714285715,,,,M0_STOP,-1.0
P60-000226,2017-10-23 08:35:00-05:00,SHORT,6117.5,1.6428571428571428,,,,M0_STOP,-1.0
P60-000227,2017-10-23 09:57:00-05:00,SHORT,6091.75,2.4464285714285716,,,,M0_STOP,-1.0
P60-000228,2017-10-23 10:20:00-05:00,SHORT,6092.75,1.4464285714285714,,,,M0_STOP,-1.0
P60-000229,2017-10-23 10:44:00-05:00,SHORT,6090.5,1.7857142857142858,,,,M0_STOP,-1.0
P60-000230,2017-10-23 13:17:00-05:00,SHORT,6088.75,1.6428571428571428,,,,M0_STOP,-1.0
P60-000231,2017-10-23 19:31:00-05:00,LONG,6071.25,0.39285714285714285,,,,M0_TARGET,2.5
P60-000232,2017-10-23 23:48:00-05:00,SHORT,6072.0,0.25,,,,M0_STOP,-1.0
P60-000233,2017-10-24 01:19:00-05:00,SHORT,6070.75,0.7142857142857143,,,,M0_TARGET,2.5
P60-000234,2017-10-24 02:03:00-05:00,LONG,6073.0,0.8571428571428571,,,,M0_STOP,-1.0
P60-000235,2017-10-24 05:39:00-05:00,LONG,6074.0,0.6785714285714286,,,,M0_STOP,-1.0
P60-000236,2017-10-24 06:07:00-05:00,LONG,6072.75,0.7678571428571429,,,,M0_STOP,-1.0
P60-000237,2017-10-24 06:18:00-05:00,SHORT,6071.0,0.5178571428571429,,,,M0_STOP,-1.0
P60-000238,2017-10-24 06:25:00-05:00,LONG,6073.25,0.5,,,,M0_TARGET,2.5
P60-000239,2017-10-24 06:57:00-05:00,LONG,6073.75,1.1607142857142858,,,,M0_STOP,-1.0
