event_id,timestamp_ct,timestamp_utc,direction,event_type,quality_score,D10_pass,episode_status,episode_id,suppressed_same_direction,suppression_until,core_authorized,core_b1_active,model_hash
F56-0000101,2025-01-01 22:34:00-06:00,2025-01-02 04:34:00+00:00,LONG,E13,0.4394266595694155,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000102,2025-01-01 22:35:00-06:00,2025-01-02 04:35:00+00:00,LONG,E1,0.5596015669010367,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000103,2025-01-01 22:35:00-06:00,2025-01-02 04:35:00+00:00,LONG,E11,0.5596015669010367,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000104,2025-01-01 22:35:00-06:00,2025-01-02 04:35:00+00:00,LONG,E3,0.5596015669010367,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000105,2025-01-01 22:40:00-06:00,2025-01-02 04:40:00+00:00,LONG,E13,0.5759656015173011,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000106,2025-01-01 22:41:00-06:00,2025-01-02 04:41:00+00:00,LONG,E11,0.5681845273961985,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000107,2025-01-01 22:52:00-06:00,2025-01-02 04:52:00+00:00,LONG,E1,0.4123540829510543,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000108,2025-01-01 22:52:00-06:00,2025-01-02 04:52:00+00:00,LONG,E11,0.4123540829510543,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000109,2025-01-01 22:53:00-06:00,2025-01-02 04:53:00+00:00,LONG,E13,0.3018361346336564,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000110,2025-01-01 22:56:00-06:00,2025-01-02 04:56:00+00:00,SHORT,E6,0.3988973546369532,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000111,2025-01-01 23:12:00-06:00,2025-01-02 05:12:00+00:00,LONG,E13,0.552822659611256,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000112,2025-01-01 23:13:00-06:00,2025-01-02 05:13:00+00:00,LONG,E1,0.4254264943144987,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000113,2025-01-01 23:13:00-06:00,2025-01-02 05:13:00+00:00,LONG,E11,0.4254264943144987,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000114,2025-01-01 23:17:00-06:00,2025-01-02 05:17:00+00:00,LONG,E11,0.5409134885076023,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000115,2025-01-01 23:19:00-06:00,2025-01-02 05:19:00+00:00,LONG,E13,0.34544621668388326,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000116,2025-01-01 23:37:00-06:00,2025-01-02 05:37:00+00:00,LONG,E1,0.48409752457646194,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000117,2025-01-01 23:37:00-06:00,2025-01-02 05:37:00+00:00,LONG,E11,0.48409752457646194,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000118,2025-01-01 23:37:00-06:00,2025-01-02 05:37:00+00:00,LONG,E3,0.48409752457646194,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000119,2025-01-01 23:40:00-06:00,2025-01-02 05:40:00+00:00,LONG,E1,0.47519233875344635,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000120,2025-01-01 23:40:00-06:00,2025-01-02 05:40:00+00:00,LONG,E13,0.47519233875344635,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000121,2025-01-01 23:40:00-06:00,2025-01-02 05:40:00+00:00,LONG,E3,0.47519233875344635,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000122,2025-01-01 23:47:00-06:00,2025-01-02 05:47:00+00:00,LONG,E1,0.5486544636719323,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000123,2025-01-01 23:47:00-06:00,2025-01-02 05:47:00+00:00,LONG,E11,0.5486544636719323,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000124,2025-01-01 23:49:00-06:00,2025-01-02 05:49:00+00:00,LONG,E11,0.3602235528448423,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000125,2025-01-01 23:50:00-06:00,2025-01-02 05:50:00+00:00,LONG,E13,0.3317693211991322,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000126,2025-01-02 00:17:00-06:00,2025-01-02 06:17:00+00:00,SHORT,E6,0.4093526264611076,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000127,2025-01-02 00:19:00-06:00,2025-01-02 06:19:00+00:00,LONG,E1,0.3346391058408664,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000128,2025-01-02 00:19:00-06:00,2025-01-02 06:19:00+00:00,LONG,E11,0.3346391058408664,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000129,2025-01-02 00:19:00-06:00,2025-01-02 06:19:00+00:00,LONG,E3,0.3346391058408664,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000130,2025-01-02 00:20:00-06:00,2025-01-02 06:20:00+00:00,LONG,E13,0.3205870335752701,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000131,2025-01-02 00:28:00-06:00,2025-01-02 06:28:00+00:00,SHORT,E12,0.28335732226866894,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000132,2025-01-02 00:28:00-06:00,2025-01-02 06:28:00+00:00,SHORT,E2,0.28335732226866894,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000133,2025-01-02 00:28:00-06:00,2025-01-02 06:28:00+00:00,SHORT,E4,0.28335732226866894,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000134,2025-01-02 00:29:00-06:00,2025-01-02 06:29:00+00:00,SHORT,E14,0.27469422724964293,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000135,2025-01-02 00:30:00-06:00,2025-01-02 06:30:00+00:00,SHORT,E2,0.041305454738309315,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000136,2025-01-02 00:30:00-06:00,2025-01-02 06:30:00+00:00,SHORT,E4,0.041305454738309315,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000137,2025-01-02 00:31:00-06:00,2025-01-02 06:31:00+00:00,LONG,E5,0.6065337786680687,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000138,2025-01-02 00:32:00-06:00,2025-01-02 06:32:00+00:00,LONG,E1,0.58732212606281,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000139,2025-01-02 00:32:00-06:00,2025-01-02 06:32:00+00:00,LONG,E11,0.58732212606281,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000140,2025-01-02 00:32:00-06:00,2025-01-02 06:32:00+00:00,LONG,E5,0.58732212606281,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000141,2025-01-02 00:32:00-06:00,2025-01-02 06:32:00+00:00,LONG,E9,0.58732212606281,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000142,2025-01-02 00:34:00-06:00,2025-01-02 06:34:00+00:00,LONG,E13,0.4044944638445358,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000143,2025-01-02 00:38:00-06:00,2025-01-02 06:38:00+00:00,SHORT,E6,0.39221475907854764,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000144,2025-01-02 00:45:00-06:00,2025-01-02 06:45:00+00:00,LONG,E13,0.4954284921754361,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000145,2025-01-02 00:46:00-06:00,2025-01-02 06:46:00+00:00,SHORT,E6,0.02814661580722171,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000146,2025-01-02 00:52:00-06:00,2025-01-02 06:52:00+00:00,LONG,E5,0.4843830724990135,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000147,2025-01-02 00:55:00-06:00,2025-01-02 06:55:00+00:00,LONG,E13,0.3455695528440512,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000148,2025-01-02 00:56:00-06:00,2025-01-02 06:56:00+00:00,SHORT,E6,0.45540240156485123,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000149,2025-01-02 00:59:00-06:00,2025-01-02 06:59:00+00:00,SHORT,E6,0.34118001985896246,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000150,2025-01-02 01:01:00-06:00,2025-01-02 07:01:00+00:00,LONG,E13,0.02870500671883207,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000151,2025-01-02 01:02:00-06:00,2025-01-02 07:02:00+00:00,SHORT,E6,0.5109223538229639,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000152,2025-01-02 01:03:00-06:00,2025-01-02 07:03:00+00:00,SHORT,E6,0.3872833367654068,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000153,2025-01-02 01:14:00-06:00,2025-01-02 07:14:00+00:00,SHORT,E2,0.32819592488739896,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000154,2025-01-02 01:14:00-06:00,2025-01-02 07:14:00+00:00,SHORT,E4,0.32819592488739896,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000155,2025-01-02 01:15:00-06:00,2025-01-02 07:15:00+00:00,SHORT,E12,0.022415307910456157,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000156,2025-01-02 01:30:00-06:00,2025-01-02 07:30:00+00:00,SHORT,E14,0.6633567369273882,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000157,2025-01-02 01:31:00-06:00,2025-01-02 07:31:00+00:00,SHORT,E12,0.6598502615678666,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
