dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
score_band,95+,418,174,244,41.6267942583732,-0.036550656437425805,-15.278174390843986,0.9261177894812177,45.85809938612419,2.0,-1.0,6,10
volatility_regime,Low,1149,472,675,41.079199303742385,0.03973239011172353,45.65251623837034,1.074718366087717,32.40280274661869,2.0,-1.0,6,10
volatility_regime,Medium,1185,476,706,40.16877637130802,0.01226878422023152,14.53850930097435,1.0228560507188034,35.655465333019805,2.0,-1.0,7,11
volatility_regime,High,1816,781,1035,43.00660792951542,-0.006581827064019526,-11.95259794825946,0.9866927375898106,84.1299688468804,2.0,-1.0,10,17
volatility_regime,Unavailable,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
trend_state,Bullish trend,2402,1003,1396,41.75686927560366,0.028364583580542585,68.13172976046329,1.0548206741316748,45.17694898174716,2.0,-1.0,9,18
trend_state,Bearish trend,1743,724,1017,41.537578886976476,-0.01156024422349428,-20.14950568155053,0.9776135821816407,54.57754514155862,2.0,-1.0,9,15
trend_state,Range/chop,5,2,3,40.0,0.051240702434495765,0.25620351217247883,1.1068524960190596,2.397730719615378,2.0,-1.0,2,3
entry_time_third,Early third,1382,565,814,40.88277858176556,0.015176287131422299,20.973628815625617,1.0289762887941325,55.71690374578103,2.0,-1.0,7,11
entry_time_third,Middle third,1439,606,832,42.11257817929118,0.0001283190993268792,0.18465118393137914,1.000251024859475,55.5306600644289,2.0,-1.0,9,18
entry_time_third,Late third,1329,558,770,41.98645598194131,0.02037633377842608,27.080147591528263,1.0394825570188284,29.4402189303962,2.0,-1.0,9,16
stop_distance,<15pt,1175,492,681,41.87234042553192,0.0673653419814997,79.15427682826214,1.1282546460773664,31.413017951754632,2.0,-1.0,7,12
stop_distance,15-24.99pt,1089,430,657,39.48576675849403,-0.005198705254633427,-5.661390022295802,0.9903449691414817,45.48561055617682,2.0,-1.0,5,13
stop_distance,25-39.99pt,1043,442,600,42.377756471716204,-0.021129296960608977,-22.037856729915163,0.9579323011709304,47.23563078503896,2.0,-1.0,7,14
stop_distance,40pt+,843,365,478,43.29774614472123,-0.003815661310754367,-3.2166024849659314,0.9923027082752736,38.1786511132088,2.0,-1.0,7,10
target_distance,<30pt,1175,492,681,41.87234042553192,0.0673653419814997,79.15427682826214,1.1282546460773664,31.413017951754632,2.0,-1.0,7,12
target_distance,30-49.99pt,1089,430,657,39.48576675849403,-0.005198705254633427,-5.661390022295802,0.9903449691414817,45.48561055617682,2.0,-1.0,5,13
target_distance,50-79.99pt,1043,442,600,42.377756471716204,-0.021129296960608977,-22.037856729915163,0.9579323011709304,47.23563078503896,2.0,-1.0,7,14
