hypothesis_id,dimension,condition,complexity,conditions_json,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,one_sided_p,realistic_avg_R,realistic_total_R,realistic_profit_factor,realistic_max_drawdown_R,positive_years,calendar_year_buckets,max_positive_year_contribution,top_1pct_removed_count,top_1pct_removed_total_R,fdr_q,evidence_label
H0021,time_of_day,10:00-11:59,1,"[{""feature"": ""time_of_day"", ""value"": ""10:00-11:59""}]",516,240,276,46.51162790697674,0.0319477793092015,16.485054123547975,1.070690088001464,24.41494213581866,2.0,-1.0,8,10,0.2491434337357945,0.010399389990595916,5.366085235147493,1.0224019453851294,27.908096330663874,4,6,0.41014256725734194,6,4.48505412354797,0.7474303012073835,DESCRIPTIVE ONLY
H0022,time_of_day,12:00-13:59,1,"[{""feature"": ""time_of_day"", ""value"": ""12:00-13:59""}]",587,253,334,43.100511073253834,0.00278870871088702,1.6369720132906806,1.0055224642699676,45.489587161824645,2.0,-1.0,7,10,0.4764329601034222,-0.022658653776019288,-13.300629766523322,0.9563919276849863,51.60234128037938,3,6,0.5088334947173555,6,-10.363027986709326,0.8323791975112178,DESCRIPTIVE ONLY
H0023,time_of_day,14:00-15:59,1,"[{""feature"": ""time_of_day"", ""value"": ""14:00-15:59""}]",520,205,314,39.42307692307692,-0.09423261448991979,-49.000959534758294,0.8105883971369873,53.71329051720744,2.0,-1.0,4,8,0.98055654884489,-0.1207515350035663,-62.79079820185447,0.7650829371186031,65.59443700566347,1,6,1.0,6,-61.0009595347583,0.9981197158276405,DESCRIPTIVE ONLY
H0024,time_of_day,16:00-17:59,1,"[{""feature"": ""time_of_day"", ""value"": ""16:00-17:59""}]",1,0,1,0.0,-0.2015583471116507,-0.2015583471116507,0.0,0.2015583471116507,-0.2015583471116507,-0.2015583471116507,0,1,1.0,-0.212185969050265,-0.212185969050265,0.0,0.212185969050265,0,6,,1,0.0,,DESCRIPTIVE ONLY
H0025,time_of_day,18:00-19:59,1,"[{""feature"": ""time_of_day"", ""value"": ""18:00-19:59""}]",234,99,135,42.30769230769231,0.023795981664357417,5.568259709459635,1.0499320154915075,12.139668131038437,2.0,-1.0,7,9,0.3728668299054956,-0.027177753829697143,-6.359594396149132,0.946330521889102,17.97679182009358,4,6,0.352221199262886,3,-0.431740290540368,0.8146660830790688,DESCRIPTIVE ONLY
H0026,time_of_day,20:00-21:59,1,"[{""feature"": ""time_of_day"", ""value"": ""20:00-21:59""}]",224,108,115,48.214285714285715,0.08486292904597892,19.009296106299278,1.2144605014655656,10.585224277820618,2.0,-1.0,6,7,0.11173404524803887,0.024621551266095158,5.515227483605315,1.0575793247964456,17.008447015506444,4,6,0.7152541248613898,3,13.009296106299274,0.6587394577799878,DESCRIPTIVE ONLY
H0027,time_of_day,22:00-23:59,1,"[{""feature"": ""time_of_day"", ""value"": ""22:00-23:59""}]",214,97,116,45.32710280373832,0.06778933790290592,14.506918311221867,1.1405125696732132,10.323122891204555,2.0,-1.0,5,9,0.19820028097060804,-0.010802244213701642,-2.3116802617321515,0.9793671334942294,12.82805360423746,4,6,0.4125280033935164,3,8.506918311221867,0.7096848770237901,DESCRIPTIVE ONLY
H0028,day_of_week,Monday,1,"[{""feature"": ""day_of_week"", ""value"": ""Monday""}]",777,336,441,43.24324324324324,0.0600189889438121,46.634754409342,1.1207441545986223,27.371262539472387,2.0,-1.0,8,11,0.08088040068668123,0.014629870117909574,11.367409081615738,1.0279476878943115,33.95031584842028,4,6,0.40852359531507454,8,30.634754409342005,0.6587394577799878,DESCRIPTIVE ONLY
H0029,day_of_week,Tuesday,1,"[{""feature"": ""day_of_week"", ""value"": ""Tuesday""}]",854,370,483,43.32552693208431,0.04896597145094569,41.816939619107615,1.0977327273418729,37.87234766374459,2.0,-1.0,8,9,0.11440739768322872,0.007563345190598485,6.459096792771106,1.0144372302808427,48.11144648678087,4,6,0.49246415376052016,9,23.816939619107615,0.6587394577799878,DESCRIPTIVE ONLY
H0030,day_of_week,Wednesday,1,"[{""feature"": ""day_of_week"", ""value"": ""Wednesday""}]",835,332,503,39.76047904191617,-0.023169500823593175,-19.346533187700302,0.9564195527203814,46.17818529424602,2.0,-1.0,8,14,0.7158054867156081,-0.06140561684856286,-51.27369006854999,0.8893762310415151,66.63465007808486,3,6,0.6916203298504002,9,-37.3465331877003,0.9097379222634115,DESCRIPTIVE ONLY
H0031,day_of_week,Thursday,1,"[{""feature"": ""day_of_week"", ""value"": ""Thursday""}]",853,362,490,42.438452520515824,-0.01288540837261547,-10.991253341840997,0.9750724701028144,41.68755053612244,2.0,-1.0,7,14,0.6283768442221482,-0.05143902822927586,-43.87749107957231,0.9047180689859186,62.69670912939567,3,6,0.8794986487249123,9,-28.991253341840995,0.8718728713582307,DESCRIPTIVE ONLY
