bar_i,original_direction,shadow_direction_t0,direction_relation,market_state,location_score,long_continuation_score,short_continuation_score,long_reversal_score,short_reversal_score,long_total,short_total,long_evidence,short_evidence,countertrend_ratio,active_1m,active_5m,active_15m,dominant_active,15m_state,5m_state,reason_codes,market_state_reasons,opportunity_id,traded
776149,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,5,7,3,9,8,9,8,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00776149_LONG,True
777167,SHORT,SHORT,SAME,REVERSAL_TRANSITION,1,3,1,3,6,6,7,6,7,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00777167_SHORT,True
777252,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,7,7,9,7,9,1.0,NEUTRAL,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00777252_SHORT,True
778366,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,6,7,8,7,8,1.0,STRONG_DOWN,STRONG_UP,UP,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00778366_SHORT,True
779004,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,2,2,3,5,5,7,5,7,1.0,UP,DOWN,UP,UP,BEARISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00779004_SHORT,True
779094,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,UP,TRANSITION,DOWN,DOWN,BULLISH,TRANSITION,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00779094_LONG,True
779844,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,4,6,3,7,7,7,7,1.0,NEUTRAL,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00779844_LONG,True
779887,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,0,2,7,7,7,7,7,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00779887_SHORT,True
780146,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,4,6,3,8,7,8,7,1.0,STRONG_DOWN,DOWN,DOWN,STRONG_DOWN,NEUTRAL,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00780146_LONG,True
780332,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,0,2,6,6,6,6,6,1.0,TRANSITION,DOWN,UP,UP,BEARISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00780332_SHORT,True
780543,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,4,7,4,7,8,7,8,0.8823529411764706,UP,DOWN,NEUTRAL,DOWN,BULLISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00780543_LONG,True
781602,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,2,7,6,8,6,8,1.0,STRONG_DOWN,STRONG_UP,UP,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00781602_SHORT,True
781941,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,3,2,4,7,7,9,7,9,1.0,NEUTRAL,STRONG_UP,NEUTRAL,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00781941_SHORT,True
782725,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,4,7,3,8,7,8,7,1.0,STRONG_UP,UP,STRONG_DOWN,STRONG_DOWN,NEUTRAL,UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00782725_LONG,True
783235,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,6,3,8,6,8,6,1.0,STRONG_DOWN,STRONG_UP,STRONG_DOWN,STRONG_DOWN,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00783235_LONG,True
783255,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,4,6,3,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00783255_LONG,True
783294,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,4,7,3,8,7,8,7,1.0,STRONG_UP,TRANSITION,STRONG_DOWN,STRONG_DOWN,NEUTRAL,TRANSITION,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00783294_LONG,True
783894,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,4,6,2,6,6,6,6,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00783894_LONG,True
784058,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,6,7,8,7,8,1.0,UP,DOWN,UP,UP,BEARISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00784058_SHORT,True
784856,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,5,7,3,9,8,9,8,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00784856_LONG,True
786646,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,0,2,7,7,7,7,7,1.0,STRONG_DOWN,STRONG_UP,DOWN,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00786646_SHORT,True
787094,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,7,3,9,7,9,7,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00787094_LONG,True
787214,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,1,4,8,9,9,9,9,1.0,DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00787214_SHORT,True
787952,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,2,7,6,8,6,8,1.0,STRONG_DOWN,STRONG_UP,UP,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00787952_SHORT,True
788674,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,7,3,9,7,9,7,0.8571428571428572,UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00788674_LONG,True
788926,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,4,7,2,8,6,8,6,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00788926_LONG,True
789062,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,3,6,3,7,6,7,6,1.0,STRONG_DOWN,UP,STRONG_DOWN,STRONG_DOWN,NEUTRAL,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00789062_LONG,True
789093,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00789093_LONG,True
789168,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,DOWN,STRONG_DOWN,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00789168_LONG,True
789334,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,7,7,9,7,9,1.0,STRONG_DOWN,STRONG_UP,NEUTRAL,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00789334_SHORT,True
789803,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,2,5,3,7,5,7,5,1.0,UP,DOWN,NEUTRAL,DOWN,BULLISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00789803_LONG,True
791361,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,3,6,3,7,6,7,6,1.0,STRONG_UP,UP,STRONG_DOWN,STRONG_DOWN,BULLISH,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00791361_LONG,True
791727,LONG,LONG,SAME,REVERSAL_TRANSITION,3,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00791727_LONG,True
792098,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,4,7,3,8,7,8,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00792098_LONG,True
792271,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,5,7,3,9,8,9,8,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00792271_LONG,True
793271,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00793271_LONG,True
793389,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,2,7,7,8,7,8,1.0,TRANSITION,STRONG_UP,STRONG_UP,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00793389_SHORT,True
793763,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,3,1,2,6,5,7,5,7,1.0,DOWN,UP,NEUTRAL,UP,BEARISH,UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00793763_SHORT,True
793902,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,2,5,3,7,5,7,5,0.918918918918919,DOWN,DOWN,TRANSITION,DOWN,NEUTRAL,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00793902_LONG,True
794149,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,7,7,9,7,9,1.0,DOWN,UP,STRONG_UP,STRONG_UP,BEARISH,UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00794149_SHORT,True
795508,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,6,3,8,6,8,6,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00795508_LONG,True
795619,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,3,6,3,7,6,7,6,1.0,STRONG_UP,STRONG_DOWN,DOWN,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00795619_LONG,True
795790,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,3,5,3,6,6,6,6,1.0,TRANSITION,DOWN,NEUTRAL,DOWN,TRANSITION,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00795790_LONG,True
796013,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,3,6,7,7,7,7,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00796013_SHORT,True
796443,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,4,7,2,8,6,8,6,0.96875,STRONG_DOWN,NEUTRAL,NEUTRAL,STRONG_DOWN,TRANSITION,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00796443_LONG,True
796596,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,6,7,8,7,8,0.9696969696969697,DOWN,STRONG_UP,NEUTRAL,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00796596_SHORT,True
796746,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,0,2,7,7,7,7,7,1.0,DOWN,STRONG_UP,NEUTRAL,STRONG_UP,TRANSITION,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00796746_SHORT,True
796760,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,4,7,3,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00796760_LONG,True
797223,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,3,7,8,8,8,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00797223_SHORT,True
798152,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,3,2,3,6,6,8,6,8,1.0,STRONG_UP,DOWN,UP,STRONG_UP,BEARISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00798152_SHORT,True
798521,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,3,8,8,8,8,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00798521_LONG,True
798578,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,2,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,DOWN,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00798578_LONG,True
798593,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,2,7,6,8,6,8,1.0,STRONG_DOWN,STRONG_UP,TRANSITION,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00798593_SHORT,True
798633,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,NEUTRAL,DOWN,DOWN,DOWN,BULLISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00798633_LONG,True
798846,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,7,3,9,7,9,7,0.8888888888888888,STRONG_UP,STRONG_DOWN,DOWN,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00798846_LONG,True
799088,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00799088_LONG,True
799451,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,6,7,8,7,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00799451_SHORT,True
799487,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,3,7,8,8,8,8,1.0,TRANSITION,DOWN,STRONG_UP,STRONG_UP,BEARISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00799487_SHORT,True
799800,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,STRONG_DOWN,STRONG_DOWN,TRANSITION,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00799800_LONG,True
799821,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,3,7,8,8,8,8,1.0,STRONG_DOWN,STRONG_UP,UP,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00799821_SHORT,True
800015,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,3,2,3,6,6,8,6,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00800015_SHORT,True
800317,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,4,7,3,8,7,8,7,0.9285714285714285,DOWN,STRONG_DOWN,TRANSITION,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00800317_LONG,True
800407,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,6,3,8,6,8,6,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00800407_LONG,True
800479,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,6,3,8,6,8,6,1.0,STRONG_DOWN,UP,TRANSITION,STRONG_DOWN,BULLISH,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00800479_LONG,True
800706,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,2,7,6,8,6,8,0.8947368421052632,STRONG_DOWN,STRONG_UP,DOWN,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_00800706_SHORT,True
801359,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,3,6,7,7,7,7,1.0,STRONG_UP,STRONG_DOWN,STRONG_UP,STRONG_UP,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00801359_SHORT,True
802408,SHORT,SHORT,SAME,REVERSAL_TRANSITION,1,3,1,3,6,6,7,6,7,1.0,DOWN,STRONG_UP,UP,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_00802408_SHORT,True
