trade_id,entry_time,direction,entry_price,initial_atr,stop_price,target_price,t5_time,mfe_at_t5_r,t5_result,exit_time,exit_price,exit_reason,gross_r,net_r,hold_minutes
P60-006826,2019-06-17 08:26:00-05:00,LONG,7500.25,1.4642857142857142,7498.785714285715,7503.910714285715,,,,594573,7498.785714285715,M0_STOP,-1.0,-1.0000966823199946,1
P60-006827,2019-06-17 12:00:00-05:00,LONG,7535.5,1.7857142857142858,7533.714285714285,7539.964285714285,594801.0,2.2399999999999998,PASS,594804,7539.964285714285,M0_TARGET,2.5,2.4999037659283982,18
P60-006828,2019-06-17 13:18:00-05:00,LONG,7543.25,1.5,7541.75,7547.0,,,,594865,7541.75,M0_STOP,-1.0,-1.000096131534458,1
P60-006829,2019-06-17 14:16:00-05:00,LONG,7538.25,1.6071428571428572,7536.642857142857,7542.267857142857,,,,594924,7536.642857142857,M0_STOP,-1.0,-1.0000961966771866,2
P60-006830,2019-06-17 17:07:00-05:00,LONG,7542.0,1.125,7540.875,7544.8125,595033.0,0.6666666666666666,FAIL,595033,7542.0,T5_NO_PROGRESS,0.0,-9.61426890115537e-05,15
P60-006831,2019-06-17 18:20:00-05:00,LONG,7541.25,0.44642857142857145,7540.803571428572,7542.366071428572,,,,595086,7540.803571428572,M0_STOP,-1.0,-1.0000961435997016,1
P60-006832,2019-06-17 22:22:00-05:00,SHORT,7543.75,0.7321428571428571,7544.482142857143,7541.919642857143,,,,595335,7541.919642857143,M0_TARGET,2.5,2.4999038846236705,8
P60-006833,2019-06-18 00:11:00-05:00,SHORT,7538.25,0.875,7539.125,7536.0625,,,,595438,7536.0625,M0_TARGET,2.5,2.4999038126668767,4
P60-006834,2019-06-18 02:56:00-05:00,SHORT,7519.5,2.3214285714285716,7521.821428571428,7513.696428571428,,,,595602,7521.821428571428,M0_STOP,-1.0,-1.00009644575995,3
P60-006835,2019-06-18 04:24:00-05:00,LONG,7578.25,2.5357142857142856,7575.714285714285,7584.589285714285,,,,595690,7575.714285714285,M0_STOP,-1.0,-1.0000957005468603,3
P60-006836,2019-06-18 05:26:00-05:00,LONG,7579.0,1.4642857142857142,7577.535714285715,7582.660714285715,,,,595751,7582.660714285715,M0_TARGET,2.5,2.499904322456886,2
P60-006837,2019-06-18 08:00:00-05:00,LONG,7616.0,2.5357142857142856,7613.464285714285,7622.339285714285,,,,595910,7613.464285714285,M0_STOP,-1.0,-1.000095226032827,7
P60-006838,2019-06-18 08:46:00-05:00,LONG,7670.75,12.339285714285714,7658.410714285715,7701.598214285715,595964.0,1.1143270622286543,PASS,596009,7682.5,MAX_HOLD_60M,0.9522431259044863,0.9521484587434985,60
P60-006840,2019-06-18 11:58:00-05:00,SHORT,7654.0,3.5357142857142856,7657.535714285715,7645.160714285715,,,,596144,7645.160714285715,M0_TARGET,2.5,2.499905234509577,3
P60-006841,2019-06-18 21:27:00-05:00,LONG,7679.25,1.0535714285714286,7678.196428571428,7681.883928571428,,,,596630,7678.196428571428,M0_STOP,-1.0,-1.0000944232160176,7
P60-006842,2019-06-18 22:46:00-05:00,SHORT,7678.5,0.6428571428571429,7679.142857142857,7676.892857142857,,,,596713,7679.142857142857,M0_STOP,-1.0,-1.0000944273885943,11
P60-006843,2019-06-19 00:55:00-05:00,SHORT,7676.25,0.8928571428571429,7677.142857142857,7674.017857142857,,,,596832,7677.142857142857,M0_STOP,-1.0,-1.0000944581452702,1
P60-006844,2019-06-19 02:04:00-05:00,LONG,7682.0,1.1964285714285714,7680.803571428572,7684.991071428572,,,,596902,7680.803571428572,M0_STOP,-1.0,-1.0000943911653588,2
P60-006845,2019-06-19 02:11:00-05:00,SHORT,7678.0,1.7678571428571428,7679.767857142857,7673.580357142857,596922.0,0.7070707070707071,FAIL,596922,7676.75,T5_NO_PROGRESS,0.7070707070707071,0.7069762596925523,15
P60-006846,2019-06-19 02:35:00-05:00,LONG,7682.25,1.7142857142857142,7680.535714285715,7686.535714285715,,,,596932,7680.535714285715,M0_STOP,-1.0,-1.0000943944572318,1
