trade_id,direction,outcome,net_R,15m_state,15m_strength,15m_score,5m_direction,5m_struct_score,5m_loc_score,5m_react_score,pb_depth_pct,swing_dist_atr,impulse_atr_15m
T58-050698,SHORT,LOSER,-1.5758865248227545,BEARISH,-1.5,2,BEARISH,2,1,0,0.4868421052631579,3.956521739130435,1.051773660506009
T58-051134,SHORT,LOSER,-1.608239700374333,BEARISH,-2.0,2,NEUTRAL,2,1,2,0.5909090909090909,8.49438202247191,2.1850142723710078
T58-029365,LONG,LOSER,-1.2819444444444588,BEARISH,-1.5,-2,NEUTRAL,2,1,2,0.5673076923076923,3.1195652173913047,1.0232654606118021
T58-043153,SHORT,LOSER,-1.5255663430419228,BEARISH,-1.5,2,NEUTRAL,2,0,2,0.6388888888888888,4.831858407079646,1.4023881046890598
T58-187789,LONG,LOSER,-1.4549019607843137,BULLISH,2.0,2,BULLISH,2,0,0,0.07758620689655173,14.266666666666667,1.4673317584583694
T58-040451,SHORT,LOSER,-1.2139657444005105,BEARISH,-2.0,2,BEARISH,2,0,0,0.1111111111111111,7.585657370517929,1.6654953633894314
T58-027646,LONG,LOSER,-1.3812206572770735,BULLISH,2.0,2,NEUTRAL,2,0,2,0.05161290322580645,12.862499999999999,1.6772375517350124
T58-196410,SHORT,LOSER,-1.1326797385620788,TRANSITION,0.0,0,BULLISH,2,1,1,0.25806451612903225,13.37037037037037,2.347073305071015
T58-015143,LONG,LOSER,-1.27202680067003,BULLISH,1.5,2,NEUTRAL,2,0,0,0.09137055837563451,13.571428571428571,2.5021513437478387
T58-174747,SHORT,LOSER,-1.1645390070921986,BEARISH,-1.0,1,NEUTRAL,2,1,2,0.18009478672985782,8.154882154882154,1.680678541577077
T58-180807,SHORT,LOSER,-1.594871794871795,NEUTRAL,-0.5,0,NEUTRAL,1,1,0,0.27450980392156865,5.288888888888889,0.8799428044508923
T58-144745,LONG,LOSER,-1.3075757575757236,BEARISH,-2.0,-2,NEUTRAL,1,1,0,0.4810126582278481,2.8000000000000003,1.3930970193053869
T58-204773,LONG,LOSER,-1.0909803921568628,BULLISH,2.0,2,NEUTRAL,2,0,3,0.02821316614420063,15.75317604355717,1.2723252774326532
T58-067452,LONG,LOSER,-1.1118457300275437,BULLISH,2.0,2,NEUTRAL,2,1,0,0.17578125,8.44,2.395565886482613
T58-007405,SHORT,LOSER,-2.002469135801929,BEARISH,-2.0,2,NEUTRAL,2,0,0,0.05,8.037037037037036,1.286799804822583
T58-177676,LONG,LOSER,-1.1524882629108149,BULLISH,1.0,1,BULLISH,2,0,0,0.12103746397694524,15.112328767123287,1.9548052180713782
T58-003050,SHORT,LOSER,-1.7960784313722082,BEARISH,-2.0,2,NEUTRAL,2,1,0,0.17391304347826086,7.8235294117647065,2.2697998506019696
T58-221417,SHORT,LOSER,-1.0700301854247591,BEARISH,-2.0,2,NEUTRAL,2,1,1,0.25970873786407767,5.754716981132075,1.0462623920116207
T58-206690,SHORT,LOSER,-1.0515555555555556,BEARISH,-2.0,2,BEARISH,2,1,0,0.17062043795620438,16.7380073800738,1.9084622202229573
T58-015538,SHORT,LOSER,-1.2517829457364,BEARISH,-2.0,2,BEARISH,2,1,0,0.25903614457831325,4.839506172839506,3.3263442170128488
