system,trade_id,capture_after_signal,capture_entire_move,favorable_spent_before_entry_atr,total_excursion_atr
A_Phase58_1M,T58-141655,0.9142857142857143,0.9142857142857143,0.5675675675675675,6.621621621621622
A_Phase58_1M,T58-048947,0.9400000000000001,0.9400000000000001,0.2857142857142857,4.761904761904762
A_Phase58_1M,T58-180605,0.3333333333333333,0.3333333333333333,0.27140549273021003,0.407108239095315
A_Phase58_1M,T58-108893,0.5833333333333333,0.5833333333333333,1.2389380530973453,2.9734513274336285
A_Phase58_1M,T58-159798,0.9833333333333333,0.9833333333333333,0.14237288135593218,8.54237288135593
A_Phase58_1M,T58-218021,1.0,1.0,0.0,4.454173963806188
A_Phase58_1M,T58-212309,0.9806451612903226,0.9806451612903226,0.16799999999999998,8.68
A_Phase58_1M,T58-036450,0.9375,0.9375,0.6666666666666666,10.666666666666666
A_Phase58_1M,T58-088538,1.0,1.0,0.0,0.18791946308724833
A_Phase58_1M,T58-107571,0.9886363636363636,0.9886363636363636,0.11290322580645161,9.935483870967742
A_Phase58_1M,T58-064011,1.0,1.0,0.0,12.26605504587156
A_Phase58_1M,T58-179395,1.0,1.0,0.0,14.35593220338983
A_Phase58_1M,T58-202103,0.9927536231884059,0.9927536231884059,0.0671462829736211,9.266187050359711
A_Phase58_1M,T58-037091,1.0,1.0,0.0,0.9824561403508772
A_Phase58_1M,T58-110890,1.0,1.0,0.0,0.12903225806451613
A_Phase58_1M,T58-004299,1.0,1.0,0.0,9.607843137254902
A_Phase58_1M,T58-204001,1.0,1.0,0.0,2.9354838709677415
A_Phase58_1M,T58-112610,0.8518518518518519,0.8518518518518519,0.7887323943661972,5.323943661971831
A_Phase58_1M,T58-152900,1.0,1.0,0.0,6.844444444444444
A_Phase58_1M,T58-139611,1.0,1.0,0.0,15.340425531914894
A_Phase58_1M,T58-076215,1.0,1.0,0.0,3.974947807933194
A_Phase58_1M,T58-123163,0.6451612903225807,0.6451612903225807,0.34070796460176994,0.9601769911504425
A_Phase58_1M,T58-097495,0.8333333333333333,0.8333333333333333,0.5894736842105264,3.536842105263158
A_Phase58_1M,T58-207424,0.7432432432432432,0.7432432432432432,1.0597609561752988,4.127490039840637
A_Phase58_1M,T58-196435,1.0,1.0,0.0,1.8064516129032258
A_Phase58_1M,T58-137892,1.0,1.0,0.0,14.409756097560974
A_Phase58_1M,T58-043708,1.0,1.0,0.0,0.5957446808510638
A_Phase58_1M,T58-204423,0.7,0.7,0.8659793814432989,2.88659793814433
A_Phase58_1M,T58-188778,1.0,1.0,0.0,0.49086924762600437
A_Phase58_1M,T58-007917,1.0,1.0,0.0,4.5
A_Phase58_1M,T58-004614,,,0.0,0.0
A_Phase58_1M,T58-051128,0.7999999999999999,0.7999999999999999,0.9032258064516129,4.516129032258064
A_Phase58_1M,T58-083514,0.9803921568627452,0.9803921568627452,0.1935483870967742,9.870967741935484
A_Phase58_1M,T58-185775,0.9251247920133111,0.9251247920133111,0.4259634888438134,5.688979039891819
A_Phase58_1M,T58-161812,0.9533678756476683,0.9533678756476683,0.9921259842519685,21.275590551181104
A_Phase58_1M,T58-165674,1.0,1.0,0.0,3.5744680851063833
A_Phase58_1M,T58-189936,0.925,0.925,0.0963302752293578,1.2844036697247707
A_Phase58_1M,T58-131669,0.7999999999999999,0.7999999999999999,0.11764705882352941,0.5882352941176471
A_Phase58_1M,T58-080242,0.9772727272727273,0.9772727272727273,0.2641509433962264,11.622641509433963
A_Phase58_1M,T58-172610,1.0,1.0,0.0,3.3627450980392157
A_Phase58_1M,T58-198257,0.9743589743589742,0.9743589743589742,0.2295081967213115,8.950819672131148
A_Phase58_1M,T58-053911,1.0,1.0,0.0,4.9523809523809526
A_Phase58_1M,T58-014204,1.0,1.0,0.0,4.7444444444444445
A_Phase58_1M,T58-141510,0.8859060402684563,0.8859060402684563,0.6197916666666667,5.432291666666667
A_Phase58_1M,T58-090009,0.3709677419354838,0.3709677419354838,1.5780346820809248,2.5086705202312136
A_Phase58_1M,T58-053856,1.0,1.0,0.0,2.4
A_Phase58_1M,T58-048876,1.0,1.0,0.0,0.8
A_Phase58_1M,T58-112467,1.0,1.0,0.0,4.640776699029126
A_Phase58_1M,T58-064227,0.976190476190476,0.976190476190476,0.05343511450381679,2.2442748091603053
A_Phase58_1M,T58-145285,0.5333333333333333,0.5333333333333333,1.0888888888888888,2.333333333333333
A_Phase58_1M,T58-099735,1.0,1.0,0.0,6.213903743315508
A_Phase58_1M,T58-167147,0.9863013698630138,0.9863013698630138,0.14893617021276595,10.872340425531915
A_Phase58_1M,T58-159235,1.0,1.0,0.0,3.0022573363431153
A_Phase58_1M,T58-067743,0.9420289855072465,0.9420289855072465,0.3102493074792244,5.351800554016621
A_Phase58_1M,T58-191359,1.0,1.0,0.0,0.39233038348082594
A_Phase58_1M,T58-119180,1.0,1.0,0.0,6.834645669291339
A_Phase58_1M,T58-023533,0.9738562091503269,0.9738562091503269,0.2641509433962264,10.10377358490566
A_Phase58_1M,T58-094603,0.0,0.0,0.510948905109489,0.510948905109489
A_Phase58_1M,T58-038848,1.0,1.0,0.0,15.938461538461537
A_Phase58_1M,T58-014331,0.4545454545454546,0.4545454545454546,1.6470588235294117,3.019607843137255
A_Phase58_1M,T58-058273,0.9555555555555555,0.9555555555555555,0.10769230769230768,2.423076923076923
A_Phase58_1M,T58-020588,1.0,1.0,0.0,0.6060606060606061
A_Phase58_1M,T58-120033,1.0,1.0,0.0,3.245033112582781
A_Phase58_1M,T58-080231,0.987012987012987,0.987012987012987,0.21875,16.84375
A_Phase58_1M,T58-058876,0.8571428571428571,0.8571428571428571,0.26515151515151514,1.856060606060606
A_Phase58_1M,T58-150351,0.8717948717948718,0.8717948717948718,1.0769230769230769,8.399999999999999
A_Phase58_1M,T58-027918,0.9342105263157894,0.9342105263157894,0.17543859649122806,2.6666666666666665
A_Phase58_1M,T58-106162,1.0,1.0,0.0,5.294871794871795
A_Phase58_1M,T58-063263,0.9064748201438849,0.9064748201438849,0.7844827586206896,8.387931034482758
A_Phase58_1M,T58-032728,1.0,1.0,0.0,7.159090909090909
A_Phase58_1M,T58-133257,0.9846153846153847,0.9846153846153847,0.10707456978967496,6.959847036328872
A_Phase58_1M,T58-118232,1.0,1.0,0.0,4.714431934493347
A_Phase58_1M,T58-185309,0.9840000000000001,0.9840000000000001,0.16666666666666666,10.416666666666666
A_Phase58_1M,T58-068594,1.0,1.0,0.0,10.440677966101694
A_Phase58_1M,T58-022708,1.0,1.0,0.0,5.833333333333333
A_Phase58_1M,T58-170615,0.9635036496350365,0.9635036496350365,0.5384615384615384,14.753846153846153
A_Phase58_1M,T58-082818,0.7578125,0.7578125,1.2616279069767442,5.209302325581395
A_Phase58_1M,T58-145235,0.54320987654321,0.54320987654321,0.7908396946564885,1.7312977099236642
A_Phase58_1M,T58-184236,0.8333333333333334,0.8333333333333334,0.9105691056910569,5.463414634146341
A_Phase58_1M,T58-040088,1.0,1.0,0.0,2.5714285714285716
A_Phase58_1M,T58-154745,1.0,1.0,0.0,3.5402298850574714
A_Phase58_1M,T58-045274,0.3333333333333333,0.3333333333333333,0.5957446808510638,0.8936170212765957
A_Phase58_1M,T58-102436,1.0,1.0,0.0,5.4035087719298245
A_Phase58_1M,T58-196592,1.0,1.0,0.0,4.8287841191067
A_Phase58_1M,T58-207550,0.6341463414634146,0.6341463414634146,0.25149700598802394,0.6874251497005988
A_Phase58_1M,T58-124923,1.0,1.0,0.0,0.564516129032258
A_Phase58_1M,T58-007368,1.0,1.0,0.0,6.6171875
A_Phase58_1M,T58-211793,0.9456521739130435,0.9456521739130435,0.34146341463414637,6.282926829268293
A_Phase58_1M,T58-063350,0.9456264775413712,0.9456264775413712,0.5420875420875421,9.969696969696969
A_Phase58_1M,T58-048598,0.7999999999999999,0.7999999999999999,0.12923076923076923,0.6461538461538461
