trade_id,direction,system,A_eventual_5m,B_at_horizon_5m,A_eventual_10m,B_at_horizon_10m,A_eventual_15m,B_at_horizon_15m,A_eventual_30m,B_at_horizon_30m,A_eventual_60m,B_at_horizon_60m,C_target_before_stop,D_stop_before_target
T58-106646,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-191906,SHORT,A,True,True,True,True,True,True,True,True,True,False,False,True
T58-130046,LONG,A,False,False,False,False,False,False,False,False,False,False,False,True
T58-107036,LONG,A,False,False,False,False,False,False,False,False,True,False,False,True
T58-090779,LONG,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-099557,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-075645,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-158600,SHORT,A,True,False,True,False,True,False,True,False,True,True,True,False
T58-086955,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-177174,LONG,A,True,True,True,False,True,True,True,False,True,True,True,False
T58-115450,LONG,A,False,False,False,False,False,False,False,False,True,False,False,True
T58-060692,SHORT,A,True,False,True,False,True,False,True,True,True,False,False,True
T58-063163,LONG,A,True,False,True,True,True,False,True,False,True,True,False,True
T58-129999,SHORT,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-024613,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-029126,LONG,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-195276,SHORT,A,True,True,True,True,True,True,True,True,True,False,True,False
T58-048522,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-221464,LONG,A,False,False,False,False,False,False,False,False,False,False,False,True
T58-114321,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-010164,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-196264,SHORT,A,True,False,True,False,True,False,True,True,True,True,True,False
T58-003292,LONG,A,False,False,False,False,True,True,True,True,True,True,False,True
T58-141609,LONG,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-097702,LONG,A,True,True,True,True,True,False,True,True,True,True,True,False
T58-216501,LONG,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-158032,SHORT,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-022020,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-018366,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-204535,LONG,A,False,False,True,False,True,False,True,False,True,False,False,True
T58-093960,LONG,A,True,True,True,False,True,False,True,True,True,True,True,False
T58-222515,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
