direction,phase58_entry_i,phase58b_entry_i,lag_bars,phase58_net_R,phase58b_net_R
LONG,401605,401628,23,-1.4833333333333334,-1.4549019607843137
SHORT,169645,169618,-27,-1.5205128205129177,-1.2035087719298245
LONG,1658173,1658192,19,2.266666666666686,-1.0545149378986247
LONG,1118752,1118768,16,2.2901808785529556,-1.3383333333333742
LONG,2796979,2797001,22,-1.2974358974358975,-1.2926126126127353
LONG,703758,703753,-5,-1.5205128205129177,1.9692810457516845
LONG,2299814,2299807,-7,-1.2734006734006198,-1.291039426523176
LONG,2690480,2690474,-6,-1.163544813695852,-1.1406060606060606
LONG,1810525,1810501,-24,-1.563888888889117,1.8985185185183888
SHORT,2072099,2072095,-4,-1.3866666666666667,2.1214452214453754
LONG,2035046,2035054,8,1.9940809968849187,-1.4437158469943239
LONG,3045816,3045809,-7,-1.0938186019641951,2.4003069367710395
LONG,816926,816945,19,-1.2590111642743462,-1.2653594771241576
LONG,401631,401628,-3,-1.4549019607843137,-1.4549019607843137
LONG,1098271,1098257,-14,-1.4196382428938674,-1.2864197530864199
SHORT,348763,348792,29,1.2410852713183975,-1.582078853046777
SHORT,3010982,3010963,-19,2.297253433208401,2.3571679859278367
LONG,2299943,2299943,0,-1.5359735973601478,-1.5255663430422692
LONG,1417152,1417169,17,-1.3980392156861041,-1.3492473118279134
SHORT,608496,608507,11,2.1777777777777776,-1.3184313725490742
SHORT,1400879,1400890,11,2.4494080996884726,2.4282051282051245
LONG,1559998,1559997,-1,-1.0589687726942616,-1.0589687726942616
LONG,2918940,2918949,9,-1.1224736048265782,-1.1735042735042303
LONG,1315771,1315791,20,-1.1353333333333269,-1.1409722222222294
LONG,3047592,3047592,0,2.4119783197832145,2.4084038353073765
LONG,2705755,2705764,9,-1.1373942470389036,2.3470809792844025
LONG,2113568,2113569,1,-1.2577777777777777,-1.2471841704717979
LONG,292422,292420,-2,-1.4833333333333334,-1.4229166666667628
LONG,2625156,2625183,27,2.3236699239957237,2.237216828478865
SHORT,2935284,2935280,-4,-1.043134130146081,2.459389847461863
LONG,2094729,2094701,-28,-1.1686396677050985,-1.156454720616544
LONG,99685,99706,21,1.3722222222217664,1.5666666666661984
SHORT,983208,983196,-12,-1.2343434343434343,-1.1520599250936412
LONG,1295937,1295945,8,1.9241134751776616,-1.5059190031150813
LONG,1844264,1844260,-4,-1.0660968660968662,-1.0600813910469875
SHORT,786841,786833,-8,-1.334156378600783,2.1266666666665666
SHORT,1620992,1621020,28,-1.0681780016792561,-1.0638364779874199
LONG,2750859,2750836,-23,2.3308333333333127,-1.174062165058993
LONG,2069986,2070004,18,-1.0666666666666667,2.418473895582327
SHORT,1561054,1561082,28,-1.0956419316843378,2.379703703703714
SHORT,2982142,2982171,29,-1.0594218807171683,-1.09052396878485
SHORT,1153761,1153769,8,2.1870905587667893,-1.2819444444443588
LONG,751663,751641,-22,-2.2888888888888888,-2.3880341880362597
LONG,372358,372370,12,-1.181655480984334,2.275380359612716
LONG,610501,610501,0,-1.9175141242939362,-1.9666666666666668
LONG,2872210,2872209,-1,-1.1670781893003914,-1.1670781893003914
LONG,312992,312976,-16,-1.192645314353486,-1.1975669099756552
SHORT,256292,256308,16,-1.2264993026499118,2.3171171171170992
LONG,71665,71651,-14,-2.3533333333323485,-2.0410256410258354
LONG,1836055,1836048,-7,2.4058550724637713,-1.0826463104325774
LONG,1574361,1574341,-20,2.369871794871813,2.104866180048494
SHORT,2027841,2027825,-16,-1.3951338199515062,-1.4666666666669008
SHORT,3032927,3032913,-14,2.3646666666666274,2.3207505518763107
LONG,2674816,2674814,-2,2.227973199329877,-1.2653594771243344
LONG,649396,649402,6,-1.3321063394683619,-1.4164102564102254
SHORT,1427395,1427413,18,-1.196848484848457,-1.1507892293407451
LONG,586642,586660,18,-1.3321063394683619,-1.305838041431312
LONG,871191,871197,6,-1.186666666666673,-1.1774863387978085
LONG,755814,755804,-10,-2.3203252032526573,-1.949707602338858
LONG,2565024,2565020,-4,2.1048661800488855,-1.436559139785083
SHORT,141190,141198,8,-1.4549019607843137,-1.4626780626779476
SHORT,2212721,2212717,-4,-1.092377701934022,-1.0931726907630521
LONG,312320,312302,-18,-1.9842424242427714,1.0369369369357861
SHORT,2588178,2588207,29,-1.197566909975753,-1.2615136876005462
LONG,1360000,1360025,25,2.169918699187109,-1.3584988962473787
SHORT,1862812,1862825,13,-1.4229166666665385,-1.3584988962473787
LONG,2101558,2101588,30,-1.1156695156695204,-1.1398794142980049
LONG,14002,13997,-5,-4.608888888884221,-4.608888888884221
LONG,2437109,2437106,-3,-1.1402417962003877,-1.131711273317125
LONG,1417160,1417169,9,2.096019900497571,-1.3492473118279134
SHORT,1212996,1212979,-17,-1.0805555555555555,-1.0733514001806628
SHORT,1927755,1927762,7,2.192424242424276,-1.3657657657657178
LONG,1391510,1391510,0,-1.21312335958002,-1.2058301647655716
LONG,215367,215380,13,-1.7518518518521558,-1.7415525114156236
SHORT,1593852,1593872,20,2.2041894353370077,-1.2942028985506626
