timestamp,15m_state,5m_state,setup_id,5m_decision,5m_score,1m_execution_state,entry_timestamp,entry_price,stop,target,reason_codes
2018-05-27 18:20:00-05:00,BULLISH,TAKE,S58B-004706,TAKE_LONG,5,X1_FALLBACK,,6987.5,,,15M_SUPPORT_1|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_MICRO_SHIFT
2018-05-27 18:55:00-05:00,BULLISH,TAKE,S58B-004708,TAKE_LONG,4,MISSED_NO_CHASE,,,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP
2018-05-27 19:35:00-05:00,BULLISH,TAKE,S58B-004710,TAKE_LONG,4,X1_FAVORABLE,,6995.0,,,15M_SUPPORT_1|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK
2018-05-27 20:05:00-05:00,BULLISH,TAKE,S58B-004711,TAKE_LONG,4,X1_FALLBACK,,6997.25,,,15M_SUPPORT_2|5M_HL|5M_MOM_UP
2018-05-27 21:00:00-05:00,BULLISH,TAKE,S58B-004712,TAKE_LONG,6,X1_FAVORABLE,,6994.0,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_REJECTION
2018-05-27 23:15:00-05:00,BULLISH,TAKE,S58B-004713,TAKE_LONG,4,X1_FAVORABLE,,6997.25,,,15M_SUPPORT_1|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK
2018-05-28 00:50:00-05:00,BULLISH,TAKE,S58B-004714,TAKE_LONG,6,X1_FAVORABLE,,7001.25,,,15M_SUPPORT_2|5M_LL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-28 01:15:00-05:00,TRANSITION,TAKE,S58B-004715,TAKE_SHORT,6,X1_FAVORABLE,,6999.25,,,15M_NEUTRAL|5M_LL|5M_MOM_DN|5M_NEAR_SWING_HIGH|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-28 02:05:00-05:00,NEUTRAL,TAKE,S58B-004716,TAKE_LONG,4,X1_FALLBACK,,7000.75,,,15M_NEUTRAL|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-28 02:45:00-05:00,BEARISH,TAKE,S58B-004718,TAKE_SHORT,6,X1_FAVORABLE,,6993.5,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_REJECTION
2018-05-28 03:10:00-05:00,BEARISH,TAKE,S58B-004719,TAKE_SHORT,5,X1_FAVORABLE,,6989.75,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-28 03:50:00-05:00,BEARISH,TAKE,S58B-004720,TAKE_SHORT,7,X1_FAVORABLE,,6990.0,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_REJECTION
2018-05-28 04:15:00-05:00,BEARISH,TAKE,S58B-004721,TAKE_SHORT,5,X1_FAVORABLE,,6988.75,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-28 04:40:00-05:00,BEARISH,TAKE,S58B-004722,TAKE_SHORT,4,MISSED_NO_CHASE,,,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN
2018-05-28 05:05:00-05:00,BEARISH,TAKE,S58B-004723,TAKE_SHORT,4,X1_FAVORABLE,,6977.75,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN
2018-05-28 06:15:00-05:00,NEUTRAL,TAKE,S58B-004724,TAKE_SHORT,5,X1_FAVORABLE,,6981.0,,,15M_NEUTRAL|5M_LH|5M_LL|5M_DIR_RESPONSE|5M_REJECTION|5M_MICRO_SHIFT
