model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
Retest,quarter,2024Q2,112,41,70,36.607142857142854,-0.10802028207599666,-12.098271592511626,0.8031020056713883,15.457131414462348,2.0,-1.0,3,7
Retest,quarter,2024Q3,107,37,70,34.57943925233645,-0.08730741202266999,-9.341893086425689,0.8353575644819556,14.906931181628977,2.0,-1.0,5,10
Retest,quarter,2024Q4,106,43,63,40.56603773584906,-0.0699768668207493,-7.4175478829994255,0.8650068053427217,14.791842831278547,2.0,-1.0,4,8
Retest,quarter,2025Q1,102,41,60,40.19607843137255,0.06819734280307042,6.956128965913183,1.1381759965348275,7.241372934161692,2.0,-1.0,3,7
Retest,quarter,2025Q2,105,50,55,47.61904761904762,0.05392482843761241,5.662106985949303,1.1192739666177343,10.212281181200346,2.0,-1.0,4,5
Retest,quarter,2025Q3,100,39,61,39.0,-0.07272976740331977,-7.272976740331977,0.8548699328891265,20.343339791037884,2.0,-1.0,5,9
Retest,quarter,2025Q4,105,42,63,40.0,-0.11434076736118712,-12.005780572924648,0.7920450124820212,20.082718304780542,2.0,-1.0,7,8
Retest,quarter,2026Q1,98,45,52,45.91836734693877,0.07280328521967584,7.134721951528233,1.1596718903293524,11.315473613438346,2.0,-1.0,5,6
Retest,quarter,2026Q2,115,44,71,38.26086956521739,-0.07255590615567538,-8.343929207902669,0.8699475467141337,19.57492442284849,2.0,-1.0,5,9
Retest,score_band,70-74,3,0,3,0.0,-0.7505577385492073,-2.251673215647622,0.0,2.251673215647622,-0.2516732156476219,-1.0,0,3
Retest,score_band,75-79,478,203,273,42.46861924686193,-0.010342506837754886,-4.943718268446835,0.9786981370347484,21.249184126402586,2.0,-1.0,5,7
Retest,score_band,85-89,68,29,39,42.64705882352941,-0.08841765828764972,-6.012400763560181,0.8186731397236243,11.99675744410181,2.0,-1.0,4,6
Retest,score_band,90-94,416,163,252,39.18269230769231,0.0035434453820138946,1.4740732789177802,1.0064882780569422,28.349144641224456,2.0,-1.0,4,10
Retest,score_band,95+,96,34,62,35.416666666666664,-0.20935403011645262,-20.097986891179453,0.6230863040093779,22.55459282591135,2.0,-1.0,3,8
Retest,session,After-hours,4,2,2,50.0,-0.1394524986579424,-0.5578099946317696,0.6567594029706723,1.6251282612240308,0.8746590143526219,-1.0,2,2
Retest,session,Afternoon,121,47,72,38.84297520661157,-0.18101189922597447,-21.90243980634291,0.6456538406590699,26.81588527614459,2.0,-1.0,6,7
Retest,session,Midday,132,55,77,41.666666666666664,-0.011299031488624154,-1.4914721564983884,0.9766416382632942,8.37319380958363,2.0,-1.0,6,10
Retest,session,Morning,106,44,62,41.509433962264154,-0.025723509883724308,-2.7266920476747765,0.9428473003578197,10.506102647394911,2.0,-1.0,4,6
Retest,session,Opening,75,32,43,42.666666666666664,-0.02530753407164155,-1.8980650553731162,0.9465804858871503,8.476975619246474,2.0,-1.0,7,7
Retest,session,Overnight,364,153,210,42.032967032967036,-0.017048427214121115,-6.205627505940086,0.9660796637022725,29.127712936361917,2.0,-1.0,8,7
Retest,session,Premarket,259,96,163,37.06563706563706,0.011391508519477771,2.950400706544743,1.0190931919178317,17.6718593949427,2.0,-1.0,5,7
Retest,HTF_regime,Bear,390,149,240,38.205128205128204,-0.09912014684758506,-38.65685727055818,0.8169312522304882,39.29422435118349,2.0,-1.0,4,12
Retest,HTF_regime,Bull,648,274,372,42.28395061728395,0.01668855792751089,10.814185537027058,1.0333861359565386,31.516597705037682,2.0,-1.0,7,9
Retest,HTF_regime,Neutral,23,6,17,26.08695652173913,-0.17343626636457357,-3.9890341263851923,0.6914558051927439,5.663568422590241,2.0,-1.0,2,4
