signal_id,direction,entry_timestamp,mfe_1,mae_1,mfe_2,mae_2,mfe_3,mae_3,mfe_6,mae_6,mfe_12,mae_12,mfe_18,mae_18,mfe_24,mae_24,mfe_36,mae_36,mfe_r,mae_r,bars_to_mfe,bars_to_mae,p_0.25R_before_0.25R,p_0.25R_before_0.5R,p_0.25R_before_0.75R,p_0.25R_before_1.0R,p_0.5R_before_0.25R,p_0.5R_before_0.5R,p_0.5R_before_0.75R,p_0.5R_before_1.0R,p_0.75R_before_0.25R,p_0.75R_before_0.5R,p_0.75R_before_0.75R,p_0.75R_before_1.0R,p_1.0R_before_0.25R,p_1.0R_before_0.5R,p_1.0R_before_0.75R,p_1.0R_before_1.0R,p_1.25R_before_0.25R,p_1.25R_before_0.5R,p_1.25R_before_0.75R,p_1.25R_before_1.0R,p_1.5R_before_0.25R,p_1.5R_before_0.5R,p_1.5R_before_0.75R,p_1.5R_before_1.0R,p_2.0R_before_0.25R,p_2.0R_before_0.5R,p_2.0R_before_0.75R,p_2.0R_before_1.0R,p_2.5R_before_0.25R,p_2.5R_before_0.5R,p_2.5R_before_0.75R,p_2.5R_before_1.0R,p_3.0R_before_0.25R,p_3.0R_before_0.5R,p_3.0R_before_0.75R,p_3.0R_before_1.0R
33,Short,2021-01-21 07:45:00-06:00,2.4452580636154746,0.03733218417733549,2.4452580636154746,0.03733218417733549,2.4452580636154746,0.03733218417733549,2.4452580636154746,0.03733218417733549,4.069208075329568,0.44798621012802586,4.069208075329568,2.9679086420981715,4.069208075329568,3.303898299694191,4.069208075329568,4.106540259506904,4.069208075329568,4.106540259506904,12.0,36.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
34,Long,2021-01-21 09:10:00-06:00,0.40070970266841355,0.03852977910273207,0.40070970266841355,0.1695310280520211,0.40070970266841355,0.2157667629752996,0.40070970266841355,0.2157667629752996,0.8707730077217448,0.2157667629752996,0.8707730077217448,0.5240049957971562,0.8707730077217448,0.9632444775683018,0.8707730077217448,1.5026613850065509,0.8707730077217448,1.5026613850065509,12.0,36.0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Long,2021-01-21 14:40:00-06:00,0.772067678775337,0.21355063455488046,0.772067678775337,0.8049216225530109,0.772067678775337,1.3962926105511415,0.772067678775337,1.3962926105511415,0.772067678775337,1.3962926105511415,0.772067678775337,2.2340681768818262,0.772067678775337,2.2340681768818262,0.772067678775337,2.9897088837683263,0.772067678775337,2.9897088837683263,1.0,36.0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,Long,2021-01-22 13:50:00-06:00,0.7630976543128949,0.13874502805688999,0.7630976543128949,0.13874502805688999,0.7630976543128949,0.13874502805688999,0.7630976543128949,1.0752739674408973,1.2140189954977874,1.0752739674408973,1.2140189954977874,2.49741050502402,1.2140189954977874,2.49741050502402,2.011802906824905,2.49741050502402,2.011802906824905,2.49741050502402,36.0,18.0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,Short,2021-01-22 14:55:00-06:00,0.6836731376199198,0.2763785024420952,0.6836731376199198,0.2763785024420952,0.6836731376199198,0.5963957157961002,0.6836731376199198,0.5963957157961002,0.6836731376199198,2.240120493478035,0.6836731376199198,2.8656086832154086,0.6836731376199198,3.098348474745594,0.6836731376199198,5.07663670275217,0.6836731376199198,5.07663670275217,1.0,36.0,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,Long,2021-01-25 01:40:00-06:00,0.2848168558010742,0.32041896277620846,1.6020948138810425,0.32041896277620846,2.741362237085339,0.32041896277620846,2.741362237085339,0.32041896277620846,2.741362237085339,0.32041896277620846,4.66387601374259,0.32041896277620846,4.66387601374259,0.32041896277620846,4.66387601374259,0.32041896277620846,4.66387601374259,0.32041896277620846,18.0,1.0,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True
39,Short,2021-01-25 09:45:00-06:00,1.7085884636298054,0.2675062746087069,4.116144935108167,0.2675062746087069,6.748061507871252,0.2675062746087069,9.388607315299133,0.2675062746087069,9.388607315299133,0.2675062746087069,9.388607315299133,0.2675062746087069,9.388607315299133,0.2675062746087069,9.388607315299133,0.2675062746087069,9.388607315299133,0.2675062746087069,6.0,1.0,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True
40,Long,2021-01-26 05:10:00-06:00,0.650605606414711,0.23855538901872736,0.9108478489805955,0.23855538901872736,0.9108478489805955,0.23855538901872736,1.886756258602662,0.30361594966019845,4.033754759771209,0.30361594966019845,4.033754759771209,0.30361594966019845,4.033754759771209,0.30361594966019845,4.489178684261506,0.30361594966019845,4.489178684261506,0.30361594966019845,36.0,6.0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True
41,Short,2021-01-26 08:40:00-06:00,0.6221775891459942,0.7888323005243856,0.6221775891459942,1.3443480051190233,0.6221775891459942,1.85542245334609,0.6221775891459942,2.94423323435158,0.6221775891459942,2.94423323435158,0.6221775891459942,4.099705899908426,0.6221775891459942,4.099705899908426,0.6221775891459942,4.099705899908426,0.6221775891459942,4.099705899908426,1.0,18.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,Short,2021-01-26 14:50:00-06:00,0.1382439900963891,0.754058127798486,0.1382439900963891,4.813404382447002,0.1382439900963891,6.195844283410893,0.1382439900963891,6.359223544433898,0.1382439900963891,6.359223544433898,0.1382439900963891,6.359223544433898,0.1382439900963891,6.359223544433898,0.1382439900963891,6.359223544433898,0.1382439900963891,6.359223544433898,1.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
