hypothesis_id,model,dimension,condition,conditions_json,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample,one_sided_p,bootstrap_probability_positive,bootstrap_ci95_low_R,bootstrap_ci95_high_R,first_half_N,first_half_avg_R,first_half_total_R,second_half_N,second_half_avg_R,second_half_total_R,without_best_5_total_R,best_month,without_best_month_total_R,positive_month_pct,positive_quarter_pct,best_quarter,best_quarter_R,worst_quarter,worst_quarter_R,longest_losing_months,yearly_results,fdr_q,evidence_label
H0158,BOS,score_band,90-94,"[{""feature"": ""score_band"", ""value"": ""90-94""}]",447,189,258,42.281879194630875,0.0918641563836209,41.06327790347854,1.1762118902406051,13.723710616655055,2.0,-1.0,6,9,0,0.059754854239210044,-0.025255357925230787,0.2089836706924726,True,0.06210374779948902,0.9355,-0.027177758274116233,0.2126045044903243,228.0,0.05977231900775886,13.62808873376902,219.0,0.1252748363913677,27.435189169709524,31.06327790347854,2024-10,27.110340880102203,61.111111111111114,83.33333333333334,2024Q4,13.778426997220166,2024Q2,-0.35290054323648823,2.0,"{""2024"": {""count"": 300, ""mean"": 0.091355, ""sum"": 27.406516}, ""2025"": {""count"": 147, ""mean"": 0.092903, ""sum"": 13.656762}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0159,BOS,score_band,95+,"[{""feature"": ""score_band"", ""value"": ""95+""}]",126,49,77,38.888888888888886,-0.15964966593996838,-20.115857908436016,0.7128658313721495,29.138967258815473,2.0,-1.0,4,6,0,0.09295922224157573,-0.3418497415334568,0.022550409653520037,True,0.957048414975347,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0160,BOS,date_third,Early third,"[{""feature"": ""date_third"", ""value"": ""Early third""}]",669,282,387,42.152466367713004,-0.005746416919734759,-3.844352919302554,0.9889009272914228,39.72730633611094,2.0,-1.0,9,9,0,0.04485754965521001,-0.09366721424394638,0.08217438040447685,True,0.5509665357323892,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0161,BOS,date_third,Middle third,"[{""feature"": ""date_third"", ""value"": ""Middle third""}]",470,188,282,40.0,-0.019838774220522035,-9.324223883645356,0.9627015583175934,26.029169775472674,2.0,-1.0,5,16,0,0.05418549412508835,-0.1260423427056952,0.08636479426465113,True,0.6428648569291597,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0162,BOS,date_third,Late third,"[{""feature"": ""date_third"", ""value"": ""Late third""}]",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0163,BOS,volatility,Low,"[{""feature"": ""volatility_regime"", ""value"": ""Low""}]",296,118,178,39.86486486486486,-0.0008051096076111256,-0.23831244385289319,0.9984965377904387,21.795420936491976,2.0,-1.0,6,10,0,0.06994840333234362,-0.13790398013900462,0.13629376092378237,True,0.5045917441382681,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0164,BOS,volatility,Medium,"[{""feature"": ""volatility_regime"", ""value"": ""Medium""}]",313,130,183,41.533546325878596,0.0438122499875255,13.713234246095482,1.0827543076082389,19.401023509920794,2.0,-1.0,5,11,0,0.06990028547471247,-0.09319230954291094,0.18081680951796195,True,0.26540102863112625,0.736,-0.09182634746796077,0.18158751316585095,159.0,0.08987360769144843,14.289903622940301,154.0,-0.0037446063431481537,-0.5766693768448157,3.71323424609548,2024-10,3.4570841806824397,55.55555555555556,50.0,2024Q4,14.055383579249192,2025Q2,-13.691612768004441,2.0,"{""2024"": {""count"": 221, ""mean"": 0.128259, ""sum"": 28.345287}, ""2025"": {""count"": 92, ""mean"": -0.159044, ""sum"": -14.632053}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0165,BOS,volatility,High,"[{""feature"": ""volatility_regime"", ""value"": ""High""}]",530,222,308,41.886792452830186,-0.05027075208526508,-26.643498605190494,0.9020954009591702,53.625989769182944,2.0,-1.0,7,17,0,0.04778917643756038,-0.1439375379028834,0.043396033732353255,True,0.853583608396847,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0166,BOS,volatility,Unavailable,"[{""feature"": ""volatility_regime"", ""value"": ""Unavailable""}]",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0167,BOS,trend_state,Bullish trend,"[{""feature"": ""trend_regime"", ""value"": ""Bullish trend""}]",662,271,391,40.93655589123867,0.011314103133792114,7.489936274570379,1.0216427089600417,45.17694898174713,2.0,-1.0,9,13,0,0.04620640335165061,-0.07925044743544309,0.1018786537030273,True,0.4032823902880397,0.6015,-0.07922339239815006,0.10182641449096126,358.0,-0.013025502806129878,-4.663130004594496,304.0,0.039977191707779205,12.153066279164879,-2.5100637254296174,2024-03,-8.137247728053044,55.55555555555556,50.0,2024Q1,28.351561369597704,2024Q2,-20.552721656211443,5.0,"{""2024"": {""count"": 464, ""mean"": 0.01826, ""sum"": 8.472527}, ""2025"": {""count"": 198, ""mean"": -0.004963, ""sum"": -0.982591}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0168,BOS,trend_state,Bearish trend,"[{""feature"": ""trend_regime"", ""value"": ""Bearish trend""}]",474,198,276,41.77215189873418,-0.04201417002044465,-19.914716589690762,0.9199848774695542,33.578647231725746,2.0,-1.0,5,15,0,0.05215585641631322,-0.14423964859641858,0.060211308555529267,True,0.7897489272481406,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0169,BOS,trend_state,Range/chop,"[{""feature"": ""trend_regime"", ""value"": ""Range/chop""}]",3,1,2,33.333333333333336,-0.2479321626091737,-0.7437964878275211,0.46785423158461026,1.397730719615378,0.653934231787857,-1.0,1,2,0,0.48328884273305894,-1.1951782943659692,0.6993139691476218,False,0.6960279482060522,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0170,BOS,HTF_regime x direction,Bull | Long,"[{""feature"": ""htf_regime_name"", ""value"": ""Bull""}, {""feature"": ""direction_name"", ""value"": ""Long""}]",331,141,190,42.59818731117825,0.0020458214917087997,0.6771669137556127,1.0041258995345046,29.008360051745896,2.0,-1.0,7,12,0,0.06205886030273799,-0.11958954470165765,0.12368118768507526,True,0.48685092049576784,0.507,-0.1157303812484791,0.12639048496217725,189.0,-0.026083492961035123,-4.929780169635638,142.0,0.03948554284078348,5.606947083391255,-9.322833086244387,2024-01,-7.153327573183195,50.0,33.33333333333333,2024Q1,15.488002652039047,2024Q2,-10.86510769488262,5.0,"{""2024"": {""count"": 245, ""mean"": 0.014519, ""sum"": 3.557034}, ""2025"": {""count"": 86, ""mean"": -0.033487, ""sum"": -2.879867}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0171,BOS,HTF_regime x direction,Bull | Short,"[{""feature"": ""htf_regime_name"", ""value"": ""Bull""}, {""feature"": ""direction_name"", ""value"": ""Short""}]",331,130,201,39.274924471299094,0.020582384775875425,6.812769360814766,1.0374438781617936,27.8438043406641,2.0,-1.0,5,15,0,0.0685656158321421,-0.1138062222551231,0.15497099180687396,True,0.38201793743827017,0.6045,-0.10756038117101081,0.16114598463649296,169.0,0.0015778116274624255,0.2666501650411499,162.0,0.04040814318378775,6.546119195773615,-3.187230639185234,2024-10,-6.338796431202981,50.0,66.66666666666666,2024Q1,12.863558717558657,2024Q2,-9.687613961328822,3.0,"{""2024"": {""count"": 219, ""mean"": 0.022445, ""sum"": 4.915493}, ""2025"": {""count"": 112, ""mean"": 0.01694, ""sum"": 1.897277}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0172,BOS,HTF_regime x direction,Bear | Long,"[{""feature"": ""htf_regime_name"", ""value"": ""Bear""}, {""feature"": ""direction_name"", ""value"": ""Long""}]",255,113,142,44.31372549019608,-0.05900040189715501,-15.045102483774528,0.8853806818823939,24.08464263117785,2.0,-1.0,5,10,0,0.06851799576832261,-0.19329567360306732,0.07529486980875731,True,0.805406730024353,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0173,BOS,HTF_regime x direction,Bear | Short,"[{""feature"": ""htf_regime_name"", ""value"": ""Bear""}, {""feature"": ""direction_name"", ""value"": ""Short""}]",219,85,134,38.81278538812786,-0.022235680848932588,-4.869614105916237,0.9586006654603633,11.727408712181251,2.0,-1.0,4,11,0,0.08001269414484158,-0.17906056137282209,0.1345891996749569,True,0.6094561727107182,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0174,BOS,HTF_regime x direction,Neutral | Long,"[{""feature"": ""htf_regime_name"", ""value"": ""Neutral""}, {""feature"": ""direction_name"", ""value"": ""Long""}]",1,1,0,100.0,0.653934231787857,0.653934231787857,99.9,0.0,0.653934231787857,0.653934231787857,1,0,0,,,,False,0.0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0175,BOS,HTF_regime x direction,Neutral | Short,"[{""feature"": ""htf_regime_name"", ""value"": ""Neutral""}, {""feature"": ""direction_name"", ""value"": ""Short""}]",2,0,2,0.0,-0.698865359807689,-1.397730719615378,0.0,1.397730719615378,-0.3977307196153781,-1.0,0,2,0,0.30113464019231095,-1.2890892545846184,-0.10864146503075955,False,0.9898504702729883,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0176,BOS,HTF_regime x session,Bull | Overnight,"[{""feature"": ""htf_regime_name"", ""value"": ""Bull""}, {""feature"": ""session_name"", ""value"": ""Overnight""}]",210,82,128,39.04761904761905,0.03491926992543998,7.333046684342395,1.0678033921241334,20.104842832148982,2.0,-1.0,7,7,0,0.08339150434276402,-0.1285280785863775,0.19836661843725745,True,0.33770346778746696,0.663,-0.12514152254946068,0.19970012207235938,115.0,0.0405275171261335,4.6606644695053525,95.0,0.028130339103547786,2.6723822148370395,-2.6669533156576053,2024-03,0.09850811198305909,55.55555555555556,50.0,2024Q1,17.21447929155604,2024Q2,-9.159849067501938,4.0,"{""2024"": {""count"": 151, ""mean"": 0.009988, ""sum"": 1.508125}, ""2025"": {""count"": 59, ""mean"": 0.098727, ""sum"": 5.824922}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0177,BOS,HTF_regime x session,Bull | Premarket,"[{""feature"": ""htf_regime_name"", ""value"": ""Bull""}, {""feature"": ""session_name"", ""value"": ""Premarket""}]",164,67,97,40.853658536585364,0.11085531321165017,18.180271366710627,1.2020769861071101,9.648753115700572,2.0,-1.0,4,8,0,0.10329538256885386,-0.09160363662330338,0.3133142630466037,True,0.14159349935575216,0.872,-0.07717931259507968,0.31053116139123094,87.0,-0.02763478400446521,-2.404226208388473,77.0,0.26733113733894937,20.5844975750991,8.180271366710627,2024-10,9.180271366710627,55.55555555555556,33.33333333333333,2025Q1,14.102884313284775,2025Q2,-5.422861397327007,3.0,"{""2024"": {""count"": 115, ""mean"": 0.082611, ""sum"": 9.500248}, ""2025"": {""count"": 49, ""mean"": 0.177143, ""sum"": 8.680023}}",0.9927819330416757,DESCRIPTIVE PATTERN
