model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Retest,session,Premarket,259,96,163,37.06563706563706,0.011391508519477771,2.950400706544743,1.0190931919178317,17.6718593949427,2.0,-1.0,5,7,0,0.08198357528619847,-0.14929629904147124,0.17207931608042676,True
Retest,session,Open,75,32,43,42.666666666666664,-0.025307534071641526,-1.8980650553731144,0.9465804858871503,8.476975619246474,2.0,-1.0,7,7,0,0.12139307875210983,-0.2632379684257768,0.21262290028249375,True
Retest,session,MidAM,106,44,62,41.509433962264154,-0.02572350988372431,-2.726692047674777,0.9428473003578197,10.50610264739491,2.0,-1.0,4,6,0,0.10038298131324082,-0.22247415325767633,0.1710271334902277,True
Retest,session,Midday,132,55,77,41.666666666666664,-0.011299031488624144,-1.491472156498387,0.9766416382632942,8.37319380958363,2.0,-1.0,6,10,0,0.09566714368460398,-0.19880663311044797,0.17620857013319965,True
Retest,session,PM,121,47,72,38.84297520661157,-0.18101189922597447,-21.90243980634291,0.6456538406590699,26.81588527614459,2.0,-1.0,6,7,2,0.08776503691242733,-0.35303137157433206,-0.008992426877616894,True
Retest,session,After-hours,4,2,2,50.0,-0.1394524986579424,-0.5578099946317696,0.6567594029706723,1.6251282612240308,0.8746590143526219,-1.0,2,2,0,0.41983561508395195,-0.9623303042224882,0.6834253069066034,False
Retest,score_band,70-74,3,0,3,0.0,-0.7505577385492073,-2.251673215647622,0.0,2.251673215647622,-0.2516732156476219,-1.0,0,3,0,0.24944226145079273,-1.239464570992761,-0.2616509061056535,False
Retest,score_band,75-79,478,203,273,42.46861924686193,-0.010342506837754877,-4.9437182684468315,0.9786981370347485,21.249184126402586,2.0,-1.0,5,7,2,0.05048033364276087,-0.10928396077756618,0.08859894710205642,True
Retest,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Retest,score_band,85-89,68,29,39,42.64705882352941,-0.0884176582876497,-6.01240076356018,0.8186731397236243,11.99675744410181,2.0,-1.0,4,6,0,0.12341528207154208,-0.33031161114787216,0.15347629457257278,True
Retest,score_band,90-94,416,163,252,39.18269230769231,0.0035434453820138946,1.4740732789177802,1.0064882780569422,28.349144641224456,2.0,-1.0,4,10,1,0.06008519685866095,-0.11422354046096156,0.12131043122498936,True
