model,dimension,bucket,feature_1,value_1,feature_2,value_2,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Confirm,HTF_regime x session,Bull | Overnight,htf_regime_name,Bull,session_name,Overnight,144,53,91,36.80555555555556,-0.1134661067305326,-16.339119369196695,0.79540011990446,29.509532443008816,2.0,-1.0,5,13,0,0.09322437579171021,-0.2961858832822846,0.0692536698212194,True
Confirm,HTF_regime x session,Bull | Premarket,htf_regime_name,Bull,session_name,Premarket,110,43,67,39.09090909090909,0.04665754037133376,5.132329440846713,1.0782752232280202,15.020958671601212,2.0,-1.0,5,11,0,0.12835058301982388,-0.20490960234752106,0.29822468309018857,True
Confirm,HTF_regime x session,Bull | Open,htf_regime_name,Bull,session_name,Open,31,16,15,51.61290322580645,0.09512300680829718,2.9488132110572125,1.243255972903313,5.18706621271236,2.0,-1.0,5,3,0,0.18970767434461056,-0.2767040349071395,0.46695004852373384,True
Confirm,HTF_regime x session,Bull | MidAM,htf_regime_name,Bull,session_name,MidAM,39,18,21,46.15384615384615,-0.016962594002487112,-0.6615411660969974,0.962130860861238,8.29736062562714,2.0,-1.0,5,5,0,0.16712603878111834,-0.3445296300134791,0.31060444200850484,True
Confirm,HTF_regime x session,Bull | Midday,htf_regime_name,Bull,session_name,Midday,60,29,31,48.333333333333336,0.05460853449958637,3.2765120699751824,1.1278977265367836,6.4032324290937765,2.0,-1.0,7,5,0,0.1360753037697846,-0.21209906088919145,0.32131612988836417,True
Confirm,HTF_regime x session,Bull | PM,htf_regime_name,Bull,session_name,PM,46,14,31,30.434782608695652,-0.2742639009145118,-12.616139442067544,0.4473677438889888,14.12086861460207,2.0,-1.0,3,9,1,0.119865949072409,-0.5092011610964334,-0.03932664073259018,True
Confirm,HTF_regime x session,Bull | After-hours,htf_regime_name,Bull,session_name,After-hours,3,3,0,100.0,1.2226121444193667,3.6678364332581,99.9,0.0,1.703840344984011,0.8750940776693686,3,0,0,0.24840416918839892,0.7357399728101048,1.7094843160286286,False
Confirm,HTF_regime x session,Bear | Overnight,htf_regime_name,Bear,session_name,Overnight,86,37,49,43.02325581395349,0.002496661676266715,0.2147129041589375,1.0046879978303924,14.30288152995558,2.0,-1.0,5,7,0,0.12895501732120138,-0.250255172273288,0.2552484956258214,True
Confirm,HTF_regime x session,Bear | Premarket,htf_regime_name,Bear,session_name,Premarket,51,23,28,45.09803921568628,0.04022893134383485,2.0516754985355776,1.0757889187304759,6.980853654352794,2.0,-1.0,5,5,0,0.17199147434301476,-0.29687435836847403,0.3773322210561438,True
Confirm,HTF_regime x session,Bear | Open,htf_regime_name,Bear,session_name,Open,17,7,10,41.1764705882353,-0.09172904457499001,-1.5593937577748302,0.8225684827406928,4.0,2.0,-1.0,2,4,0,0.26441832188933745,-0.6099889554780914,0.42653086632811144,False
Confirm,HTF_regime x session,Bear | MidAM,htf_regime_name,Bear,session_name,MidAM,25,10,15,40.0,-0.2079465874862305,-5.1986646871557625,0.6169735260676166,9.200237445696096,2.0,-1.0,2,5,0,0.1987130490902613,-0.5974241637031427,0.18153098873068166,False
