model,window_months,start_month,end_month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Retest,12,2024-04,2025-03,427,162,263,37.93911007025761,-0.051291764861881875,-21.90158359602356,0.901995354060383,34.61507164996553,2.0,-1.0,5,10,2,0.054478249401946476,-0.15806913368969697,0.05548560396593322,True
Retest,12,2024-05,2025-04,426,165,259,38.732394366197184,-0.02628190543767812,-11.19609171645088,0.9486398830059578,34.615071649965536,2.0,-1.0,5,10,2,0.05484231837272492,-0.13377284944821896,0.08120903857286271,True
Retest,12,2024-06,2025-05,423,169,252,39.952718676122934,-0.005780552059309625,-2.4451735210879715,0.9884964512024665,24.229735230396717,2.0,-1.0,5,10,2,0.05535208011475754,-0.1142706290842344,0.10270952496561515,True
Retest,12,2024-07,2025-06,420,171,248,40.714285714285715,-0.009860011946577698,-4.141205017562633,0.9802331032453852,23.600800507793693,2.0,-1.0,5,10,1,0.0551742642981821,-0.1180015699710146,0.09828154607785922,True
Retest,12,2024-08,2025-07,399,170,228,42.606516290726816,0.020813111795345014,8.30443160634266,1.0428844552917995,19.16394994789499,2.0,-1.0,5,9,1,0.05704709419556679,-0.0909991928279659,0.1326254164186559,True
Retest,12,2024-09,2025-08,406,171,234,42.118226600985224,0.016847902111582394,6.840248257302452,1.0346617235989077,14.791842831278549,2.0,-1.0,5,9,1,0.05660577383038655,-0.09409941459597523,0.12779521881914002,True
Retest,12,2024-10,2025-09,413,173,239,41.88861985472155,-0.005017648114936836,-2.0722886714689133,0.9897853939040859,20.343339791037884,2.0,-1.0,5,9,1,0.05558560156748517,-0.11396542718720777,0.1039301309573341,True
Retest,12,2024-11,2025-10,401,171,229,42.64339152119701,-0.0004545937299012004,-0.18229208569038136,0.9990759085050188,22.492240681950214,2.0,-1.0,7,9,1,0.0566027163177128,-0.11139591771261828,0.11048673025281588,True
Retest,12,2024-12,2025-11,404,171,232,42.32673267326733,0.0016600863034446694,0.6706748665916464,1.0033417061328138,27.00769545546218,2.0,-1.0,7,9,1,0.057035887013789414,-0.11013025224358258,0.11345042485047191,True
Retest,12,2025-01,2025-12,412,172,239,41.74757281553398,-0.01616631398396634,-6.660521361394132,0.967613930075448,34.052020061707424,2.0,-1.0,7,9,1,0.055891071012606285,-0.12571281316867466,0.09338018520074197,True
Retest,12,2025-02,2026-01,408,172,234,42.15686274509804,-0.01800778123515756,-7.347174743944285,0.9634656606948516,34.052020061707424,2.0,-1.0,7,9,2,0.05544027191269918,-0.12667071418404796,0.09065515171373283,True
Retest,12,2025-03,2026-02,411,171,239,41.605839416058394,-0.03360857155133613,-13.813122907599151,0.932536961920305,34.05202006170743,2.0,-1.0,7,9,1,0.05492106976801219,-0.14125386829664002,0.07403672519396776,True
Retest,12,2025-04,2026-03,408,176,231,43.13725490196079,-0.01588707935239972,-6.481928375779085,0.9675905501354014,34.052020061707424,2.0,-1.0,7,9,1,0.055191343768328564,-0.1240621131383237,0.09228795443352426,True
Retest,12,2025-05,2026-04,420,176,243,41.904761904761905,-0.022782540162681303,-9.568666868326147,0.9546316385362308,34.05202006170743,2.0,-1.0,7,9,1,0.05500801473017955,-0.1305982490338332,0.08503316870847061,True
Retest,12,2025-06,2026-05,418,171,246,40.90909090909091,-0.05135687236269798,-21.467172647607757,0.900745322812251,34.052020061707424,2.0,-1.0,7,9,1,0.054836098890806255,-0.15883562618867825,0.05612188146328227,True
