model,period_type,period,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
BOS,month,2025-06,47,13,34,27.659574468085108,-0.3385438695713254,-15.911561869852292,0.4658362765000121,19.640115337895732,2.0,-1.0,2,9,0,0.14403254713030192,-0.6208476619467171,-0.0562400771959336,True
BOS,month,2025-07,47,23,24,48.93617021276596,0.2526107794371514,11.872706633546114,1.529144119443098,4.933390488485454,2.0,-1.0,5,5,0,0.19154273516137219,-0.1228129814791381,0.6280345403534409,True
BOS,month,2025-08,66,29,36,43.93939393939394,0.059731869951212574,3.94230341678003,1.121225780046182,7.874418808812846,2.0,-1.0,4,6,1,0.14874319040067535,-0.2318047832341111,0.3512685231365362,True
BOS,month,2025-09,66,29,37,43.93939393939394,0.03601153067270947,2.3767610243988253,1.0669525004912181,9.307583939762225,2.0,-1.0,5,4,0,0.1530860770267821,-0.26403718029978346,0.3360602416452024,True
BOS,month,2025-10,50,23,27,46.0,0.023324167296945152,1.1662083648472577,1.048759991518796,5.440929642155924,2.0,-1.0,3,4,0,0.15817513975102784,-0.2866991066150694,0.3333474412089597,True
BOS,month,2025-11,61,25,36,40.98360655737705,0.03473240310653213,2.11867658949846,1.066516132196813,9.877711772646128,2.0,-1.0,4,6,0,0.1544019621830534,-0.2678954427722525,0.3373602489853168,True
BOS,month,2025-12,72,29,43,40.27777777777778,-0.08235114441199644,-5.929282397663743,0.8423762556255997,7.667840411813975,2.0,-1.0,3,8,0,0.12864885899376485,-0.3345029080397755,0.16980061921578266,True
BOS,month,2026-01,51,24,27,47.05882352941177,0.20825378554352122,10.620943062719583,1.4849662496270504,5.1938510860246865,2.0,-1.0,3,6,0,0.1724152993703989,-0.12968020122246063,0.5461877723095031,True
BOS,month,2026-02,64,23,41,35.9375,-0.20812371952072473,-13.319918049326382,0.6508128592769931,15.688533212130672,2.0,-1.0,4,14,0,0.1375752370817559,-0.47777118420096626,0.06152374515951681,True
BOS,month,2026-03,61,22,39,36.0655737704918,-0.15041285338189636,-9.175184056295677,0.724071833175931,19.44717856282675,2.0,-1.0,5,6,0,0.1362048645857637,-0.4173743879699932,0.11654868120620049,True
BOS,month,2026-04,77,35,42,45.45454545454545,0.1633248126445859,12.576010573633114,1.3184386287687915,6.929690908940987,2.0,-1.0,6,5,0,0.14835929695109845,-0.12745940937956704,0.45410903466873886,True
BOS,month,2026-05,60,23,37,38.333333333333336,-0.14056204666470398,-8.433722799882238,0.7506208702076185,11.483947590705544,2.0,-1.0,3,6,0,0.14224107232280508,-0.41935454841740194,0.138230455087994,True
BOS,month,2026-06,53,24,29,45.283018867924525,0.2196035221533531,11.638986674127715,1.483430145551422,5.29937402191032,2.0,-1.0,7,7,0,0.17510761305385633,-0.12360739943220528,0.5628144437389115,True
BOS,quarter,2024Q1,186,84,102,45.16129032258065,0.06836117678999229,12.715178882938567,1.1394464685160368,11.671464624306239,2.0,-1.0,9,9,0,0.0870001588799472,-0.10215913461470424,0.23888148819468882,True
BOS,quarter,2024Q2,215,84,131,39.06976744186046,-0.07772346567237291,-16.710545119560177,0.8581092866607049,23.89553789941724,2.0,-1.0,5,9,0,0.07771913613534932,-0.2300529724976576,0.07460604115291176,True
BOS,quarter,2024Q3,200,79,121,39.5,-0.041261171643056066,-8.252234328611213,0.9225472946055416,24.823536304820948,2.0,-1.0,5,9,0,0.08099104971463236,-0.2000036290837355,0.11748128579762337,True
BOS,quarter,2024Q4,181,88,93,48.61878453038674,0.09168149142193258,16.594349947369796,1.1960036657814077,8.36338487759581,2.0,-1.0,7,6,0,0.08686373994576158,-0.0785714388717601,0.26193442171562525,True
BOS,quarter,2025Q1,180,63,117,35.0,-0.10259911060330443,-18.467839908594797,0.8202056625431162,25.816398264886658,2.0,-1.0,5,16,0,0.0872400257629413,-0.2735895610986694,0.06839133989206053,True
BOS,quarter,2025Q2,177,72,105,40.67796610169491,0.005381433466157741,0.9525137235099201,1.0101897634173125,26.029169775472667,2.0,-1.0,5,9,0,0.08962465343994556,-0.17028288727613555,0.18104575420845104,True
BOS,quarter,2025Q3,179,81,97,45.25139664804469,0.1016300060040501,18.19177107472497,1.2011093378391655,9.88374860690756,2.0,-1.0,9,6,1,0.09311293116090236,-0.08087133907131851,0.2841313510794187,True
BOS,quarter,2025Q4,183,77,106,42.076502732240435,-0.01445025925310397,-2.6443974433180264,0.9716831718164589,15.515155390119995,2.0,-1.0,4,8,0,0.0837676616454734,-0.17863487607823184,0.14973435757202389,True
BOS,quarter,2026Q1,176,69,107,39.20454545454545,-0.06746681274376404,-11.87415904290247,0.8727286185342713,29.44021893039618,2.0,-1.0,5,14,0,0.08558049354310787,-0.23520458008825545,0.10027095460072738,True
BOS,quarter,2026Q2,190,82,108,43.1578947368421,0.08305933919936098,15.781274447878587,1.1620462867966557,11.483947590705549,2.0,-1.0,7,7,0,0.08977514790482109,-0.09289995069408835,0.2590186290928103,True
BOS,year,2024,782,335,447,42.83887468030691,0.005558503046210964,4.346749382136974,1.010862455411727,39.72730633611094,2.0,-1.0,9,9,0,0.04144896238342743,-0.0756814632253068,0.08679846931772872,True
BOS,year,2025,719,293,425,40.75104311543811,-0.0027370689202752983,-1.9679525536779394,0.9948216840855,26.029169775472674,2.0,-1.0,9,16,1,0.044213915305200406,-0.0893963429184681,0.0839222050779175,True
BOS,year,2026,366,151,215,41.256830601092894,0.01067517870212054,3.9071154049761176,1.0204898509351494,29.44021893039618,2.0,-1.0,7,14,0,0.06221390507605087,-0.11126407524693917,0.13261443265118025,True
Retest,month,2024-01,44,16,28,36.36363636363637,-0.10979471902307698,-4.830967637015387,0.8134929947984897,9.766928824129936,2.0,-1.0,3,7,0,0.17892002276339697,-0.460477963639335,0.24088852559318108,True
Retest,month,2024-02,33,13,20,39.39393939393939,-0.06670821915984959,-2.2013712322750365,0.8859988955338695,8.6989665929662,2.0,-1.0,4,4,0,0.21340789945912111,-0.48498770209972697,0.3515712637800278,True
Retest,month,2024-03,34,18,16,52.94117647058823,0.3508257114435126,11.928074189079428,1.7870919586793315,3.681367174448111,2.0,-1.0,4,3,0,0.2307273797139102,-0.10139995279575137,0.8030513756827766,True
Retest,month,2024-04,36,16,20,44.44444444444444,-0.07615112303384036,-2.7414404292182533,0.8563060535835908,9.196196699339598,2.0,-1.0,3,5,0,0.1890597961203184,-0.44670832342966443,0.2944060773619837,True
Retest,month,2024-05,40,12,28,30.0,-0.17986345470910742,-7.194538188364297,0.6985325493942999,14.99054621133567,2.0,-1.0,3,7,0,0.17626760617825693,-0.5253479628184909,0.16562105340027616,True
Retest,month,2024-06,36,13,22,36.111111111111114,-0.06006369374802994,-2.162292974929078,0.8831254548859058,5.071794994893544,2.0,-1.0,2,3,1,0.18304560792837724,-0.41883308528764934,0.29870569779158945,True
Retest,month,2024-07,47,14,33,29.78723404255319,-0.16109382346320997,-7.571409702770869,0.7114648026749927,12.041555512346148,2.0,-1.0,3,10,0,0.1581032118228856,-0.4709761186360657,0.1487884717096458,True
Retest,month,2024-08,28,11,17,39.285714285714285,-0.08539506143776081,-2.391061720257303,0.8386722187218711,7.664188907222377,2.0,-1.0,5,8,0,0.20720447117405189,-0.4915158249389025,0.32072570206338086,False
Retest,month,2024-09,32,12,20,37.5,0.01939307301882759,0.6205783366024828,1.0395814860109553,6.017749163013013,2.0,-1.0,2,4,0,0.2035952086757766,-0.37965353598569457,0.41843968202334975,True
Retest,month,2024-10,42,15,27,35.714285714285715,-0.10323804235585643,-4.33599777894597,0.8010647141875564,8.00750123294942,2.0,-1.0,3,8,0,0.167108452207907,-0.4307706086833541,0.22429452397164124,True
Retest,month,2024-11,29,15,14,51.724137931034484,0.01684324051036751,0.48845397480065783,1.0387570662750636,4.294805718863108,2.0,-1.0,4,4,0,0.18532848935211196,-0.34640059861977196,0.380087079640507,False
Retest,month,2024-12,35,13,22,37.142857142857146,-0.10200011653868896,-3.5700040788541134,0.8262651842139901,8.272795573129786,2.0,-1.0,4,7,0,0.20077217828614669,-0.49551358597953643,0.2915133529021585,True
Retest,month,2025-01,34,14,20,41.1764705882353,0.1919409463270351,6.525992175119193,1.390153882409831,7.241372934161692,2.0,-1.0,3,5,0,0.22775882683180265,-0.2544663542632981,0.6383482469173682,True
Retest,month,2025-02,33,14,18,42.42424242424242,0.06367312508667539,2.1012131278602877,1.1359787334529596,4.340587545287383,2.0,-1.0,3,5,1,0.20742024223943464,-0.3428705497026165,0.47021679987596726,True
Retest,month,2025-03,35,13,22,37.142857142857146,-0.04774503820189429,-1.6710763370663002,0.9079971049573881,6.2931419517675105,2.0,-1.0,3,7,0,0.19382903173524993,-0.42764994040298415,0.33215986399919556,True
Retest,month,2025-04,35,19,16,54.285714285714285,0.2275443271529836,7.964051450354425,1.585793591614768,3.028640653894694,2.0,-1.0,4,3,0,0.1993300007449851,-0.16314247430718723,0.6182311286131544,True
Retest,month,2025-05,37,16,21,43.24324324324324,0.04206432451347603,1.5563800069986131,1.0844422013287924,5.678596373358799,2.0,-1.0,3,5,0,0.1971907162928957,-0.34442947942059954,0.4285581284475516,True
Retest,month,2025-06,33,15,18,45.45454545454545,-0.11691892337587072,-3.8583244714037335,0.7501864177091991,8.561691061097886,2.0,-1.0,3,3,0,0.17057376355956028,-0.4512434999526089,0.2174056532008674,True
Retest,month,2025-07,26,13,13,50.0,0.18747026619747761,4.874226921134418,1.469330757554301,3.8624203433648088,2.0,-1.0,2,3,0,0.23390677615286468,-0.2709870150621372,0.6459275474570924,False
Retest,month,2025-08,35,12,23,34.285714285714285,-0.11014985912278599,-3.8552450692975095,0.7918049923722338,11.754280896613896,2.0,-1.0,5,9,0,0.18842120591813954,-0.47945542272233954,0.2591557044767675,True
Retest,month,2025-09,39,14,25,35.8974358974359,-0.21261432287612522,-8.291958592168884,0.6090644751205494,13.178074312524082,2.0,-1.0,3,8,0,0.16041402914387684,-0.5270258199981238,0.1017971742458734,True
Retest,month,2025-10,30,13,17,43.333333333333336,-0.08153337310558131,-2.4460011931674392,0.8488933470091354,8.522938925023334,2.0,-1.0,7,4,0,0.20478316202905905,-0.482908370682537,0.31984162447137443,True
Retest,month,2025-11,32,15,17,46.875,0.04191940397133398,1.3414209270826873,1.08365565470553,5.324737770581321,2.0,-1.0,3,4,0,0.20960946782126222,-0.36891515295834,0.45275396090100795,True
Retest,month,2025-12,43,14,29,32.55813953488372,-0.253516286205579,-10.901200306839895,0.5726747641706804,13.672303150186925,2.0,-1.0,2,8,0,0.15784077376439645,-0.562884202783796,0.05585163037263807,True
Retest,month,2026-01,30,14,15,46.666666666666664,0.1946446264189682,5.8393387925690465,1.4798179418740507,3.59335066184774,2.0,-1.0,5,4,1,0.2138205371873515,-0.2244436264682407,0.6137328793061771,True
Retest,month,2026-02,36,13,23,36.111111111111114,-0.12124263988318283,-4.364735035794582,0.7714825796994171,7.46886202923705,2.0,-1.0,5,5,0,0.18528412598450703,-0.4843995268128166,0.24191424704645093,True
Retest,month,2026-03,32,18,14,56.25,0.17687869358605512,5.660118194753764,1.4219714339053422,4.053780827111837,2.0,-1.0,5,4,0,0.20321300364216838,-0.22141879355259486,0.5751761807247051,True
Retest,month,2026-04,47,19,28,40.42553191489362,0.10377261612356083,4.877312957807359,1.199035792386073,6.928006456821253,2.0,-1.0,3,7,0,0.18671999722515195,-0.26219857843773703,0.46974381068485865,True
Retest,month,2026-05,35,11,24,31.428571428571427,-0.295489307779514,-10.342125772282989,0.5655386149382371,13.399467918056903,2.0,-1.0,2,9,0,0.18636456585611058,-0.6607638568574907,0.06978524129846275,True
Retest,month,2026-06,33,14,19,42.42424242424242,-0.0872459513159708,-2.879116393427036,0.8183408694691585,7.5149444413476765,2.0,-1.0,4,7,0,0.1823485349611855,-0.4446490798398944,0.2701571772079528,True
Retest,quarter,2024Q1,111,47,64,42.34234234234234,0.044105723601702757,4.895735319789006,1.0810994776297107,13.99536866105272,2.0,-1.0,4,7,0,0.11904498721544678,-0.18922245134057292,0.27743389854397843,True
Retest,quarter,2024Q2,112,41,70,36.607142857142854,-0.10802028207599666,-12.098271592511626,0.8031020056713883,15.457131414462348,2.0,-1.0,3,7,1,0.10461117020313908,-0.31305817567414923,0.09701761152215592,True
Retest,quarter,2024Q3,107,37,70,34.57943925233645,-0.08730741202267,-9.34189308642569,0.8353575644819555,14.906931181628977,2.0,-1.0,5,10,0,0.10633284176877045,-0.2957197818894601,0.12110495784412006,True
Retest,quarter,2024Q4,106,43,63,40.56603773584906,-0.0699768668207493,-7.4175478829994255,0.8650068053427217,14.791842831278547,2.0,-1.0,4,8,0,0.10565584795252973,-0.27706232880770754,0.13710859516620896,True
Retest,quarter,2025Q1,102,41,60,40.19607843137255,0.06819734280307042,6.956128965913183,1.1381759965348275,7.241372934161692,2.0,-1.0,3,7,1,0.12039817069393781,-0.16778307175704765,0.30417775736318853,True
Retest,quarter,2025Q2,105,50,55,47.61904761904762,0.05392482843761242,5.662106985949304,1.1192739666177343,10.212281181200346,2.0,-1.0,4,5,0,0.1098715191789241,-0.1614233491530788,0.2692730060283036,True
Retest,quarter,2025Q3,100,39,61,39.0,-0.07272976740331977,-7.272976740331976,0.8548699328891266,20.343339791037884,2.0,-1.0,5,9,0,0.10941503795509125,-0.28718324179529864,0.14172370698865908,True
Retest,quarter,2025Q4,105,42,63,40.0,-0.11434076736118712,-12.005780572924648,0.7920450124820212,20.082718304780542,2.0,-1.0,7,8,0,0.10771935994212091,-0.3254707128477441,0.09678917812536986,True
Retest,quarter,2026Q1,98,45,52,45.91836734693877,0.07280328521967581,7.13472195152823,1.1596718903293524,11.315473613438346,2.0,-1.0,5,6,1,0.11519541122177458,-0.15297972077500238,0.298586291214354,True
Retest,quarter,2026Q2,115,44,71,38.26086956521739,-0.07255590615567538,-8.343929207902669,0.8699475467141335,19.57492442284849,2.0,-1.0,5,9,0,0.10874377240070272,-0.2856937000610527,0.14058188774970193,True
Retest,year,2024,436,168,267,38.53211009174312,-0.05495866339942142,-23.96197724214774,0.8973788766435626,35.560504056212416,2.0,-1.0,5,10,1,0.05448912904954365,-0.161757356336527,0.05184002953768414,True
Retest,year,2025,412,172,239,41.74757281553398,-0.01616631398396634,-6.660521361394132,0.967613930075448,34.052020061707424,2.0,-1.0,7,9,1,0.055891071012606285,-0.12571281316867466,0.09338018520074197,True
Retest,year,2026,213,89,123,41.78403755868545,-0.005677029372649933,-1.2092072563744356,0.9888902338651739,19.57492442284849,2.0,-1.0,5,9,1,0.0790661711195581,-0.16064672476698383,0.14929266602168395,True
Confirm,month,2024-01,28,13,14,46.42857142857143,0.12730421094811345,3.5645179065471764,1.2684610613321723,5.111277148192479,2.0,-1.0,4,5,1,0.2310880871247385,-0.325628439816374,0.5802368617126009,False
