trade_id,capture_pct,total_excursion_atr,consumed_atr
T58-000371,0.75,5.090909090909091,1.2727272727272727
T58-000372,0.8571428571428572,8.90909090909091,1.2727272727272727
T58-000373,1.0,5.6,0.0
T58-000374,1.0,9.0,0.0
T58-000375,1.0,5.157894736842105,0.0
T58-000376,1.0,10.0,0.0
T58-000377,1.0,8.4,0.0
T58-000378,1.0,1.794871794871795,0.0
T58-000379,1.0,0.9545454545454546,0.0
T58-000380,1.0,1.05,0.0
T58-000381,1.0,0.4375,0.0
T58-000382,0.8461538461538461,5.6875,0.875
T58-000383,1.0,1.75,0.0
T58-000384,1.0,2.258064516129032,0.0
T58-000385,1.0,3.36,0.0
T58-000386,0.75,4.3076923076923075,1.0769230769230769
T58-000387,0.9166666666666667,8.842105263157894,0.7368421052631579
T58-000388,1.0,5.526315789473684,0.0
T58-000389,1.0,6.774193548387096,0.0
T58-000390,1.0,4.3076923076923075,0.0
T58-000391,0.8888888888888888,5.7272727272727275,0.6363636363636364
T58-000392,1.0,1.75,0.0
T58-000393,,0.0,0.0
T58-000394,1.0,29.0,0.0
T58-000395,0.9354838709677419,31.0,2.0
T58-000396,0.8518518518518519,18.0,2.6666666666666665
T58-000397,0.9871794871794872,34.125,0.4375
T58-000398,0.9805825242718446,55.46153846153846,1.0769230769230769
T58-000399,0.9906542056074766,29.372549019607845,0.27450980392156865
T58-000400,1.0,25.05263157894737,0.0
T58-000401,0.8831168831168831,8.624,1.008
T58-000402,0.8,5.04,1.008
T58-000403,1.0,2.2399999999999998,0.0
T58-000404,0.9466666666666667,11.797752808988765,0.6292134831460674
T58-000405,1.0,0.3684210526315789,0.0
T58-000406,0.8734177215189873,7.843971631205674,0.9929078014184397
T58-000407,1.0,1.7416267942583732,0.0
T58-000408,1.0,2.635294117647059,0.0
T58-000409,1.0,2.3709677419354835,0.0
T58-000410,0.84375,9.237113402061855,1.443298969072165
T58-000411,0.9642857142857142,2.703448275862069,0.09655172413793103
T58-000412,,-0.0915032679738562,0.0
T58-000413,0.7058823529411764,2.5869565217391304,0.7608695652173914
T58-000414,0.7999999999999999,4.72972972972973,0.9459459459459459
T58-000415,1.0,0.2828282828282828,0.0
T58-000416,0.9791666666666667,6.339622641509434,0.1320754716981132
T58-000417,1.0,7.08641975308642,0.0
T58-000418,,0.0,0.0
T58-000419,0.9767441860465116,6.206185567010309,0.14432989690721648
T58-000420,0.8611111111111112,5.6,0.7777777777777778
T58-000421,0.8125,2.2626262626262625,0.42424242424242425
T58-000422,1.0,4.888888888888889,0.0
T58-000423,1.0,2.6582278481012658,0.0
T58-000424,0.75,0.8615384615384615,0.21538461538461537
T58-000425,0.6666666666666666,0.711864406779661,0.23728813559322035
T58-000426,0.18181818181818168,2.6101694915254234,2.135593220338983
T58-000427,1.0,2.5454545454545454,0.0
T58-000428,1.0,1.4285714285714286,0.0
T58-000429,0.9285714285714286,7.686274509803922,0.5490196078431373
T58-000430,1.0,2.172413793103448,0.0
