trade_id,armed_i,signal_i,entry_i,arm_to_entry_bars,signal_to_entry_bars
T58-000403,6193,6194,6195,2,1
T58-000404,6205,6206,6207,2,1
T58-000405,6214,6215,6216,2,1
T58-000406,6222,6223,6224,2,1
T58-000407,6232,6233,6234,2,1
T58-000408,6244,6245,6246,2,1
T58-000409,6268,6269,6270,2,1
T58-000410,6281,6282,6283,2,1
T58-000411,6291,6292,6293,2,1
T58-000412,6304,6305,6306,2,1
T58-000413,6333,6334,6335,2,1
T58-000414,6342,6343,6344,2,1
T58-000415,6350,6351,6352,2,1
T58-000416,6357,6358,6359,2,1
T58-000417,6364,6365,6366,2,1
T58-000418,6378,6379,6380,2,1
T58-000419,6385,6386,6387,2,1
T58-000420,6392,6393,6394,2,1
T58-000421,6400,6401,6402,2,1
T58-000422,6425,6427,6428,3,1
T58-000423,6444,6445,6446,2,1
T58-000424,6459,6460,6461,2,1
T58-000425,6477,6478,6479,2,1
T58-000426,6493,6494,6495,2,1
T58-000427,6511,6512,6513,2,1
T58-000428,6534,6535,6536,2,1
T58-000429,6543,6544,6545,2,1
T58-000430,6566,6567,6568,2,1
T58-000431,6580,6581,6582,2,1
T58-000432,6589,6590,6591,2,1
T58-000433,6598,6599,6600,2,1
T58-000434,6612,6613,6614,2,1
T58-000435,6628,6631,6632,4,1
T58-000436,6641,6642,6643,2,1
T58-000437,6651,6652,6653,2,1
T58-000438,6659,6661,6662,3,1
T58-000439,6683,6684,6685,2,1
T58-000440,6710,6711,6712,2,1
T58-000441,6726,6727,6728,2,1
T58-000442,6738,6739,6740,2,1
T58-000443,6754,6757,6758,4,1
T58-000444,6774,6775,6776,2,1
T58-000445,6786,6787,6788,2,1
T58-000446,6803,6804,6805,2,1
T58-000447,6820,6821,6822,2,1
T58-000448,6829,6830,6831,2,1
T58-000449,6841,6842,6843,2,1
T58-000450,6852,6853,6854,2,1
T58-000451,6871,6872,6873,2,1
T58-000452,6886,6887,6888,2,1
T58-000453,6902,6903,6904,2,1
T58-000454,6918,6919,6920,2,1
T58-000455,6941,6942,6943,2,1
T58-000456,6965,6966,6967,2,1
T58-000457,7011,7012,7013,2,1
T58-000458,7034,7035,7036,2,1
T58-000459,7061,7062,7063,2,1
T58-000460,7103,7104,7105,2,1
T58-000461,7131,7132,7133,2,1
T58-000462,7144,7145,7146,2,1
T58-000463,7164,7165,7166,2,1
T58-000464,7172,7173,7174,2,1
T58-000465,7179,7180,7181,2,1
T58-000466,7187,7188,7189,2,1
T58-000467,7199,7200,7201,2,1
T58-000468,7213,7214,7215,2,1
T58-000469,7247,7248,7249,2,1
T58-000470,7265,7266,7267,2,1
T58-000471,7295,7296,7297,2,1
T58-000472,7309,7310,7311,2,1
T58-000473,7327,7328,7329,2,1
T58-000474,7338,7339,7340,2,1
T58-000475,7353,7354,7355,2,1
T58-000476,7366,7367,7368,2,1
T58-000477,7379,7380,7381,2,1
T58-000478,7388,7390,7391,3,1
T58-000479,7416,7417,7418,2,1
T58-000480,7425,7426,7427,2,1
T58-000481,7444,7445,7446,2,1
T58-000482,7453,7454,7455,2,1
T58-000483,7460,7461,7462,2,1
T58-000484,7475,7476,7477,2,1
T58-000485,7484,7485,7486,2,1
T58-000486,7497,7498,7499,2,1
T58-000487,7508,7509,7510,2,1
T58-000488,7524,7525,7526,2,1
T58-000489,7534,7535,7536,2,1
T58-000490,7548,7549,7550,2,1
T58-000491,7557,7558,7559,2,1
T58-000492,7564,7565,7566,2,1
T58-000493,7575,7576,7577,2,1
T58-000494,7584,7585,7586,2,1
T58-000495,7604,7605,7606,2,1
T58-000496,7620,7621,7622,2,1
T58-000497,7628,7629,7630,2,1
T58-000498,7639,7640,7641,2,1
T58-000499,7652,7653,7654,2,1
T58-000500,7669,7670,7671,2,1
T58-000501,7681,7682,7683,2,1
T58-000502,7691,7692,7693,2,1
T58-000503,7707,7708,7709,2,1
T58-000504,7723,7724,7725,2,1
T58-000505,7743,7744,7745,2,1
T58-000506,7755,7756,7757,2,1
T58-000507,7789,7790,7791,2,1
T58-000508,7799,7800,7801,2,1
T58-000509,7811,7812,7813,2,1
T58-000510,7824,7825,7826,2,1
T58-000511,7832,7833,7834,2,1
T58-000512,7853,7854,7855,2,1
T58-000513,7868,7869,7870,2,1
T58-000514,7878,7880,7881,3,1
T58-000515,7892,7893,7894,2,1
T58-000516,7900,7901,7902,2,1
T58-000517,7908,7909,7910,2,1
T58-000518,7929,7930,7931,2,1
T58-000519,7940,7941,7942,2,1
T58-000520,7950,7952,7953,3,1
T58-000521,7972,7973,7974,2,1
T58-000522,7985,7986,7987,2,1
T58-000523,7997,7998,7999,2,1
T58-000524,8025,8026,8027,2,1
T58-000525,8045,8046,8047,2,1
T58-000526,8109,8110,8111,2,1
T58-000527,8121,8122,8123,2,1
T58-000528,8130,8131,8132,2,1
T58-000529,8148,8149,8150,2,1
T58-000530,8188,8189,8190,2,1
T58-000531,8196,8197,8198,2,1
T58-000532,8204,8205,8206,2,1
T58-000533,8213,8214,8215,2,1
T58-000534,8229,8230,8231,2,1
T58-000535,8258,8259,8260,2,1
T58-000536,8270,8271,8272,2,1
T58-000537,8285,8287,8288,3,1
T58-000538,8298,8299,8300,2,1
T58-000539,8312,8313,8314,2,1
T58-000540,8322,8323,8324,2,1
T58-000541,8362,8363,8364,2,1
T58-000542,8372,8373,8374,2,1
T58-000543,8380,8381,8382,2,1
T58-000544,8388,8389,8390,2,1
T58-000545,8397,8398,8399,2,1
T58-000546,8433,8434,8435,2,1
T58-000547,8448,8449,8450,2,1
T58-000548,8458,8459,8460,2,1
T58-000549,8477,8478,8479,2,1
T58-000550,8489,8490,8491,2,1
T58-000551,8504,8505,8506,2,1
T58-000552,8516,8517,8518,2,1
T58-000553,8554,8555,8556,2,1
T58-000554,8562,8563,8564,2,1
T58-000555,8574,8576,8577,3,1
T58-000556,8588,8589,8590,2,1
T58-000557,8603,8604,8605,2,1
T58-000558,8632,8633,8634,2,1
T58-000559,8652,8653,8654,2,1
T58-000560,8662,8663,8664,2,1
T58-000561,8689,8691,8692,3,1
T58-000562,8700,8702,8703,3,1
T58-000563,8710,8711,8712,2,1
T58-000564,8722,8723,8724,2,1
T58-000565,8734,8735,8736,2,1
T58-000566,8743,8744,8745,2,1
T58-000567,8753,8754,8755,2,1
T58-000568,8787,8789,8790,3,1
T58-000569,8798,8799,8800,2,1
T58-000570,8812,8813,8814,2,1
T58-000571,8828,8829,8830,2,1
T58-000572,8846,8848,8849,3,1
T58-000573,8867,8868,8869,2,1
T58-000574,8874,8875,8876,2,1
T58-000575,8881,8882,8883,2,1
T58-000576,8891,8892,8893,2,1
T58-000577,8902,8903,8904,2,1
T58-000578,8913,8914,8915,2,1
T58-000579,8926,8927,8928,2,1
T58-000580,8933,8934,8935,2,1
T58-000581,8945,8946,8947,2,1
T58-000582,8956,8957,8958,2,1
T58-000583,8965,8966,8967,2,1
T58-000584,8977,8978,8979,2,1
T58-000585,8987,8988,8989,2,1
T58-000586,8994,8995,8996,2,1
T58-000587,9005,9006,9007,2,1
T58-000588,9017,9019,9020,3,1
T58-000589,9033,9034,9035,2,1
T58-000590,9049,9051,9052,3,1
T58-000591,9065,9066,9067,2,1
T58-000592,9088,9089,9090,2,1
T58-000593,9095,9096,9097,2,1
T58-000594,9106,9107,9108,2,1
T58-000595,9115,9116,9117,2,1
T58-000596,9131,9132,9133,2,1
T58-000597,9143,9144,9145,2,1
T58-000598,9164,9165,9166,2,1
T58-000599,9175,9176,9177,2,1
T58-000600,9189,9190,9191,2,1
T58-000601,9197,9198,9199,2,1
T58-000602,9204,9205,9206,2,1
T58-000603,9214,9215,9216,2,1
T58-000604,9225,9226,9227,2,1
T58-000605,9232,9233,9234,2,1
T58-000606,9242,9243,9244,2,1
T58-000607,9253,9254,9255,2,1
T58-000608,9262,9263,9264,2,1
T58-000609,9271,9272,9273,2,1
T58-000610,9288,9289,9290,2,1
T58-000611,9305,9306,9307,2,1
T58-000612,9319,9324,9325,6,1
T58-000613,9333,9334,9335,2,1
T58-000614,9345,9346,9347,2,1
T58-000615,9373,9374,9375,2,1
T58-000616,9385,9386,9387,2,1
T58-000617,9400,9401,9402,2,1
T58-000618,9431,9432,9433,2,1
T58-000619,9457,9458,9459,2,1
T58-000620,9482,9483,9484,2,1
T58-000621,9499,9500,9501,2,1
T58-000622,9507,9508,9509,2,1
T58-000623,9526,9527,9528,2,1
T58-000624,9542,9543,9544,2,1
T58-000625,9549,9550,9551,2,1
T58-000626,9565,9566,9567,2,1
T58-000627,9592,9593,9594,2,1
T58-000628,9617,9618,9619,2,1
T58-000629,9627,9628,9629,2,1
T58-000630,9646,9647,9648,2,1
T58-000631,9662,9663,9664,2,1
T58-000632,9707,9708,9709,2,1
T58-000633,9727,9728,9729,2,1
T58-000634,9751,9752,9753,2,1
T58-000635,9764,9765,9766,2,1
T58-000636,9781,9782,9783,2,1
T58-000637,9790,9791,9792,2,1
T58-000638,9814,9815,9816,2,1
T58-000639,9823,9826,9827,4,1
T58-000640,9844,9845,9846,2,1
T58-000641,9855,9856,9857,2,1
T58-000642,9863,9864,9865,2,1
T58-000643,9874,9875,9876,2,1
T58-000644,9905,9906,9907,2,1
T58-000645,9914,9915,9916,2,1
T58-000646,9950,9953,9954,4,1
T58-000647,9965,9966,9967,2,1
T58-000648,9979,9980,9981,2,1
T58-000649,9996,9997,9998,2,1
T58-000650,10022,10023,10024,2,1
T58-000651,10038,10039,10040,2,1
T58-000652,10049,10050,10051,2,1
T58-000653,10071,10072,10073,2,1
T58-000654,10078,10079,10080,2,1
T58-000655,10087,10088,10089,2,1
T58-000656,10094,10095,10096,2,1
T58-000657,10109,10112,10113,4,1
T58-000658,10124,10125,10126,2,1
T58-000659,10135,10136,10137,2,1
T58-000660,10145,10146,10147,2,1
T58-000661,10157,10158,10159,2,1
T58-000662,10166,10167,10168,2,1
T58-000663,10186,10187,10188,2,1
T58-000664,10198,10199,10200,2,1
T58-000665,10214,10215,10216,2,1
T58-000666,10222,10223,10224,2,1
T58-000667,10232,10233,10234,2,1
T58-000668,10248,10249,10250,2,1
T58-000669,10257,10258,10259,2,1
T58-000670,10267,10268,10269,2,1
T58-000671,10279,10280,10281,2,1
T58-000672,10289,10290,10291,2,1
T58-000673,10307,10308,10309,2,1
T58-000674,10318,10319,10320,2,1
T58-000675,10327,10328,10329,2,1
T58-000676,10339,10340,10341,2,1
T58-000677,10353,10354,10355,2,1
T58-000678,10367,10368,10369,2,1
T58-000679,10374,10375,10376,2,1
T58-000680,10393,10394,10395,2,1
T58-000681,10407,10408,10409,2,1
T58-000682,10436,10437,10438,2,1
T58-000683,10450,10451,10452,2,1
T58-000684,10468,10469,10470,2,1
T58-000685,10476,10478,10479,3,1
T58-000686,10485,10486,10487,2,1
T58-000687,10500,10501,10502,2,1
T58-000688,10507,10508,10509,2,1
T58-000689,10516,10517,10518,2,1
T58-000690,10529,10530,10531,2,1
T58-000691,10540,10541,10542,2,1
T58-000692,10550,10551,10552,2,1
T58-000693,10561,10562,10563,2,1
T58-000694,10579,10580,10581,2,1
T58-000695,10589,10590,10591,2,1
T58-000696,10598,10599,10600,2,1
T58-000697,10635,10636,10637,2,1
T58-000698,10660,10661,10662,2,1
T58-000699,10677,10678,10679,2,1
T58-000700,10703,10704,10705,2,1
T58-000701,10727,10728,10729,2,1
T58-000702,10742,10743,10744,2,1
T58-000703,10751,10752,10753,2,1
T58-000704,10761,10762,10763,2,1
T58-000705,10779,10780,10781,2,1
T58-000706,10795,10796,10797,2,1
T58-000707,10804,10805,10806,2,1
T58-000708,10823,10824,10825,2,1
T58-000709,10850,10851,10852,2,1
T58-000710,10875,10876,10877,2,1
T58-000711,10889,10890,10891,2,1
T58-000712,10898,10899,10900,2,1
T58-000713,10926,10927,10928,2,1
T58-000714,10940,10941,10942,2,1
T58-000715,10947,10948,10949,2,1
T58-000716,10958,10959,10960,2,1
T58-000717,10988,10989,10990,2,1
T58-000718,11010,11011,11012,2,1
T58-000719,11024,11025,11026,2,1
T58-000720,11036,11037,11038,2,1
T58-000721,11046,11047,11048,2,1
T58-000722,11058,11059,11060,2,1
T58-000723,11072,11073,11074,2,1
T58-000724,11097,11098,11099,2,1
T58-000725,11119,11120,11121,2,1
T58-000726,11129,11130,11131,2,1
T58-000727,11136,11137,11138,2,1
T58-000728,11147,11148,11149,2,1
T58-000729,11156,11157,11158,2,1
T58-000730,11173,11174,11175,2,1
T58-000731,11207,11208,11209,2,1
T58-000732,11217,11218,11219,2,1
T58-000733,11235,11236,11237,2,1
T58-000734,11249,11250,11251,2,1
T58-000735,11271,11272,11273,2,1
T58-000736,11279,11280,11281,2,1
T58-000737,11292,11293,11294,2,1
T58-000738,11307,11308,11309,2,1
