trade_sequence,best_family_cumulative_net_R,complement_cumulative_net_R,long_cumulative_net_R,short_cumulative_net_R
46,,-0.6436674263102746,6.5085815770323325,1.8273223506472285
47,,-1.7747817856462385,6.319753804504848,1.248155658221546
48,,0.09862011965091289,5.289613834148507,3.2204730213022836
49,,-0.9256458542846928,4.1766223898960195,2.1800074748128146
50,,-1.954688169445935,3.074979311882089,1.1431108394984468
51,,0.025114200852397905,2.0211988798036606,0.11546477008234923
52,,1.0103226726753896,1.0076531181983746,-0.965955272688396
53,,-0.048426402427965254,1.624577726590577,-1.986116048269864
54,,0.43062356659164785,1.9455864954981499,-0.025652412681096637
55,,-0.5925987707267188,2.902169815033046,0.16377480424809782
56,,0.8712554723662289,2.824937214811179,-0.9124440294733944
57,,1.285908487999429,4.780580239037418,-1.660430836627286
58,,0.25783266731723087,4.152641086868409,-2.7796094537003775
59,,2.1893332975369453,3.0683560604144358,-3.8170252119626715
60,,1.1713869223925357,2.035996603396855,-4.986688575155284
61,,0.15636071320210165,1.7493965640832938,-6.008288277195918
62,,-0.8726106263437816,0.719162185031265,-6.066656067763188
63,,-0.881226481885024,-0.317242564071331,-7.148506471179056
64,,-1.8948369308263604,-0.9134947645168492,-8.172338982642067
65,,0.07436621630631635,1.0275654891563977,-7.1367663289485535
66,,-0.9447404337444758,0.18044771972529872,-7.125131843888654
67,,1.0061924847227268,-0.8519652332186058,-5.17228153014106
68,,2.9844833095825294,-1.3908246728534372,-6.2239023048850335
69,,4.940208012394537,-2.512860121259684,-7.318994920245428
70,,3.9108231168847496,-3.637348614597859,-8.38638660008683
71,,4.858409349611078,-4.746021032596366,-9.472496439822757
72,,6.792464301872139,-5.786903902827538,-7.504302872772425
73,,8.717792461400755,-6.815369687903706,-8.52027843925473
74,,8.528964688873272,-4.854046384505315,-6.531795144453343
75,,7.49882471851693,-5.95497543657577,-7.545763314429084
76,,6.385833274264444,-6.180548100332273,-8.55980470544777
77,,5.293428061367949,-6.658497047500798,-9.592290311582081
78,,4.191784983354019,-5.844925393566932,-10.16834697980792
79,,3.1595073205957136,-4.912337338141729,-10.403959965177789
80,,2.1057268885172853,-4.625161269792607,-11.437100075577403
81,,1.0921811269119992,-4.4404155318603395,-9.450583312713194
82,,0.04718913859356544,-5.4708612621370065,-10.472114504979007
83,,-0.9677250747639208,-4.650936158929408,-8.482132218299554
84,,-0.35080046637171824,-3.8692727820668495,-9.49291944683016
85,,0.20518558260448072,-1.9068992938593219,-10.499396266063258
86,,0.5261943515120535,-2.9268987869106162,-10.042755115440135
87,,1.4827776710469498,-3.9437605007924734,-11.052090006580805
88,,0.4428993761685154,-4.974737286346784,-10.437904869617842
89,,2.4289114800363807,-5.035890504334524,-11.494982682094161
90,,2.3516788798145134,-3.6375108197502697,-12.512937965363735
91,,4.333603263994356,-4.665670863830675,-13.554379456945863
92,,6.289246288220594,-4.5476554652901955,-11.972125622497098
93,,5.661307136051586,-5.163138846672561,-10.000484486347109
94,,4.577022109597612,-6.303902863310316,-11.03029256315879
95,,3.5446626525800315,-7.337939092697155,-12.06003279980515
96,,3.2580626132664703,-8.371895553667521,-10.15283777925865
97,,5.095266613596914,-8.909937805133133,-10.314626568899667
98,,4.065032234544885,-9.934397785239643,-9.36720354510317
99,,3.028627485442289,-10.950447633403703,-10.404874066961703
100,,2.432375284996771,-11.959347317187671,-8.428564973921251
101,,2.057599636096172,-13.013659534947767,-9.444847203934655
102,,3.998659889769419,-11.524186426472685,-9.417175517933007
103,,3.15154212033832,-12.537436576755297,-10.440881263568457
104,,2.0983281525199606,-13.544582867816178,-11.18099012006325
105,,1.065915199576056,-13.022425651548847,-10.079493375090001
106,,0.5270557599412247,-12.092979997807458,-11.154183128220232
107,,-0.5949796884650218,-11.859999525846131,-12.201127937453862
108,,-0.3305987218405548,-11.839550417226375,-13.278723093124526
109,,-1.3723155584316253,-10.463455650229934,-14.33692269648667
110,,-2.4968040517698005,-11.487420798950541,-15.356818944999056
111,,-3.605476469768308,-12.500246256549296,-16.40931007931943
112,,-4.64635933999948,-11.086490170190839,-14.861700193996901
