trade_id,gross_r,net_r,exit_reason,label
E-000184,1.8749999999993385,1.874880448992872,TARGET,DIAGNOSTIC_ONLY
E-000185,-1.0,-1.000119551358498,STOP,DIAGNOSTIC_ONLY
E-000186,-1.0,-1.0001195531186875,STOP,DIAGNOSTIC_ONLY
E-000187,1.875000000000949,1.8748804683530316,TARGET,DIAGNOSTIC_ONLY
E-000188,1.8750000000013642,1.8748804905200824,TARGET,DIAGNOSTIC_ONLY
E-000189,-1.0,-1.000119534815251,STOP,DIAGNOSTIC_ONLY
E-000190,1.875,1.8748804912222863,TARGET,DIAGNOSTIC_ONLY
E-000191,1.8749999999997726,1.874880563645229,TARGET,DIAGNOSTIC_ONLY
E-000192,-1.0,-1.0001194602515138,STOP,DIAGNOSTIC_ONLY
E-000193,1.8750000000013642,1.8748805299071418,TARGET,DIAGNOSTIC_ONLY
E-000194,1.875,1.8748803605684936,TARGET,DIAGNOSTIC_ONLY
E-000195,1.8750000000007276,1.8748803609217717,TARGET,DIAGNOSTIC_ONLY
E-000196,1.875000000000428,1.87488028083917,TARGET,DIAGNOSTIC_ONLY
E-000197,1.8750000000001465,1.8748803746690408,TARGET,DIAGNOSTIC_ONLY
E-000198,-1.0,-1.0001193861318012,STOP,DIAGNOSTIC_ONLY
E-000199,-1.0,-1.0001194704457779,STOP,DIAGNOSTIC_ONLY
E-000200,-1.0,-1.0001194430306757,STOP,DIAGNOSTIC_ONLY
E-000201,-1.0,-1.0001194043897288,STOP,DIAGNOSTIC_ONLY
E-000202,-1.0,-1.0001193756009208,STOP,DIAGNOSTIC_ONLY
E-000203,-1.0,-1.0001191846128554,STOP,DIAGNOSTIC_ONLY
E-000204,1.8750000000011193,1.8748807863414656,TARGET,DIAGNOSTIC_ONLY
E-000205,1.875,1.8748807663843434,TARGET,DIAGNOSTIC_ONLY
E-000207,1.8749999999993385,1.874880758679578,TARGET,DIAGNOSTIC_ONLY
E-000208,-1.0,-1.0001192416699707,STOP,DIAGNOSTIC_ONLY
E-000209,1.875,1.8748807590304475,TARGET,DIAGNOSTIC_ONLY
E-000210,-1.0,-1.0001191968597793,STOP,DIAGNOSTIC_ONLY
E-000211,-1.0,-1.0001192696934533,STOP,DIAGNOSTIC_ONLY
E-000212,1.875000000000949,1.8748807583309783,TARGET,DIAGNOSTIC_ONLY
E-000213,1.875000000000539,1.8748807618325776,TARGET,DIAGNOSTIC_ONLY
E-000214,1.875000000000428,1.8748806808835072,TARGET,DIAGNOSTIC_ONLY
E-000215,-1.0,-1.0001194012293033,STOP,DIAGNOSTIC_ONLY
E-000216,-1.0,-1.0001193545447329,STOP,DIAGNOSTIC_ONLY
E-000217,1.8749999999999538,1.8748806570329584,TARGET,DIAGNOSTIC_ONLY
E-000218,1.8750000000000426,1.8748806180808166,TARGET,DIAGNOSTIC_ONLY
E-000219,1.875,1.8748808472173717,TARGET,DIAGNOSTIC_ONLY
E-000220,1.875,1.8748808765840335,TARGET,DIAGNOSTIC_ONLY
E-000221,-1.0,-1.0001190738052292,STOP,DIAGNOSTIC_ONLY
E-000222,1.875,1.8748809352739515,TARGET,DIAGNOSTIC_ONLY
E-000223,-1.0,-1.000119109786365,STOP,DIAGNOSTIC_ONLY
E-000224,1.8749999999997449,1.874880868893909,TARGET,DIAGNOSTIC_ONLY
E-000225,1.8750000000001914,1.874880651420028,TARGET,DIAGNOSTIC_ONLY
E-000226,-1.0,-1.0001193559482477,STOP,DIAGNOSTIC_ONLY
E-000227,1.874999999999498,1.8748806089526502,TARGET,DIAGNOSTIC_ONLY
E-000228,1.8749999999995957,1.8748806177293331,TARGET,DIAGNOSTIC_ONLY
E-000229,1.874999999998181,1.8748806149195516,TARGET,DIAGNOSTIC_ONLY
E-000230,-1.0,-1.0001193836744295,STOP,DIAGNOSTIC_ONLY
E-000231,1.8750000000003033,1.8748805566182316,TARGET,DIAGNOSTIC_ONLY
E-000232,-1.0,-1.0001193450718715,STOP,DIAGNOSTIC_ONLY
E-000233,-1.0,-1.0001193306900311,STOP,DIAGNOSTIC_ONLY
E-000235,1.8750000000007276,1.8748807299568975,TARGET,DIAGNOSTIC_ONLY
E-000236,-1.0,-1.0001192826587693,STOP,DIAGNOSTIC_ONLY
E-000237,1.8750000000003033,1.874880708930092,TARGET,DIAGNOSTIC_ONLY
E-000238,-1.0,-1.0001193240264512,STOP,DIAGNOSTIC_ONLY
E-000239,-1.0,-1.000119378408974,STOP,DIAGNOSTIC_ONLY
E-000240,1.874999999999709,1.8748806545770174,TARGET,DIAGNOSTIC_ONLY
E-000241,1.8750000000002347,1.8748806524725805,TARGET,DIAGNOSTIC_ONLY
E-000242,1.8749999999988511,1.8748806370325344,TARGET,DIAGNOSTIC_ONLY
E-000243,1.875000000000428,1.874880657384238,TARGET,DIAGNOSTIC_ONLY
E-000244,-1.0,-1.0001192703942092,STOP,DIAGNOSTIC_ONLY
E-000245,1.874999999999709,1.8748807183922864,TARGET,DIAGNOSTIC_ONLY
E-000246,1.875,1.8748807197943445,TARGET,DIAGNOSTIC_ONLY
E-000247,1.8750000000002647,1.8748809136215758,TARGET,DIAGNOSTIC_ONLY
E-000248,1.8750000000001916,1.8748810054164968,TARGET,DIAGNOSTIC_ONLY
E-000249,-1.0,-1.0001189356722062,STOP,DIAGNOSTIC_ONLY
E-000250,-1.0,-1.0001188496756517,STOP,DIAGNOSTIC_ONLY
E-000251,1.8750000000001616,1.8748811416260622,TARGET,DIAGNOSTIC_ONLY
E-000252,1.8749999999998628,1.874881114478421,TARGET,DIAGNOSTIC_ONLY
E-000253,1.8749999999997449,1.874881093587292,TARGET,DIAGNOSTIC_ONLY
E-000254,-1.0,-1.0001189036265605,STOP,DIAGNOSTIC_ONLY
E-000255,-1.0,-1.0001188827365284,STOP,DIAGNOSTIC_ONLY
E-000256,-1.0,-1.0001187690147437,STOP,DIAGNOSTIC_ONLY
E-000257,-1.0,-1.000118733933632,STOP,DIAGNOSTIC_ONLY
E-000258,1.875,1.8748812400180188,TARGET,DIAGNOSTIC_ONLY
E-000259,1.8749999999990299,1.874881249395771,TARGET,DIAGNOSTIC_ONLY
E-000260,-1.0,-1.0001186787489038,STOP,DIAGNOSTIC_ONLY
E-000261,1.875,1.874881388167447,TARGET,DIAGNOSTIC_ONLY
E-000262,-1.0,-1.0001186763205663,STOP,DIAGNOSTIC_ONLY
E-000263,1.8750000000024252,1.8748813389434191,TARGET,DIAGNOSTIC_ONLY
E-000264,-1.0,-1.0001187731841745,STOP,DIAGNOSTIC_ONLY
E-000265,1.8749999999995957,1.874881242101903,TARGET,DIAGNOSTIC_ONLY
E-000266,1.8750000000007276,1.8748812719697998,TARGET,DIAGNOSTIC_ONLY
E-000267,1.8750000000024252,1.8748813146618186,TARGET,DIAGNOSTIC_ONLY
E-000268,1.8750000000024252,1.874881304946396,TARGET,DIAGNOSTIC_ONLY
E-000269,1.8749999999995957,1.874881238628048,TARGET,DIAGNOSTIC_ONLY
