direction,outcome,net_R,location_score,direction_score,reaction_score,15m_state
LONG,WINNER,1.7584474885843764,2,3,1,BULLISH
LONG,LOSER,-2.4245614035091356,1,4,1,BULLISH
SHORT,WINNER,1.1796747967473427,0,3,3,BEARISH
SHORT,WINNER,0.039393939396109356,1,2,1,BEARISH
SHORT,WINNER,0.1463768115912245,2,3,1,BEARISH
LONG,LOSER,-7.014814814834265,2,1,1,NEUTRAL
SHORT,WINNER,0.24444444444353275,2,1,1,NEUTRAL
LONG,LOSER,-2.2589147286816025,1,3,2,BULLISH
LONG,WINNER,1.3482269503553233,2,3,1,BULLISH
SHORT,LOSER,-2.2589147286816025,0,4,2,BEARISH
LONG,LOSER,-2.3533333333323485,0,3,2,BULLISH
SHORT,LOSER,-2.4245614035091356,1,4,2,BEARISH
SHORT,LOSER,-2.104761904761905,1,4,2,BEARISH
LONG,WINNER,0.9533333333333334,1,3,2,BULLISH
SHORT,WINNER,1.4589743589741648,2,1,2,NEUTRAL
LONG,WINNER,0.9078431372539935,2,2,1,BULLISH
SHORT,LOSER,-2.1768115942026505,2,3,1,BEARISH
LONG,LOSER,-2.388034188033843,1,2,2,TRANSITION
LONG,LOSER,-1.496636085626867,1,4,2,BULLISH
SHORT,WINNER,1.8316872427984339,1,3,2,BEARISH
LONG,WINNER,1.8848484848485527,1,4,2,BULLISH
SHORT,WINNER,1.5666666666661984,1,2,1,NEUTRAL
LONG,LOSER,-2.0213836477985554,3,2,2,BULLISH
LONG,LOSER,-2.104761904761905,3,2,1,NEUTRAL
SHORT,WINNER,1.4786163522014448,1,2,2,BEARISH
LONG,LOSER,-1.6222222222222915,2,3,2,BULLISH
SHORT,LOSER,-3.577777777777778,1,4,2,BEARISH
LONG,LOSER,-1.7122807017545678,0,3,2,BULLISH
LONG,LOSER,-3.8491228070131798,0,4,2,BULLISH
SHORT,LOSER,-1.8592592592592592,0,3,3,BEARISH
LONG,WINNER,0.039393939396109356,1,2,2,BULLISH
LONG,LOSER,-3.8491228070131798,0,2,3,BULLISH
LONG,LOSER,-2.8666666666654175,1,2,3,NEUTRAL
LONG,LOSER,-4.866666666666667,3,3,1,BULLISH
SHORT,LOSER,-2.002469135801929,0,3,2,BEARISH
LONG,WINNER,0.6955555555538051,2,4,1,BULLISH
LONG,LOSER,-3.004938271606379,0,4,2,BULLISH
SHORT,LOSER,-3.004938271606379,1,3,2,BEARISH
SHORT,LOSER,-2.8666666666654175,0,3,2,BEARISH
SHORT,WINNER,1.936111111111282,1,4,1,BEARISH
LONG,LOSER,-1.5106918238992777,0,1,3,NEUTRAL
SHORT,LOSER,-1.6683127572015661,2,1,2,NEUTRAL
SHORT,LOSER,-1.5698245614034505,0,3,2,BEARISH
SHORT,WINNER,2.003363914373133,0,4,2,BEARISH
LONG,WINNER,0.3346666666675069,0,4,2,BULLISH
SHORT,LOSER,-3.4606060606038906,2,3,2,BEARISH
LONG,WINNER,1.1796747967473427,2,2,1,TRANSITION
LONG,WINNER,0.7537634408596685,2,4,2,BULLISH
LONG,LOSER,-0.34912280701317977,2,3,2,BULLISH
SHORT,LOSER,-0.34912280701317977,2,3,2,BEARISH
SHORT,LOSER,-4.383333333339488,0,4,2,BEARISH
LONG,LOSER,-3.0820512820489516,2,2,2,BULLISH
SHORT,WINNER,1.1466666666676513,2,4,2,BEARISH
LONG,LOSER,-2.127777777778234,1,3,2,BULLISH
LONG,WINNER,1.1119658119661573,2,3,1,BULLISH
SHORT,LOSER,-2.002469135801929,0,2,3,TRANSITION
LONG,WINNER,1.211111111111111,3,4,0,BULLISH
SHORT,LOSER,-2.1517730496446767,1,2,2,BEARISH
LONG,WINNER,0.6333333333345823,2,4,1,BULLISH
LONG,LOSER,-1.9175141242939362,3,3,0,BULLISH
LONG,LOSER,-1.7733333333333334,2,4,2,BULLISH
LONG,LOSER,-1.5106918238992777,1,3,1,BULLISH
SHORT,LOSER,-1.8328205128208857,2,2,2,TRANSITION
LONG,WINNER,1.6671794871791143,1,3,2,BULLISH
LONG,LOSER,-1.9333333333338016,0,4,2,BULLISH
LONG,LOSER,-1.4833333333333334,1,1,2,TRANSITION
SHORT,LOSER,-1.6683127572015661,1,4,2,BEARISH
LONG,LOSER,-4.383333333339488,1,1,2,NEUTRAL
SHORT,LOSER,-0.8833333333394875,1,4,1,BEARISH
LONG,LOSER,-2.503703703702893,2,3,1,BULLISH
SHORT,LOSER,-0.07777777777777795,2,2,2,TRANSITION
LONG,WINNER,0.24444444444353275,2,3,2,BULLISH
LONG,LOSER,-0.6843137254920131,3,3,0,BULLISH
SHORT,LOSER,-5.164102564108779,2,3,1,BEARISH
LONG,LOSER,-5.164102564108779,1,2,1,NEUTRAL
SHORT,WINNER,0.9533333333333334,1,4,2,BEARISH
SHORT,WINNER,1.4173333333337534,1,4,1,BEARISH
LONG,WINNER,0.9962962962971067,1,1,3,NEUTRAL
LONG,LOSER,-1.949707602338858,1,3,1,BULLISH
SHORT,WINNER,0.5666666666666667,3,3,1,BEARISH
