trade_id,capture_pct,mfe_spent_atr,total_mfe_atr
E-000246,1.0,0,53.333333333333336
E-000247,1.0,0,7.381818181818182
E-000248,1.0,0,2.5789473684210527
E-000249,1.0,0,3.84070796460177
E-000250,1.0,0,3.5
E-000251,1.0,0,5.6
E-000252,1.0,0,2.3773584905660377
E-000253,1.0,0,3.43859649122807
E-000254,1.0,0,7.428571428571429
E-000255,1.0,0,6.328767123287671
E-000256,1.0,0,3.111111111111111
E-000257,1.0,0,18.666666666666664
E-000258,1.0,0,3.0
E-000259,1.0,0,14.933333333333334
E-000260,1.0,0,18.666666666666664
E-000261,1.0,0,5.333333333333333
E-000262,1.0,0,10.181818181818182
E-000263,1.0,0,24.888888888888886
E-000264,1.0,0,1.1052631578947367
E-000265,1.0,0,6.611111111111111
E-000266,1.0,0,2.8
E-000267,1.0,0,3.1111111111111107
E-000268,1.0,0,27.999999999999996
E-000269,1.0,0,21.0
E-000270,1.0,0,10.216216216216216
E-000271,1.0,0,4.62
E-000272,1.0,0,14.0
E-000273,1.0,0,3.9016393442622954
E-000274,1.0,0,1.0447761194029852
E-000275,1.0,0,1.7777777777777777
E-000276,1.0,0,12.25
E-000277,1.0,0,6.695652173913044
E-000278,1.0,0,1.4
E-000279,1.0,0,10.769230769230768
E-000280,1.0,0,2.5454545454545454
E-000281,1.0,0,6.774193548387096
E-000282,1.0,0,5.25
E-000283,1.0,0,7.0
E-000284,,0,0.0
E-000285,1.0,0,2.1538461538461537
E-000286,1.0,0,7.0
E-000287,1.0,0,8.484848484848484
E-000288,1.0,0,3.5
E-000289,1.0,0,6.363636363636364
E-000290,1.0,0,4.260869565217392
E-000291,1.0,0,2.916666666666667
E-000292,1.0,0,4.7727272727272725
E-000293,1.0,0,0.9032258064516129
E-000294,1.0,0,7.148936170212766
E-000295,1.0,0,6.787878787878788
E-000296,1.0,0,0.459016393442623
E-000297,1.0,0,1.6065573770491806
E-000298,1.0,0,1.849056603773585
E-000299,1.0,0,1.2962962962962963
E-000300,1.0,0,2.4705882352941178
E-000301,1.0,0,4.754716981132075
E-000302,1.0,0,1.037037037037037
E-000303,1.0,0,38.5
E-000304,1.0,0,2.1538461538461537
E-000305,1.0,0,1.5555555555555554
E-000306,1.0,0,7.0
E-000307,1.0,0,4.666666666666666
E-000308,1.0,0,7.777777777777777
E-000309,1.0,0,11.2
E-000310,,0,0.0
E-000311,1.0,0,14.0
E-000312,1.0,0,4.11764705882353
E-000313,1.0,0,0.875
E-000314,1.0,0,4.9411764705882355
E-000315,1.0,0,10.666666666666666
E-000316,1.0,0,2.041666666666667
E-000317,1.0,0,2.2790697674418605
E-000318,1.0,0,15.702702702702704
E-000319,1.0,0,3.8769230769230765
E-000320,1.0,0,6.787878787878788
E-000321,1.0,0,2.2399999999999998
E-000322,1.0,0,7.233333333333333
E-000323,1.0,0,2.0
E-000324,1.0,0,3.111111111111111
E-000325,1.0,0,4.565217391304348
E-000326,1.0,0,1.0181818181818183
E-000327,1.0,0,11.846153846153845
E-000328,1.0,0,6.666666666666667
E-000329,1.0,0,5.090909090909091
E-000330,1.0,0,12.133333333333333
E-000331,1.0,0,3.8888888888888884
E-000332,1.0,0,8.615384615384615
E-000333,,0,0.0
E-000334,1.0,0,4.666666666666667
E-000335,1.0,0,10.888888888888888
E-000336,1.0,0,22.4
E-000337,1.0,0,7.875
E-000338,1.0,0,17.142857142857142
E-000339,1.0,0,2.3773584905660377
E-000340,1.0,0,0.2545454545454546
E-000341,1.0,0,34.588235294117645
E-000342,1.0,0,2.9324324324324325
E-000343,1.0,0,2.8269230769230766
E-000344,1.0,0,9.205479452054794
E-000345,,0,0.0
E-000346,1.0,0,4.439024390243903
E-000347,1.0,0,2.5454545454545454
E-000348,1.0,0,6.695652173913044
E-000349,1.0,0,113.55555555555554
E-000350,,0,0.0
E-000351,1.0,0,43.302325581395344
E-000352,1.0,0,6.25531914893617
E-000353,1.0,0,7.488372093023256
E-000354,1.0,0,0.35
E-000355,1.0,0,11.789473684210526
E-000356,1.0,0,1.4285714285714286
E-000357,1.0,0,8.0
E-000358,1.0,0,1.6153846153846154
E-000359,1.0,0,9.882352941176471
E-000360,1.0,0,2.739130434782609
E-000361,1.0,0,15.076923076923078
E-000362,1.0,0,1.1559633027522935
E-000363,1.0,0,7.604938271604938
E-000364,1.0,0,4.931818181818182
E-000365,1.0,0,2.655172413793103
E-000366,1.0,0,6.0754716981132075
E-000367,1.0,0,2.2857142857142856
E-000368,1.0,0,11.622641509433963
E-000369,1.0,0,5.471264367816092
E-000370,1.0,0,4.666666666666667
E-000371,,0,0.0
E-000372,1.0,0,25.789473684210524
E-000373,1.0,0,1.7777777777777777
E-000374,1.0,0,5.7272727272727275
E-000375,1.0,0,0.7368421052631579
E-000376,1.0,0,6.758620689655172
E-000377,1.0,0,4.0
E-000378,1.0,0,2.8518518518518516
E-000379,1.0,0,13.533333333333333
E-000380,1.0,0,1.037037037037037
E-000381,1.0,0,11.407407407407407
E-000382,1.0,0,62.27586206896551
E-000383,1.0,0,4.8125
E-000384,1.0,0,0.9245283018867925
E-000385,1.0,0,5.703703703703704
E-000386,1.0,0,7.073684210526316
E-000387,1.0,0,10.275229357798166
E-000388,1.0,0,3.36
E-000389,1.0,0,3.8181818181818183
E-000390,1.0,0,7.51219512195122
E-000391,1.0,0,7.225806451612903
E-000392,1.0,0,2.2105263157894735
E-000393,1.0,0,11.789473684210526
E-000394,1.0,0,8.75
E-000395,1.0,0,8.615384615384615
E-000396,1.0,0,4.8999999999999995
E-000397,1.0,0,2.3333333333333335
