opportunity_id,direction,wait_signal_i,immediate_entry_i,system,location_score,direction_score,reaction_score,total_evidence
OPP_00050633_SHORT,SHORT,50633,50634,E,1,1,1,3
OPP_00050669_LONG,LONG,50669,50670,E,1,1,2,3
OPP_00050697_SHORT,SHORT,50697,50698,E,2,1,1,3
OPP_00050781_SHORT,SHORT,50781,50782,E,2,-1,2,2
OPP_00050945_SHORT,SHORT,50945,50946,E,1,1,1,3
OPP_00051139_LONG,LONG,51139,51140,E,1,2,1,3
OPP_00051464_SHORT,SHORT,51464,51465,E,2,1,0,2
OPP_00051838_LONG,LONG,51838,51839,E,1,0,3,3
OPP_00051935_LONG,LONG,51935,51936,E,2,-1,2,2
OPP_00052063_LONG,LONG,52063,52064,E,0,2,2,3
OPP_00052152_LONG,LONG,52152,52153,E,2,1,1,3
OPP_00052182_LONG,LONG,52182,52183,E,1,0,2,2
OPP_00052633_LONG,LONG,52633,52634,E,2,0,1,2
OPP_00052776_LONG,LONG,52776,52777,E,2,0,2,3
OPP_00053002_SHORT,SHORT,53002,53003,E,1,0,2,2
OPP_00053075_LONG,LONG,53075,53076,E,2,-1,2,2
OPP_00053315_LONG,LONG,53315,53316,E,3,0,1,3
OPP_00053560_LONG,LONG,53560,53561,E,1,1,1,3
OPP_00053661_SHORT,SHORT,53661,53662,E,1,1,1,2
OPP_00053979_SHORT,SHORT,53979,53980,E,1,1,1,2
OPP_00054038_SHORT,SHORT,54038,54039,E,1,1,1,3
OPP_00054076_SHORT,SHORT,54076,54077,E,3,0,2,3
OPP_00054242_LONG,LONG,54242,54243,E,2,0,1,2
OPP_00054307_LONG,LONG,54307,54308,E,0,2,2,3
OPP_00054389_LONG,LONG,54389,54390,E,1,0,2,2
OPP_00055262_SHORT,SHORT,55262,55263,E,1,0,2,2
OPP_00055664_LONG,LONG,55664,55665,E,3,0,0,2
OPP_00055722_LONG,LONG,55722,55723,E,1,-1,3,2
OPP_00056268_LONG,LONG,56268,56269,E,0,1,2,3
OPP_00057190_SHORT,SHORT,57190,57191,E,0,2,2,3
OPP_00057526_SHORT,SHORT,57526,57527,E,2,1,1,3
OPP_00057599_SHORT,SHORT,57599,57600,E,1,1,1,3
OPP_00057643_LONG,LONG,57643,57644,E,2,0,2,3
OPP_00057863_LONG,LONG,57863,57864,E,1,1,2,3
OPP_00058171_SHORT,SHORT,58171,58172,E,1,1,1,2
OPP_00058226_SHORT,SHORT,58226,58227,E,2,0,1,2
OPP_00058587_SHORT,SHORT,58587,58588,E,2,0,1,2
OPP_00058603_SHORT,SHORT,58603,58604,E,3,0,1,3
OPP_00058808_LONG,LONG,58808,58809,E,0,1,2,2
OPP_00059257_SHORT,SHORT,59257,59258,E,2,0,2,3
OPP_00059513_LONG,LONG,59513,59514,E,0,1,2,3
OPP_00059764_SHORT,SHORT,59764,59765,E,2,-1,2,2
OPP_00059877_LONG,LONG,59877,59878,E,2,0,2,3
OPP_00060077_SHORT,SHORT,60077,60078,E,1,-1,3,2
OPP_00060160_SHORT,SHORT,60160,60161,E,1,-1,3,2
OPP_00060347_LONG,LONG,60347,60348,E,1,0,2,2
OPP_00060535_LONG,LONG,60535,60536,E,1,0,2,2
OPP_00061334_SHORT,SHORT,61334,61335,E,0,2,2,3
OPP_00062411_SHORT,SHORT,62411,62412,E,1,0,2,2
OPP_00063035_SHORT,SHORT,63035,63036,E,2,0,2,3
OPP_00063588_LONG,LONG,63588,63589,E,1,0,2,2
OPP_00064017_LONG,LONG,64017,64018,E,1,0,2,2
OPP_00064116_SHORT,SHORT,64116,64117,E,1,0,2,2
OPP_00064151_LONG,LONG,64151,64152,E,2,0,1,2
OPP_00064533_SHORT,SHORT,64533,64534,E,2,0,1,2
OPP_00064686_LONG,LONG,64686,64687,E,1,0,2,2
OPP_00065159_LONG,LONG,65159,65160,E,0,2,2,3
OPP_00065305_SHORT,SHORT,65305,65306,E,0,1,2,3
OPP_00065392_LONG,LONG,65392,65393,E,1,1,2,3
OPP_00066135_SHORT,SHORT,66135,66136,E,0,2,2,3
OPP_00066194_LONG,LONG,66194,66195,E,1,1,1,3
OPP_00066265_SHORT,SHORT,66265,66266,E,1,0,2,2
OPP_00066309_LONG,LONG,66309,66310,E,1,-1,3,2
OPP_00066949_SHORT,SHORT,66949,66950,E,1,1,1,2
OPP_00067293_LONG,LONG,67293,67294,E,1,1,2,3
OPP_00067445_LONG,LONG,67445,67446,E,1,1,2,3
OPP_00067629_LONG,LONG,67629,67630,E,0,1,2,3
OPP_00067779_LONG,LONG,67779,67780,E,2,0,1,2
OPP_00068183_LONG,LONG,68183,68184,E,1,0,2,2
OPP_00068247_SHORT,SHORT,68247,68248,E,1,0,2,2
OPP_00068332_SHORT,SHORT,68332,68333,E,2,0,2,3
OPP_00068479_SHORT,SHORT,68479,68480,E,1,1,1,2
OPP_00068544_LONG,LONG,68544,68545,E,2,1,1,3
OPP_00068768_LONG,LONG,68768,68769,E,3,-2,2,2
OPP_00068806_LONG,LONG,68806,68807,E,0,1,2,3
OPP_00068961_LONG,LONG,68961,68962,E,2,-1,2,2
OPP_00069327_SHORT,SHORT,69327,69328,E,1,0,3,3
OPP_00069726_SHORT,SHORT,69726,69727,E,2,0,1,2
OPP_00070076_SHORT,SHORT,70076,70077,E,0,2,2,3
OPP_00070846_SHORT,SHORT,70846,70847,E,0,0,3,2
OPP_00071806_LONG,LONG,71806,71807,E,1,1,2,3
OPP_00072015_LONG,LONG,72015,72016,E,1,0,2,2
OPP_00072468_LONG,LONG,72468,72469,E,1,0,2,2
OPP_00072491_LONG,LONG,72491,72492,E,2,-2,3,2
OPP_00072540_LONG,LONG,72540,72541,E,1,0,2,2
OPP_00072861_SHORT,SHORT,72861,72862,E,1,1,2,3
OPP_00073194_SHORT,SHORT,73194,73195,E,1,2,1,3
OPP_00073473_SHORT,SHORT,73473,73474,E,1,1,1,2
OPP_00073902_SHORT,SHORT,73902,73903,E,1,1,1,3
OPP_00074058_LONG,LONG,74058,74059,E,3,0,0,3
OPP_00074688_LONG,LONG,74688,74689,E,2,0,2,3
OPP_00074714_LONG,LONG,74714,74715,E,2,-1,2,2
OPP_00074788_SHORT,SHORT,74788,74789,E,2,0,1,2
OPP_00074952_SHORT,SHORT,74952,74953,E,3,1,0,3
OPP_00075247_SHORT,SHORT,75247,75248,E,3,-1,1,2
OPP_00075615_SHORT,SHORT,75615,75616,E,1,0,2,2
OPP_00075630_LONG,LONG,75630,75631,E,2,0,2,3
OPP_00075826_LONG,LONG,75826,75827,E,1,1,1,2
OPP_00076166_SHORT,SHORT,76166,76167,E,1,0,2,2
