window_id,timestamp,open,high,low,close,continuation_state,reversal_state,L,S,RL,RS,entry_price,stop,target
JUN_20_26_2026,2026-06-24 13:45:00-05:00,26751.25,26751.75,26628.75,26649.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 14:00:00-05:00,26649.75,26718.0,26568.5,26615.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 14:15:00-05:00,26615.25,26699.75,26588.0,26688.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 14:30:00-05:00,26687.75,26750.5,26661.25,26691.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 14:45:00-05:00,26691.25,26832.75,26677.0,26817.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 15:00:00-05:00,26818.0,27193.5,26790.5,27187.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 15:15:00-05:00,27187.75,27333.75,27160.0,27314.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 15:30:00-05:00,27312.75,27405.75,27269.75,27398.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-24 15:45:00-05:00,27398.25,27461.5,27383.75,27399.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 09:30:00-05:00,26889.75,27020.0,26868.0,26907.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 09:45:00-05:00,26907.75,27080.5,26865.75,26937.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 10:00:00-05:00,26937.0,27050.0,26813.5,26838.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 10:15:00-05:00,26837.75,26970.5,26766.25,26916.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 10:30:00-05:00,26918.25,27005.75,26909.25,26999.5,IDLE,IDLE,False,False,False,False,,,
