signal_id,timestamp_ct,bar_index,signal_type,direction,entry_price,open,high,low,close,atr,source_displacement_time,bos_or_reclaim_time,retest_time,stop,target,expiry_time
2202,2021-05-20 14:45:00-05:00,84729,RS,Short,13514.473804209354,13506.25,13520.75,13487.75,13493.25,24.653960913134238,2021-05-20 14:15:00-05:00,2021-05-20 14:30:00-05:00,2021-05-20 14:45:00-05:00,13532.964274894204,13468.247627497227,2021-05-20 15:45:00-05:00
2203,2021-05-21 10:30:00-05:00,84803,S,Short,13452.0,13446.75,13470.5,13442.5,13452.0,29.032844132656805,2021-05-21 10:15:00-05:00,2021-05-21 10:15:00-05:00,2021-05-21 10:30:00-05:00,13473.774633099492,13386.676100701523,2021-05-21 11:30:00-05:00
2204,2021-05-21 14:45:00-05:00,84820,S,Short,13418.638463093403,13423.0,13432.75,13402.5,13415.75,26.410699846976957,2021-05-21 14:30:00-05:00,2021-05-21 14:30:00-05:00,2021-05-21 14:45:00-05:00,13438.446487978636,13359.214388437704,2021-05-23 17:00:00-05:00
2205,2021-05-24 13:45:00-05:00,84907,L,Long,13685.75,13688.25,13692.75,13685.0,13685.75,15.509559504633717,2021-05-24 13:30:00-05:00,2021-05-24 13:30:00-05:00,2021-05-24 13:45:00-05:00,13674.117830371524,13720.646508885426,2021-05-24 14:45:00-05:00
2206,2021-05-24 14:15:00-05:00,84909,RS,Short,13681.222326617426,13681.25,13683.25,13673.0,13677.0,14.917681409607644,2021-05-24 13:30:00-05:00,2021-05-24 14:00:00-05:00,2021-05-24 14:15:00-05:00,13692.410587674633,13653.251673974411,2021-05-24 15:00:00-05:00
2207,2021-05-25 11:00:00-05:00,84987,L,Long,13653.75,13650.0,13659.25,13639.0,13653.75,25.242041911937484,2021-05-25 10:45:00-05:00,2021-05-25 10:45:00-05:00,2021-05-25 11:00:00-05:00,13634.818468566047,13710.544594301859,2021-05-25 12:00:00-05:00
2208,2021-05-25 14:15:00-05:00,85000,S,Short,13657.75,13628.75,13664.0,13626.75,13657.75,23.64879743785715,2021-05-25 14:00:00-05:00,2021-05-25 14:00:00-05:00,2021-05-25 14:15:00-05:00,13675.486598078392,13604.54020576482,2021-05-25 15:30:00-05:00
2209,2021-05-25 14:30:00-05:00,85001,RL,Long,13642.114879743785,13657.75,13663.0,13638.25,13651.75,23.7274547637245,2021-05-25 14:00:00-05:00,2021-05-25 14:15:00-05:00,2021-05-25 14:30:00-05:00,13624.319288670991,13686.60385742577,2021-05-25 15:30:00-05:00
2210,2021-05-26 11:00:00-05:00,85078,L,Long,13724.623747371139,13720.25,13731.5,13716.5,13724.75,18.470511303435906,2021-05-26 10:45:00-05:00,2021-05-26 10:45:00-05:00,2021-05-26 11:00:00-05:00,13710.770863893562,13766.18239780387,2021-05-26 12:00:00-05:00
2211,2021-05-26 12:45:00-05:00,85085,S,Short,13693.25,13697.0,13699.75,13682.5,13693.25,17.64160815223769,2021-05-26 12:30:00-05:00,2021-05-26 12:30:00-05:00,2021-05-26 12:45:00-05:00,13706.481206114178,13653.556381657465,2021-05-26 13:45:00-05:00
2212,2021-05-26 13:30:00-05:00,85088,RL,Long,13704.954939682515,13711.25,13715.0,13701.25,13712.25,16.813725623347743,2021-05-26 12:30:00-05:00,2021-05-26 13:15:00-05:00,2021-05-26 13:30:00-05:00,13692.344645465004,13736.480675226292,2021-05-26 14:15:00-05:00
2213,2021-05-27 09:45:00-05:00,85164,L,Long,13690.0,13723.25,13725.25,13682.25,13690.0,24.751296271419715,2021-05-27 09:30:00-05:00,2021-05-27 09:30:00-05:00,2021-05-27 09:45:00-05:00,13671.436527796435,13745.690416610694,2021-05-27 10:45:00-05:00
2214,2021-05-27 10:00:00-05:00,85165,RS,Short,13711.899870372858,13690.0,13713.0,13684.75,13709.5,25.00120368060402,2021-05-27 09:30:00-05:00,2021-05-27 09:45:00-05:00,2021-05-27 10:00:00-05:00,13730.650773133311,13665.022613471725,2021-05-27 10:45:00-05:00
2215,2021-05-27 13:15:00-05:00,85178,S,Short,13673.5,13667.25,13675.0,13657.0,13673.5,20.218080793530003,2021-05-27 13:00:00-05:00,2021-05-27 13:00:00-05:00,2021-05-27 13:15:00-05:00,13688.663560595147,13628.009318214557,2021-05-27 14:15:00-05:00
2216,2021-05-28 10:45:00-05:00,85259,L,Long,13755.75,13752.0,13756.75,13748.0,13755.75,17.411519059731464,2021-05-28 10:30:00-05:00,2021-05-28 10:30:00-05:00,2021-05-28 10:45:00-05:00,13742.691360705201,13794.925917884395,2021-05-28 11:45:00-05:00
2217,2021-05-28 12:30:00-05:00,85266,S,Short,13727.82477606985,13730.5,13741.25,13720.75,13724.75,17.01993649424066,2021-05-28 12:15:00-05:00,2021-05-28 12:15:00-05:00,2021-05-28 12:30:00-05:00,13740.589728440531,13689.529918957809,2021-05-28 13:30:00-05:00
2218,2021-05-31 10:00:00-05:00,85347,S,Short,13673.25,13670.0,13674.0,13668.75,13673.25,7.992496403149235,2021-05-31 09:45:00-05:00,2021-05-31 09:45:00-05:00,2021-05-31 10:00:00-05:00,13679.244372302363,13655.266883092914,2021-05-31 11:00:00-05:00
2219,2021-05-31 10:15:00-05:00,85348,RL,Long,13670.25,13673.0,13674.0,13669.25,13670.25,7.760889517210003,2021-05-31 09:45:00-05:00,2021-05-31 10:00:00-05:00,2021-05-31 10:15:00-05:00,13664.429332862093,13684.80166784477,2021-05-31 11:00:00-05:00
2220,2021-06-02 12:30:00-05:00,85524,S,Short,13642.25,13638.0,13651.75,13634.25,13642.25,19.950652661477154,2021-06-02 12:15:00-05:00,2021-06-02 12:15:00-05:00,2021-06-02 12:30:00-05:00,13657.212989496107,13597.361031511677,2021-06-02 13:30:00-05:00
2221,2021-06-02 15:00:00-05:00,85534,L,Long,13684.25,13680.75,13685.25,13677.0,13684.25,19.76175074536142,2021-06-02 14:45:00-05:00,2021-06-02 14:45:00-05:00,2021-06-02 15:00:00-05:00,13669.428686940979,13728.713939177063,2021-06-02 17:15:00-05:00
2222,2021-06-03 10:00:00-05:00,85605,L,Long,13589.229364915396,13585.5,13616.25,13581.5,13601.0,34.79053135724912,2021-06-03 09:45:00-05:00,2021-06-03 09:45:00-05:00,2021-06-03 10:00:00-05:00,13563.13646639746,13667.508060469207,2021-06-03 11:00:00-05:00
2223,2021-06-04 15:30:00-05:00,85717,S,Short,13767.75,13767.25,13771.0,13765.75,13767.75,14.639430760816008,2021-06-04 15:00:00-05:00,2021-06-04 15:00:00-05:00,2021-06-04 15:30:00-05:00,13778.729573070612,13734.811280788164,2021-06-06 17:30:00-05:00
2224,2021-06-07 10:00:00-05:00,85787,L,Long,13751.0,13759.0,13760.25,13741.25,13751.0,20.951433623228176,2021-06-07 09:45:00-05:00,2021-06-07 09:45:00-05:00,2021-06-07 10:00:00-05:00,13735.286424782578,13798.140725652263,2021-06-07 11:00:00-05:00
2225,2021-06-07 10:30:00-05:00,85789,RS,Short,13740.881295449271,13731.25,13741.0,13723.75,13733.75,20.905827971048783,2021-06-07 09:45:00-05:00,2021-06-07 10:15:00-05:00,2021-06-07 10:30:00-05:00,13756.560666427558,13701.682868003554,2021-06-07 11:15:00-05:00
2226,2021-06-07 13:15:00-05:00,85800,L,Long,13764.5,13763.0,13768.0,13758.5,13764.5,17.337033334347606,2021-06-07 13:00:00-05:00,2021-06-07 13:00:00-05:00,2021-06-07 13:15:00-05:00,13751.497224999239,13803.508325002282,2021-06-07 14:15:00-05:00
2227,2021-06-09 11:15:00-05:00,85974,L,Long,13857.669582709292,13854.75,13865.75,13850.0,13864.25,21.271125157713918,2021-06-09 11:00:00-05:00,2021-06-09 11:00:00-05:00,2021-06-09 11:15:00-05:00,13841.716238841007,13905.529614314148,2021-06-09 12:15:00-05:00
2228,2021-06-09 13:45:00-05:00,85984,S,Short,13852.734749111538,13855.0,13859.25,13846.0,13847.25,17.338043964295498,2021-06-09 13:30:00-05:00,2021-06-09 13:30:00-05:00,2021-06-09 13:45:00-05:00,13865.73828208476,13813.724150191872,2021-06-09 14:45:00-05:00
2229,2021-06-10 09:45:00-05:00,86059,S,Short,13903.755674030266,13908.25,13908.5,13832.5,13873.75,35.55445543324006,2021-06-10 09:30:00-05:00,2021-06-10 09:30:00-05:00,2021-06-10 09:45:00-05:00,13930.421515605196,13823.758149305477,2021-06-10 10:45:00-05:00
2230,2021-06-10 15:00:00-05:00,86080,L,Long,13970.5,13966.5,13979.0,13963.75,13970.5,22.418483475618842,2021-06-10 14:45:00-05:00,2021-06-10 14:45:00-05:00,2021-06-10 15:00:00-05:00,13953.686137393286,14020.941587820142,2021-06-10 17:15:00-05:00
2231,2021-06-11 09:45:00-05:00,86150,S,Short,13960.75,13959.0,13969.5,13946.0,13960.75,18.32935072010082,2021-06-11 09:30:00-05:00,2021-06-11 09:30:00-05:00,2021-06-11 09:45:00-05:00,13974.497013040076,13919.508960879773,2021-06-11 10:45:00-05:00
2232,2021-06-11 10:30:00-05:00,86153,RL,Long,13967.25,13978.25,13979.75,13960.0,13967.25,19.362275339672554,2021-06-11 09:30:00-05:00,2021-06-11 10:15:00-05:00,2021-06-11 10:30:00-05:00,13952.728293495245,14003.554266261886,2021-06-11 11:15:00-05:00
2233,2021-06-11 11:30:00-05:00,86157,S,Short,13957.5,13959.0,13965.5,13954.75,13957.5,18.186073406299144,2021-06-11 11:15:00-05:00,2021-06-11 11:15:00-05:00,2021-06-11 11:30:00-05:00,13971.139555054724,13916.581334835826,2021-06-11 12:30:00-05:00
2234,2021-06-11 12:00:00-05:00,86159,RL,Long,13958.75,13967.25,13968.5,13953.75,13958.75,17.513757171757938,2021-06-11 11:15:00-05:00,2021-06-11 11:45:00-05:00,2021-06-11 12:00:00-05:00,13945.614682121182,13991.588294697047,2021-06-11 12:45:00-05:00
2235,2021-06-14 10:00:00-05:00,86242,L,Long,14030.73049739873,14027.0,14036.25,14021.75,14036.25,17.104618702491614,2021-06-14 09:45:00-05:00,2021-06-14 09:45:00-05:00,2021-06-14 10:00:00-05:00,14017.902033371862,14069.215889479336,2021-06-14 11:00:00-05:00
2236,2021-06-14 13:45:00-05:00,86257,L,Long,14070.25,14078.5,14078.75,14067.5,14070.25,14.311064224943305,2021-06-14 13:30:00-05:00,2021-06-14 13:30:00-05:00,2021-06-14 13:45:00-05:00,14059.516701831293,14102.449894506122,2021-06-14 14:45:00-05:00
2237,2021-06-14 14:00:00-05:00,86258,RS,Short,14069.693893577505,14069.75,14074.0,14059.5,14061.0,14.324559637447354,2021-06-14 13:30:00-05:00,2021-06-14 13:45:00-05:00,2021-06-14 14:00:00-05:00,14080.43731330559,14042.835344257292,2021-06-14 14:45:00-05:00
2238,2021-06-15 11:45:00-05:00,86340,S,Short,14058.43182949391,14062.5,14063.75,14045.5,14053.0,18.18658327083725,2021-06-15 11:30:00-05:00,2021-06-15 11:30:00-05:00,2021-06-15 11:45:00-05:00,14072.071766947038,14017.512017134526,2021-06-15 12:45:00-05:00
