family,context,rth_only,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,LONG_N,LONG_AvgR,LONG_PF,SHORT_N,SHORT_AvgR,SHORT_PF
A3,C0,False,144233,45.22828472875509,-0.4335536107642232,-1.1606330365974191,0.5740156524418427,-62532.73794135621,62546.09622907144,0.2736752338230502,1.3058046458904622,1.4949607578587827,74203,-0.4159425838552237,0.5892014982054375,70030,-0.4522140567120812,0.5580948154597641
A3,C0,True,37015,11.60708686108498,-0.2520187871362393,-1.0986035215543553,0.7127999269557616,-9328.4754058479,9329.669660264382,0.27388896393354045,1.284104811328488,1.4552540477425575,19326,-0.21856760274499604,0.7485395486952031,17689,-0.28856565748194396,0.6745186708022417
A3,C1,False,6601,2.0699278770774536,-0.3241150793737871,-1.1459119496855346,0.6669038354856547,-2139.4836389463685,2164.2033085394683,0.3022269353128314,1.2165908984050084,1.5658465399327226,3511,-0.30470144608489863,0.6851163235839202,3090,-0.34617374166417136,0.6464526012442869
A3,C1,True,1906,0.5982423101067169,-0.11210975613125258,-1.090298035418484,0.8645234597592304,-213.68119518616743,233.63071144488413,0.3126967471143757,1.247214159951179,1.5772054488557488,1016,-0.15337958024718293,0.8189528976314822,890,-0.06499723781463998,0.9192660508377842
A3,C2,False,16787,5.264032612104108,0.4113630211134615,-1.031418069259044,1.6141783910091494,6905.551035431678,500.18513555491876,0.49377494489783763,1.01187793323251,2.1382350586983105,8693,0.434720070270793,1.6536154823438047,8094,0.3862774233466363,1.5724316096038256
A3,C2,True,4041,1.2671683913452494,0.6640462307599003,1.9844444444444445,2.1953295383706104,2683.410818500757,29.216926758906283,0.5258599356594902,0.943218252009374,2.0590134396223365,2092,0.7081916506005425,2.300338617784426,1949,0.6166618191095034,2.087111861055133
A3,C3,False,45635,14.310128566948887,-0.01909785256878356,-1.1088888888842208,0.9777190832834062,-871.5305019764378,5717.4895973622615,0.39064314670757094,1.1687669132003211,1.8400635336392672,23503,-0.004868928706102219,0.9942965041932824,22132,-0.03420820850338499,0.9602608612602656
A3,C3,True,10769,3.376920664785199,0.196990558686166,-1.070948012232416,1.2727686354114012,2121.3913264913217,188.74457525576724,0.40031572105116536,1.1235655886386897,1.7535922903623646,5657,0.2339315977230433,1.3288888571446993,5112,0.15611116552661686,1.2126093323166
A3,C4,False,98474,30.879272499216054,-0.18916581599754467,-1.1304417670682823,0.7939722396454336,-18627.914564542214,19254.13035848114,0.3398257408046794,1.1867592181948556,1.6758106035592668,52349,-0.17747745881698562,0.8060672814185498,46125,-0.20243137285489057,0.780340754764962
A3,C4,True,25662,8.047036688617121,-0.011404134530962258,-1.085249343832026,0.9856289341669708,-292.6529003335535,1226.9097952288703,0.34186735250565037,1.1871260774944978,1.6493501700032138,13980,0.003054775438306137,1.0038574810571557,11682,-0.02870729849007644,0.9639133207505944
A3,C5,False,14,0.031180400890868598,-0.9351901523642733,-1.257690336197785,0.4084903899050763,-13.092662133099825,13.88398976842484,0.2857142857142857,1.516076659137365,1.7096656882179058,0,,,14,-0.9351901523642733,0.4084903899050763
A3,C5,True,9,0.020089285714285716,-0.11603362400708396,-1.0792581747193741,0.86435014524217,-1.0443026160637556,3.2462287044265654,0.3333333333333333,1.2877110360754438,1.4702005522137411,0,,,9,-0.11603362400708396,0.86435014524217
B1,C0,False,59548,18.67293822514895,-0.3742879941752534,-1.149953831948316,0.617203834181783,-22288.10147714799,22317.93771148042,0.2785148115805737,1.2978868126525749,1.494744427682464,30158,-0.3615520070611799,0.6285121386536824,29390,-0.38735678966304615,0.6057081937093179
