strategy,timeframe_minutes,year,N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross
BOS_ONLY,5,2019,704,0.40625,0.02390538726124408,-0.08016552578470341,16.82939263191583,-56.4365301524312,1.0472126821521066,0.8592015391796638,69.74314191856998,-0.8092054444338745,69.30397727272727,40.0,0.10407091304594748,435.345020386553
BOS_ONLY,5,2020,701,0.4079885877318117,0.019141755940345322,-0.02648404054676872,13.41837091418207,-18.565312423284873,1.036847264433561,0.9514994174039708,49.955379051284325,-0.37163790518385764,60.19971469329529,40.0,0.04562579648711406,238.35742462345362
BOS_ONLY,5,2021,764,0.40706806282722513,0.045562878829618805,-0.006442117041009308,34.81003942582877,-4.921777419331111,1.0870794286560495,0.9883692904771028,53.425413724887335,-0.09212427337812797,52.774869109947645,35.0,0.052004995870628117,114.1389596234677
BOS_ONLY,5,2022,754,0.40848806366047746,-0.0031884159500615403,-0.03574128079077457,-2.4040656263464015,-26.948925716244027,0.9937735342431594,0.9327978339821376,42.31383863054033,-0.6368820836971628,42.354111405835546,45.0,0.03255286484071303,
BOS_ONLY,5,2023,722,0.4113573407202216,0.005322937397657473,-0.04241921397323346,3.843160801108695,-30.62667248867456,1.010362387108326,0.9216759686623424,54.462014687030106,-0.5623492385412648,56.25346260387812,40.0,0.04774215137089095,896.9136362922734
BOS_ONLY,5,2024,776,0.41881443298969073,0.004969180406593084,-0.03699154340778745,3.856083995516233,-28.705437684443062,1.0096846944434628,0.9312312099102069,56.442288804391644,-0.508580326781673,63.64046391752577,40.0,0.04196072381438055,844.4194088567858
BOS_ONLY,5,2025,719,0.40333796940194716,-0.002737068920275293,-0.03431337573469018,-1.9679525536779359,-24.671317153242235,0.9948216840855,0.9372837726070771,34.568335172129295,-0.7136970013277779,57.767732962447845,35.0,0.03157630681441489,
BOS_ONLY,5,2026,366,0.4098360655737705,0.01067517870212053,-0.011456351285592725,3.907115404976114,-4.193024570526937,1.0204898509351494,0.9785617967110256,32.259535856135756,-0.12997783319716996,79.43989071038251,40.0,0.022131529987713245,207.3176534582696
SEQUENTIAL_BOS,5,2018,13,0.5384615384615384,-0.05477570571077158,-0.13810684849430468,-0.7120841742400306,-1.7953890304259608,0.8813193042933282,0.7220719703034386,2.413981806696077,-0.7437458830243794,40.38461538461539,55.0,0.08333114278353312,
SEQUENTIAL_BOS,5,2019,17,0.5294117647058824,0.29529421450387944,0.18713410098282443,5.020001646565951,3.181279716708015,1.6890151110805622,1.3945282808058779,3.126671979603708,1.0174651314434424,46.470588235294116,55.0,0.10816011352105505,36.62791487560082
SEQUENTIAL_BOS,5,2020,13,0.38461538461538464,-0.19218369121819878,-0.24401684006969138,-2.498387985836584,-3.172218920905988,0.687701501770427,0.6206856771607467,7.652697723275784,-0.4145229611327311,43.46153846153846,45.0,0.05183314885149263,
SEQUENTIAL_BOS,5,2021,12,0.3333333333333333,-0.24603604303563498,-0.29835390467371437,-2.9524325164276197,-3.5802468560845724,0.4587170985934332,0.3838130666585052,3.8112295492414296,-0.939394179706958,54.583333333333336,60.0,0.05231786163807944,
SEQUENTIAL_BOS,5,2022,9,0.3333333333333333,-0.2270294540804202,-0.2643007530298237,-2.043265086723782,-2.3787067772684134,0.6234246184428069,0.5784323931313788,4.124004774644623,-0.5767953499698344,41.111111111111114,55.0,0.037271298949403446,
SEQUENTIAL_BOS,5,2023,20,0.4,-0.020896031239768853,-0.07949421786435257,-0.41792062479537706,-1.5898843572870514,0.9615483035550483,0.8628570495306167,5.441346462368983,-0.29218583456912756,191.75,37.5,0.0585981866245837,
SEQUENTIAL_BOS,5,2024,13,0.5384615384615384,0.4305821727856175,0.3816649965416067,5.597568246213028,4.961644955040887,2.122801396778933,1.953977725446099,2.869175811909579,1.7292927587238602,44.23076923076923,45.0,0.04891717624401083,11.36070634962544
SEQUENTIAL_BOS,5,2025,10,0.4,0.07611116328918036,0.028426613171661008,0.7611116328918036,0.2842661317166101,1.171052656963363,1.0594690011867902,1.5784560157293004,0.18009125935971643,53.0,57.5,0.04768455011751938,62.651190780443656
SEQUENTIAL_BOS,5,2026,6,0.6666666666666666,0.19346913738998306,0.16787153122366263,1.1608148243398984,1.0072291873419759,1.5804074121699492,1.483252005288689,2.0842731666271495,0.48325200528868906,46.666666666666664,57.5,0.025597606166320463,13.230847313244798
CRT_V2_B_LEGACY_EXP6,5,2018,74,0.4864864864864865,0.22518764493686305,0.13697975497305595,16.663885725327866,10.13650186800614,1.5319121401301097,1.2919294340030223,5.224541938248636,1.940170447058194,80.06756756756756,35.0,0.0882078899638071,39.17083905226611
CRT_V2_B_LEGACY_EXP6,5,2019,59,0.3220338983050847,-0.047767728197962905,-0.1454745357153609,-2.8182959636798115,-8.582997607206293,0.906706597843276,0.7456672581298288,10.610106847873002,-0.8089454451560889,245.16949152542372,55.0,0.09770680751739796,
CRT_V2_B_LEGACY_EXP6,5,2020,70,0.34285714285714286,-0.17248079683834477,-0.21461700857718913,-12.073655778684135,-15.02319060040324,0.7077845409855335,0.6520843935719383,18.531389224655047,-0.8106888489728372,39.0,37.5,0.04213621173884431,
CRT_V2_B_LEGACY_EXP6,5,2021,65,0.4,-0.0087971359030408,-0.055037817369738645,-0.5718138336976519,-3.577458129033012,0.9817654633521287,0.8909855816409246,11.608382348394727,-0.30817886779269665,93.76923076923077,55.0,0.046240681466697894,
CRT_V2_B_LEGACY_EXP6,5,2022,82,0.5121951219512195,0.19771636413037358,0.16625572316962675,16.212741858690634,13.632969299909394,1.4882449753753983,1.3948534852052545,8.711681762344247,1.5649067162711494,46.09756097560975,55.0,0.03146064096074684,15.91200662581565
CRT_V2_B_LEGACY_EXP6,5,2023,72,0.4444444444444444,0.09263472292826323,0.04547488409055542,6.669700050834953,3.2741916545199903,1.205481331747798,1.0950331053252993,8.499802194770162,0.3852079824321754,45.55555555555556,47.5,0.047159838837707815,50.90946175143053
