setup_id,setup_timestamp,direction,score,status,bos_timestamp,setup_to_bos_bars,opposite_bos_timestamp
S00146,2024-02-08 13:05:00-06:00,Short,100,Immediate same-bar,2024-02-08 13:05:00-06:00,0.0,
S00147,2024-02-09 00:20:00-06:00,Short,90,Immediate same-bar,2024-02-09 00:20:00-06:00,0.0,
S00148,2024-02-09 01:15:00-06:00,Long,75,Immediate same-bar,2024-02-09 01:15:00-06:00,0.0,
S00149,2024-02-09 09:30:00-06:00,Long,85,Immediate same-bar,2024-02-09 09:30:00-06:00,0.0,
S00150,2024-02-09 11:40:00-06:00,Long,75,Immediate same-bar,2024-02-09 11:40:00-06:00,0.0,
S00151,2024-02-09 13:25:00-06:00,Long,75,Immediate same-bar,2024-02-09 13:25:00-06:00,0.0,
S00152,2024-02-09 14:30:00-06:00,Long,85,Opposite BOS first,,,2024-02-09 15:00:00-06:00
S00153,2024-02-09 15:00:00-06:00,Short,100,Immediate same-bar,2024-02-09 15:00:00-06:00,0.0,
S00154,2024-02-12 00:05:00-06:00,Short,75,Opposite BOS first,,,2024-02-12 00:25:00-06:00
S00155,2024-02-12 08:30:00-06:00,Short,75,Never within expiry,,,
S00156,2024-02-12 09:40:00-06:00,Long,85,Immediate same-bar,2024-02-12 09:40:00-06:00,0.0,
S00157,2024-02-12 12:25:00-06:00,Short,75,Immediate same-bar,2024-02-12 12:25:00-06:00,0.0,
S00158,2024-02-13 07:05:00-06:00,Long,75,Immediate same-bar,2024-02-13 07:05:00-06:00,0.0,
S00159,2024-02-13 12:45:00-06:00,Short,75,Immediate same-bar,2024-02-13 12:45:00-06:00,0.0,
S00160,2024-02-13 13:50:00-06:00,Short,75,Immediate same-bar,2024-02-13 13:50:00-06:00,0.0,
S00161,2024-02-13 14:55:00-06:00,Long,100,Immediate same-bar,2024-02-13 14:55:00-06:00,0.0,
S00162,2024-02-14 10:00:00-06:00,Short,85,Immediate same-bar,2024-02-14 10:00:00-06:00,0.0,
S00163,2024-02-14 11:30:00-06:00,Long,85,Immediate same-bar,2024-02-14 11:30:00-06:00,0.0,
S00164,2024-02-15 03:05:00-06:00,Short,90,Immediate same-bar,2024-02-15 03:05:00-06:00,0.0,
S00165,2024-02-15 03:45:00-06:00,Short,90,Immediate same-bar,2024-02-15 03:45:00-06:00,0.0,
S00166,2024-02-15 07:05:00-06:00,Long,75,Opposite BOS first,,,2024-02-15 07:20:00-06:00
S00167,2024-02-15 07:20:00-06:00,Short,90,Immediate same-bar,2024-02-15 07:20:00-06:00,0.0,
S00168,2024-02-15 07:35:00-06:00,Long,90,Immediate same-bar,2024-02-15 07:35:00-06:00,0.0,
S00169,2024-02-15 08:05:00-06:00,Long,75,Never within expiry,,,
S00170,2024-02-15 08:40:00-06:00,Long,75,Never within expiry,,,
S00171,2024-02-15 14:20:00-06:00,Short,75,Immediate same-bar,2024-02-15 14:20:00-06:00,0.0,
S00172,2024-02-15 15:00:00-06:00,Long,75,Immediate same-bar,2024-02-15 15:00:00-06:00,0.0,
S00173,2024-02-15 20:30:00-06:00,Short,75,Opposite BOS first,,,2024-02-15 20:35:00-06:00
S00174,2024-02-15 23:35:00-06:00,Long,75,Opposite BOS first,,,2024-02-15 23:50:00-06:00
S00175,2024-02-16 00:45:00-06:00,Short,75,Opposite BOS first,,,2024-02-16 00:55:00-06:00
S00176,2024-02-16 00:55:00-06:00,Long,90,Immediate same-bar,2024-02-16 00:55:00-06:00,0.0,
S00177,2024-02-19 03:15:00-06:00,Short,75,Never within expiry,,,
S00178,2024-02-19 04:25:00-06:00,Short,90,Immediate same-bar,2024-02-19 04:25:00-06:00,0.0,
S00179,2024-02-19 07:30:00-06:00,Short,75,Opposite BOS first,,,2024-02-19 08:15:00-06:00
S00180,2024-02-19 08:15:00-06:00,Long,75,Immediate same-bar,2024-02-19 08:15:00-06:00,0.0,
S00181,2024-02-19 22:25:00-06:00,Long,75,Never within expiry,,,
S00182,2024-02-19 23:30:00-06:00,Long,75,Later within expiry,2024-02-20 00:15:00-06:00,9.0,
S00183,2024-02-20 00:15:00-06:00,Long,90,Immediate same-bar,2024-02-20 00:15:00-06:00,0.0,
S00184,2024-02-20 02:10:00-06:00,Long,75,Opposite BOS first,,,2024-02-20 02:15:00-06:00
S00185,2024-02-20 02:15:00-06:00,Short,90,Immediate same-bar,2024-02-20 02:15:00-06:00,0.0,
S00186,2024-02-20 05:30:00-06:00,Short,75,Opposite BOS first,,,2024-02-20 05:35:00-06:00
S00187,2024-02-20 05:35:00-06:00,Long,90,Immediate same-bar,2024-02-20 05:35:00-06:00,0.0,
S00188,2024-02-20 07:40:00-06:00,Long,90,Immediate same-bar,2024-02-20 07:40:00-06:00,0.0,
S00189,2024-02-20 08:25:00-06:00,Long,75,Opposite BOS first,,,2024-02-20 08:35:00-06:00
S00190,2024-02-20 08:35:00-06:00,Short,90,Immediate same-bar,2024-02-20 08:35:00-06:00,0.0,
S00191,2024-02-20 13:15:00-06:00,Long,75,Immediate same-bar,2024-02-20 13:15:00-06:00,0.0,
S00192,2024-02-20 23:20:00-06:00,Long,75,Later within expiry,2024-02-21 00:00:00-06:00,8.0,
S00193,2024-02-21 00:00:00-06:00,Long,90,Immediate same-bar,2024-02-21 00:00:00-06:00,0.0,
S00194,2024-02-21 02:10:00-06:00,Short,90,Immediate same-bar,2024-02-21 02:10:00-06:00,0.0,
S00195,2024-02-21 06:15:00-06:00,Long,75,Immediate same-bar,2024-02-21 06:15:00-06:00,0.0,
S00196,2024-02-21 09:00:00-06:00,Long,90,Immediate same-bar,2024-02-21 09:00:00-06:00,0.0,
S00197,2024-02-21 13:20:00-06:00,Short,100,Immediate same-bar,2024-02-21 13:20:00-06:00,0.0,
S00198,2024-02-21 14:35:00-06:00,Long,100,Immediate same-bar,2024-02-21 14:35:00-06:00,0.0,
S00199,2024-02-21 23:50:00-06:00,Long,75,Never within expiry,,,
S00200,2024-02-22 00:40:00-06:00,Long,75,Immediate same-bar,2024-02-22 00:40:00-06:00,0.0,
S00201,2024-02-22 08:20:00-06:00,Short,90,Immediate same-bar,2024-02-22 08:20:00-06:00,0.0,
S00202,2024-02-22 08:45:00-06:00,Long,90,Immediate same-bar,2024-02-22 08:45:00-06:00,0.0,
S00203,2024-02-22 08:50:00-06:00,Short,75,Never within expiry,,,
S00204,2024-02-22 09:35:00-06:00,Short,70,Never within expiry,,,
S00205,2024-02-22 15:00:00-06:00,Short,75,Immediate same-bar,2024-02-22 15:00:00-06:00,0.0,
S00206,2024-02-22 23:50:00-06:00,Long,75,Opposite BOS first,,,2024-02-23 00:35:00-06:00
S00207,2024-02-23 04:25:00-06:00,Short,75,Opposite BOS first,,,2024-02-23 04:40:00-06:00
S00208,2024-02-23 06:20:00-06:00,Long,90,Later within expiry,2024-02-23 06:30:00-06:00,2.0,
S00209,2024-02-23 07:05:00-06:00,Long,90,Immediate same-bar,2024-02-23 07:05:00-06:00,0.0,
