trade_id,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,exit_timestamp,setup_to_bos_bars,bos_to_retest_bars,retest_to_confirm_bars,same_bar_setup_bos,confirm_equals_entry,confirm_to_entry_bars,setup_not_after_bos,retest_after_bos,confirm_after_retest,event_order_pass,bos_equals_retest,retest_equals_confirm,setup_equals_bos_equals_retest,bos_equals_retest_equals_confirm
A0042,Long,2024-02-21 14:35:00-06:00,2024-02-21 14:35:00-06:00,2024-02-21 14:40:00-06:00,2024-02-21 14:45:00-06:00,2024-02-21 14:45:00-06:00,2024-02-21 15:20:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0043,Long,2024-02-22 00:40:00-06:00,2024-02-22 00:40:00-06:00,2024-02-22 00:45:00-06:00,2024-02-22 00:50:00-06:00,2024-02-22 00:50:00-06:00,2024-02-22 01:50:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0044,Long,2024-02-22 08:45:00-06:00,2024-02-22 08:45:00-06:00,2024-02-22 08:50:00-06:00,2024-02-22 08:55:00-06:00,2024-02-22 08:55:00-06:00,2024-02-22 09:55:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0045,Long,2024-02-23 07:05:00-06:00,2024-02-23 07:05:00-06:00,2024-02-23 07:10:00-06:00,2024-02-23 07:15:00-06:00,2024-02-23 07:15:00-06:00,2024-02-23 07:35:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0046,Long,2024-02-26 07:10:00-06:00,2024-02-26 07:10:00-06:00,2024-02-26 07:15:00-06:00,2024-02-26 07:20:00-06:00,2024-02-26 07:20:00-06:00,2024-02-26 08:20:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0047,Short,2024-02-27 07:15:00-06:00,2024-02-27 07:15:00-06:00,2024-02-27 07:20:00-06:00,2024-02-27 07:25:00-06:00,2024-02-27 07:25:00-06:00,2024-02-27 07:35:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0048,Short,2024-02-27 11:35:00-06:00,2024-02-27 11:35:00-06:00,2024-02-27 12:20:00-06:00,2024-02-27 12:25:00-06:00,2024-02-27 12:25:00-06:00,2024-02-27 12:55:00-06:00,0,9,1,True,True,0,True,True,True,True,False,False,False,False
A0049,Long,2024-02-27 21:45:00-06:00,2024-02-27 21:45:00-06:00,2024-02-27 21:50:00-06:00,2024-02-27 21:55:00-06:00,2024-02-27 21:55:00-06:00,2024-02-27 22:10:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0050,Short,2024-02-27 23:25:00-06:00,2024-02-27 23:25:00-06:00,2024-02-27 23:30:00-06:00,2024-02-27 23:35:00-06:00,2024-02-27 23:35:00-06:00,2024-02-28 00:20:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0051,Short,2024-02-28 08:45:00-06:00,2024-02-28 08:45:00-06:00,2024-02-28 09:10:00-06:00,2024-02-28 09:20:00-06:00,2024-02-28 09:20:00-06:00,2024-02-28 09:55:00-06:00,0,5,2,True,True,0,True,True,True,True,False,False,False,False
A0052,Long,2024-03-01 08:30:00-06:00,2024-03-01 08:30:00-06:00,2024-03-01 08:35:00-06:00,2024-03-01 08:40:00-06:00,2024-03-01 08:40:00-06:00,2024-03-01 08:45:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0053,Long,2024-03-01 09:05:00-06:00,2024-03-01 09:05:00-06:00,2024-03-01 09:30:00-06:00,2024-03-01 09:35:00-06:00,2024-03-01 09:35:00-06:00,2024-03-01 10:05:00-06:00,0,5,1,True,True,0,True,True,True,True,False,False,False,False
