event_family,vol_measure,transition,compression_duration,shock_percentile_bin,transition_direction,horizon,orientation,N,sample_tier,mean_signed_return_atr,median_signed_return_atr,positive_signed_rate,mean_abs_return_atr,median_abs_return_atr,mfe_atr,mae_atr,future_rv,effect_value,uplift_pct_vs_baseline,standard_error,ci95_low,ci95_high,era1,era2,era3,same_sign_across_eras,replicated,raw_p_value,fdr_q_value,fdr_survivor_5pct
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,80-90,NEUTRAL,1,n/a,106,WEAK_SAMPLE,0.08615544222460722,-0.017857231606200466,0.4716981132075472,0.5832696134582839,0.4215057280847785,0.5729441368406549,0.5485215671866104,,0.5832696134582839,,0.05547913718574954,0.4748424625707734,0.6961859795243135,0.5083030487936371,0.7035019158589844,0.6216425226844,True,False,7.50100601373155e-26,1.1810976319964042e-25,True
COMPRESSION_EXPANSION,RV_RATIO,LOW->HIGH,0,n/a,DOWN,1,n/a,58,INSUFFICIENT,-0.18015703462630553,0.025514280150130665,0.5,0.8298592215207203,0.5684091069875443,0.7344619548253474,0.9168769865949573,,0.8298592215207203,,0.10198853613273708,0.6410035764414124,1.0437330676532424,1.0686457008477446,0.5341986752973378,0.8497933454803398,True,False,4.0589847130542066e-16,6.15324810223643e-16,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,95-99,NEUTRAL,1,n/a,23,INSUFFICIENT,0.4458085213647605,0.0028438066097908345,0.5217391304347826,1.0134021997650267,0.5205659001970334,0.9400696478081554,0.17148949893393095,,1.0134021997650267,,0.25118192177563475,0.5657777568988638,1.5599952892746998,0.5543715132543049,1.6561323669521553,0.09446876602240456,True,False,5.4710586012151676e-05,7.087507733392376e-05,True
REGIME_TRANSITION,ATR_24,NORMAL->HIGH,n/a,n/a,NEUTRAL,1,n/a,5,INSUFFICIENT,-0.36799276160354566,-0.39100366288737043,0.4,1.0684322881903774,0.7516568320399631,0.6982604522809054,1.4684226454315272,,1.0684322881903774,,0.36036910566267183,,,1.4239017376009706,0.8755494082335396,0.7432591492828661,True,False,0.0030285254893236075,0.0036885887369967015,True
COMPRESSION_EXPANSION,ATR_RATIO,LOW->NORMAL,0,n/a,NEUTRAL,1,n/a,25,INSUFFICIENT,-0.1764143727347535,-0.09493455353713702,0.36,0.435374794743434,0.3759194662819431,0.41310328968505766,0.5998142493877966,,0.435374794743434,,0.07034323345152095,0.3097732418818981,0.581580347929925,0.3417379579210617,0.1253064887606477,0.7155148739261303,True,False,6.043513507881673e-10,8.74315405962577e-10,True
COMPRESSION_EXPANSION,ATR_RATIO,LOW->HIGH,0,n/a,UP,1,n/a,10,INSUFFICIENT,-1.6441558486088357,-0.3664435276330489,0.4,2.8475946722176992,1.0209251531551342,-0.6980489730361892,2.6102391982642024,,2.8475946722176992,,1.7427968438442805,0.7782841025153213,6.4383043546657435,1.3690789910073924,9.737472520961973,0.7185355750720287,True,False,0.10227516126293533,0.11210931138437141,False
COMPRESSION_EXPANSION,RV_RATIO,LOW->HIGH,0,n/a,UP,1,n/a,52,INSUFFICIENT,-0.32582783065493237,0.039921204544430114,0.5192307692307693,1.1437033312827747,0.5742423650084709,0.4136944260610921,1.1555891569936365,,1.1437033312827747,,0.3716113979694684,0.5970453144776753,1.9346389134466686,1.3000196896991112,1.6722826812777325,0.4715103659986737,True,False,0.0020861435112388273,0.0025627193995821805,True
REGIME_TRANSITION,ATR_24,LOW->NORMAL,n/a,n/a,NEUTRAL,1,n/a,13,INSUFFICIENT,-2.358879158540108,-0.20765931745058402,0.38461538461538464,3.0089190720006025,0.6407622609102824,-0.7605679605136213,3.892895351087972,,3.0089190720006025,,2.329675303036812,0.5085647935398672,7.757049893933222,4.531252041048569,0.6593664576344214,0.22846577708159355,True,False,0.19650902289768696,0.21054538167609316,False
COMPRESSION_EXPANSION,ATR_24,LOW->NORMAL,0,n/a,NEUTRAL,1,n/a,13,INSUFFICIENT,-2.358879158540108,-0.20765931745058402,0.38461538461538464,3.0089190720006025,0.6407622609102824,-0.7605679605136213,3.892895351087972,,3.0089190720006025,,2.329675303036812,0.5085647935398672,7.757049893933222,4.531252041048569,0.6593664576344214,0.22846577708159355,True,False,0.19650902289768696,0.21054538167609316,False
COMPRESSION_EXPANSION,ATR_RATIO,LOW->HIGH,0,n/a,DOWN,1,n/a,9,INSUFFICIENT,-0.37842755400893435,-0.10680588007034163,0.4444444444444444,1.1199450793545225,1.1210150233618599,1.1275648020230047,1.021427348138839,,1.1199450793545225,,0.3299094534209555,,,1.597508459773105,0.33108709642370304,0.714894611238885,True,False,0.0006870272991616979,0.0008587841239521225,True
