setup_id,opportunity_id,direction,price_diff_atr,price_diff_ticks,bucket
S58B-000276,OPP_00011876_SHORT,SHORT,-2.3013698630136985,12.0,BETTER_1M
S58B-000278,OPP_00011949_SHORT,SHORT,1.68,-3.0,BETTER_5M
S58B-000281,OPP_00012022_SHORT,SHORT,-5.25,3.0,BETTER_1M
S58B-000282,OPP_00012022_SHORT,SHORT,-12.25,7.0,BETTER_1M
S58B-000286,OPP_00012296_LONG,LONG,-1.5555555555555554,-2.0,BETTER_1M
S58B-000287,OPP_00012416_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000288,OPP_00012469_LONG,LONG,1.4736842105263157,2.0,BETTER_5M
S58B-000290,OPP_00012501_SHORT,SHORT,1.75,-4.0,BETTER_5M
S58B-000291,OPP_00012545_SHORT,SHORT,0.9655172413793103,-2.0,BETTER_5M
S58B-000293,OPP_00012589_LONG,LONG,-5.444444444444444,-7.0,BETTER_1M
S58B-000295,OPP_00012629_LONG,LONG,-11.666666666666666,-15.0,BETTER_1M
S58B-000296,OPP_00012693_LONG,LONG,-3.5,-8.0,BETTER_1M
S58B-000298,OPP_00012748_LONG,LONG,-12.6,-18.0,BETTER_1M
S58B-000299,OPP_00012748_LONG,LONG,-24.5,-35.0,BETTER_1M
S58B-000300,OPP_00012804_LONG,LONG,-2.1777777777777776,-7.0,BETTER_1M
S58B-000302,OPP_00012804_LONG,LONG,-8.71111111111111,-28.0,BETTER_1M
S58B-000303,OPP_00012879_LONG,LONG,-0.9491525423728814,-12.0,BETTER_1M
S58B-000304,OPP_00012879_LONG,LONG,-1.9774011299435028,-25.0,BETTER_1M
S58B-000305,OPP_00012970_LONG,LONG,0.32941176470588235,2.0,BETTER_5M
S58B-000306,OPP_00013042_LONG,LONG,-0.5714285714285714,-2.0,BETTER_1M
S58B-000307,OPP_00013042_LONG,LONG,-0.2857142857142857,-1.0,BETTER_1M
S58B-000308,OPP_00013042_LONG,LONG,-1.4285714285714286,-5.0,BETTER_1M
S58B-000309,OPP_00013185_LONG,LONG,-1.6610169491525424,-7.0,BETTER_1M
S58B-000310,OPP_00013229_SHORT,SHORT,0.5957446808510638,-2.0,BETTER_5M
S58B-000311,OPP_00013263_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000313,OPP_00013396_LONG,LONG,1.75,1.0,BETTER_5M
S58B-000318,OPP_00013517_LONG,LONG,-10.11111111111111,-13.0,BETTER_1M
S58B-000319,OPP_00013557_LONG,LONG,-1.75,-3.0,BETTER_1M
S58B-000323,OPP_00013759_SHORT,SHORT,-12.444444444444443,8.0,BETTER_1M
S58B-000324,OPP_00013759_SHORT,SHORT,-18.666666666666664,12.0,BETTER_1M
S58B-000326,OPP_00013842_SHORT,SHORT,1.8421052631578947,-5.0,BETTER_5M
S58B-000327,OPP_00013894_SHORT,SHORT,0.38888888888888884,-1.0,BETTER_5M
S58B-000328,OPP_00013946_SHORT,SHORT,1.2173913043478262,-2.0,BETTER_5M
S58B-000329,OPP_00013961_LONG,LONG,-2.5454545454545454,-4.0,BETTER_1M
S58B-000330,OPP_00014088_LONG,LONG,-6.0,-9.0,BETTER_1M
S58B-000331,OPP_00014088_LONG,LONG,-11.333333333333334,-17.0,BETTER_1M
S58B-000332,OPP_00014088_LONG,LONG,-18.0,-27.0,BETTER_1M
S58B-000333,OPP_00014183_LONG,LONG,-1.75,-5.0,BETTER_1M
S58B-000334,OPP_00014183_LONG,LONG,-7.0,-20.0,BETTER_1M
S58B-000335,OPP_00014288_LONG,LONG,0.2456140350877193,2.0,NEAR_IDENTICAL
S58B-000337,OPP_00014405_LONG,LONG,0.6774193548387096,3.0,BETTER_5M
S58B-000338,OPP_00014425_SHORT,SHORT,0.6176470588235294,-3.0,BETTER_5M
S58B-000339,OPP_00014444_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000340,OPP_00014651_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000341,OPP_00014704_LONG,LONG,-1.68,-3.0,BETTER_1M
S58B-000342,OPP_00014704_LONG,LONG,-6.159999999999999,-11.0,BETTER_1M
S58B-000343,OPP_00014796_LONG,LONG,2.8,4.0,BETTER_5M
S58B-000347,OPP_00015011_LONG,LONG,1.4,1.0,BETTER_5M
S58B-000349,OPP_00015113_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000350,OPP_00015165_SHORT,SHORT,-0.411764705882353,1.0,BETTER_1M
S58B-000351,OPP_00015165_SHORT,SHORT,-4.11764705882353,10.0,BETTER_1M
S58B-000352,OPP_00015298_SHORT,SHORT,-2.8965517241379306,6.0,BETTER_1M
S58B-000353,OPP_00015283_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000355,OPP_00015369_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000356,OPP_00015369_LONG,LONG,-1.8260869565217392,-3.0,BETTER_1M
S58B-000357,OPP_00015486_LONG,LONG,0.4666666666666667,2.0,BETTER_5M
S58B-000358,OPP_00015510_SHORT,SHORT,-1.2173913043478262,4.0,BETTER_1M
S58B-000359,OPP_00015510_SHORT,SHORT,-4.565217391304348,15.0,BETTER_1M
S58B-000361,OPP_00015577_SHORT,SHORT,-2.058823529411765,10.0,BETTER_1M
S58B-000362,OPP_00015652_SHORT,SHORT,-0.9333333333333333,4.0,BETTER_1M
S58B-000363,OPP_00015692_LONG,LONG,-0.7636363636363637,-3.0,BETTER_1M
S58B-000364,OPP_00015692_LONG,LONG,-1.2727272727272727,-5.0,BETTER_1M
S58B-000365,OPP_00015746_LONG,LONG,2.5454545454545454,10.0,BETTER_5M
S58B-000367,OPP_00015809_LONG,LONG,-7.132075471698114,-27.0,BETTER_1M
S58B-000368,OPP_00015809_LONG,LONG,-8.452830188679245,-32.0,BETTER_1M
S58B-000369,OPP_00016006_LONG,LONG,-3.5,-2.0,BETTER_1M
S58B-000370,OPP_00016006_LONG,LONG,-15.75,-9.0,BETTER_1M
S58B-000371,OPP_00016112_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000372,OPP_00016191_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000373,OPP_00016226_SHORT,SHORT,-2.8,2.0,BETTER_1M
S58B-000375,OPP_00016264_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000376,OPP_00016351_LONG,LONG,3.5,3.0,BETTER_5M
S58B-000378,OPP_00016475_SHORT,SHORT,2.0,-2.0,BETTER_5M
S58B-000379,OPP_00016475_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000380,OPP_00016475_SHORT,SHORT,-1.0,1.0,BETTER_1M
S58B-000381,OPP_00016552_SHORT,SHORT,-3.8181818181818183,3.0,BETTER_1M
S58B-000382,OPP_00016577_LONG,LONG,-1.5,-3.0,BETTER_1M
S58B-000383,OPP_00016577_LONG,LONG,-6.5,-13.0,BETTER_1M
S58B-000385,OPP_00016637_LONG,LONG,-3.0625,-7.0,BETTER_1M
S58B-000386,OPP_00016637_LONG,LONG,-1.75,-4.0,BETTER_1M
S58B-000388,OPP_00016804_LONG,LONG,1.3333333333333333,4.0,BETTER_5M
S58B-000389,OPP_00016871_LONG,LONG,0.21875,2.0,NEAR_IDENTICAL
S58B-000391,OPP_00016912_SHORT,SHORT,-1.5384615384615385,10.0,BETTER_1M
S58B-000392,OPP_00017062_LONG,LONG,-1.5,-6.0,BETTER_1M
S58B-000393,OPP_00017168_LONG,LONG,0.0,0.0,NEAR_IDENTICAL
S58B-000396,OPP_00017181_SHORT,SHORT,-6.03921568627451,22.0,BETTER_1M
S58B-000397,OPP_00017294_SHORT,SHORT,1.2173913043478262,-2.0,BETTER_5M
S58B-000399,OPP_00017330_SHORT,SHORT,-8.0,8.0,BETTER_1M
S58B-000400,OPP_00017459_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000405,OPP_00017664_SHORT,SHORT,-10.0,10.0,BETTER_1M
S58B-000406,OPP_00017664_SHORT,SHORT,-25.0,25.0,BETTER_1M
S58B-000407,OPP_00017664_SHORT,SHORT,-35.0,35.0,BETTER_1M
S58B-000410,OPP_00017664_SHORT,SHORT,-199.0,199.0,BETTER_1M
S58B-000411,OPP_00017664_SHORT,SHORT,-176.0,176.0,BETTER_1M
S58B-000412,OPP_00017940_SHORT,SHORT,-0.25,1.0,NEAR_IDENTICAL
S58B-000414,OPP_00017940_SHORT,SHORT,-5.0,20.0,BETTER_1M
S58B-000415,OPP_00018099_SHORT,SHORT,2.0934579439252334,-16.0,BETTER_5M
S58B-000416,OPP_00018155_SHORT,SHORT,0.2692307692307692,-1.0,BETTER_5M
S58B-000417,OPP_00018204_LONG,LONG,-0.7473309608540925,-15.0,BETTER_1M
S58B-000419,OPP_00018289_SHORT,SHORT,-4.0,34.0,BETTER_1M
S58B-000421,OPP_00018463_LONG,LONG,-4.2,-21.0,BETTER_1M
S58B-000422,OPP_00018463_LONG,LONG,-8.4,-42.0,BETTER_1M
S58B-000424,OPP_00018463_LONG,LONG,-12.2,-61.0,BETTER_1M
S58B-000425,OPP_00018463_LONG,LONG,-15.2,-76.0,BETTER_1M
S58B-000429,OPP_00018850_SHORT,SHORT,-1.2222222222222223,11.0,BETTER_1M
S58B-000433,OPP_00018881_SHORT,SHORT,-6.19672131147541,27.0,BETTER_1M
S58B-000435,OPP_00018881_SHORT,SHORT,-8.262295081967213,36.0,BETTER_1M
S58B-000436,OPP_00018881_SHORT,SHORT,-9.40983606557377,41.0,BETTER_1M
S58B-000437,OPP_00019149_SHORT,SHORT,0.6363636363636364,-2.0,BETTER_5M
S58B-000438,OPP_00019149_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000439,OPP_00019251_SHORT,SHORT,0.0,0.0,NEAR_IDENTICAL
S58B-000440,OPP_00019479_LONG,LONG,1.3333333333333333,4.0,BETTER_5M
S58B-000441,OPP_00019479_LONG,LONG,-2.6666666666666665,-8.0,BETTER_1M
