feature,feature_label,winner_N,loser_N,winner_mean,loser_mean,winner_median,loser_median,mean_difference_W_minus_L,median_difference_W_minus_L,standardized_effect_Cohen_d,absolute_effect,relationship,LOO_stability,LOO_sign_consistency,LOO_min_effect_ratio,effect_without_best_trade,effect_without_worst_trade,effect_without_top2_winners,effect_without_top2_losers,outlier_dependence,outlier_min_effect_ratio
session_low_distance_atr,Distance above causal session low / ATR,17,25,5.313305002915555,7.019605866879343,3.940203732737682,4.7941217401035585,-1.7063008639637882,-0.8539180073658765,-0.22983537051048064,0.22983537051048064,Lower among winners,UNSTABLE,1.0,0.30472184884473574,-0.18845185465676167,-0.21909175457049018,-0.18620081392225654,-0.22888691043494155,ROBUST TO LISTED REMOVALS,0.8101486446959463
retest_wick_toward_atr,Retest wick toward BOS / ATR,17,25,0.4059630275788281,0.3591082288480467,0.4080493637136389,0.32689558675076236,0.046854798730781355,0.08115377696287657,0.2007322659856902,0.2007322659856902,Higher among winners,UNSTABLE,1.0,0.2729253437078821,0.09040937302134057,0.17602667106579514,0.1330617285311766,0.14771871986124596,SENSITIVE TO OUTLIER REMOVAL,0.4503978101247842
confirm_directional_close_location,Directional confirmation close location,17,25,0.7881932119272532,0.7578097041594154,0.7909090909090909,0.7563025210084033,0.030383507767837825,0.034606569900687556,0.19665016040149605,0.19665016040149605,Higher among winners,PARTIALLY STABLE,1.0,0.5716579325258513,0.24538669512738928,0.12410870815721155,0.16543210140101539,0.19496823037401054,ROBUST TO LISTED REMOVALS,0.6311141974347831
entry_atr_percentile_100,Entry ATR percentile vs prior 100 bars,17,25,0.546470588235294,0.4828,0.51,0.51,0.06367058823529403,0.0,0.1933612873201857,0.1933612873201857,Higher mean among winners; medians equal,PARTIALLY STABLE,1.0,0.5621767655739306,0.10870322309287347,0.13442207110088972,0.056763712144404545,0.09493234209719613,SENSITIVE TO OUTLIER REMOVAL,0.2935629614960614
confirm_range_atr,Confirmation range / ATR,17,25,0.9885541865601594,1.0896986380321818,0.9738580546949084,0.964774545164879,-0.10114445147202245,0.009083509530029343,-0.19207453405919686,0.19207453405919686,Higher among winners,UNSTABLE,1.0,0.11101028596173056,-0.27563880135196095,-0.24401530597728405,-0.2493790941799055,-0.28031724933934593,ROBUST TO LISTED REMOVALS,1.270419877223699
confirm_close_distance_bos_atr,Confirmation close beyond BOS / ATR,17,25,0.8602076269914825,0.7723480130291529,0.8950040879567361,0.7736305844624319,0.08785961396232955,0.1213735034943042,0.18228089638528755,0.18228089638528755,Higher among winners,PARTIALLY STABLE,1.0,0.565046664051509,0.1029972124228255,0.14039764270731475,0.16057868659842262,0.17262638217213694,ROBUST TO LISTED REMOVALS,0.565046664051509
setup_liquidity_component,Setup liquidity component,17,25,16.176470588235293,18.0,25.0,25.0,-1.8235294117647065,0.0,-0.1544411618531778,0.1544411618531778,Lower mean among winners; medians equal,UNSTABLE,1.0,0.4513554648683356,-0.20010662686688052,-0.1286972181357084,-0.11361648156507556,-0.10125512589139245,ROBUST TO LISTED REMOVALS,0.6556226635205736
confirm_displacement_away_atr,Confirmation displacement from retest / ATR,17,25,0.4020484754866794,0.45820990880503515,0.40583426516864923,0.3738220654211955,-0.05616143331835577,0.03201219974745373,-0.146784897317862,0.146784897317862,Higher among winners,UNSTABLE,1.0,0.21434616513616714,-0.14620507121304557,-0.18324788199821324,-0.10783534152425991,-0.18133819627296288,ROBUST TO LISTED REMOVALS,0.7346487512999582
retest_penetration_atr,Retest penetration through BOS / ATR,17,25,0.23432210621453506,0.20556767249078312,0.17853722607100062,0.20861529359889552,0.028754433723751943,-0.03007806752789491,0.14464786875273591,0.14464786875273591,Lower among winners,UNSTABLE,1.0,0.03441929817611326,0.019058045214160126,0.115228695821547,0.08606387417989052,0.07849455020165994,SENSITIVE TO OUTLIER REMOVAL,0.13175475987647178
retest_max_penetration_atr,Max pre-accept penetration / ATR,17,25,0.23432210621453506,0.20556767249078312,0.17853722607100062,0.20861529359889552,0.028754433723751943,-0.03007806752789491,0.14464786875273591,0.14464786875273591,Lower among winners,UNSTABLE,1.0,0.03441929817611326,0.019058045214160126,0.115228695821547,0.08606387417989052,0.07849455020165994,SENSITIVE TO OUTLIER REMOVAL,0.13175475987647178
